# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 6 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;218.4;   60.761000;  -19.653000;  -43.898000
 1;220.8;   71.084000;  -22.312000;  -39.575000
 1;223.2;   82.126000;  -24.672000;  -33.676000
 1;225.6;   88.852000;  -26.472000;  -26.673000
 1;228.0;   91.322000;  -27.711000;  -19.146000
 1;230.4;   91.565000;  -28.468000;  -11.921000
 1;232.8;   91.248000;  -28.778000;   -5.350000
 1;235.2;   91.107000;  -28.799000;    1.099200
 1;237.6;   91.129000;  -28.488000;    7.409800
 1;240.0;   90.865000;  -27.812000;   14.232000
 1;242.4;   88.982000;  -26.695000;   21.505000
 1;244.8;   83.631000;  -25.081000;   28.726000
 1;247.2;   73.624000;  -22.850000;   35.394000
 1;249.6;   62.710000;  -20.287000;   40.438000
 1;252.0;   54.291000;  -17.414000;   44.438000
 1;254.4;   47.654000;  -14.308000;   48.140000
 1;256.8;   38.684000;  -11.067000;   51.711000
 1;259.2;   25.065000;   -7.429900;   54.577000
 1;261.6;   11.702000;   -3.782500;   55.926000
 1;264.0;    1.646800;   -0.075338;   56.191000
 1;266.4;   -7.233900;    3.632200;   56.118000
 1;268.8;  -18.987000;    7.267700;   55.667000
 1;271.2;  -33.332000;   10.928000;   53.938000
 1;273.6;  -44.622000;   14.280000;   50.847000
 1;276.0;  -51.959000;   17.401000;   47.090000
 1;278.4;  -59.097000;   20.310000;   43.273000
 1;280.8;  -68.859000;   22.920000;   39.104000
 1;283.2;  -79.763000;   25.282000;   33.518000
 1;285.6;  -86.969000;   27.082000;   26.804000
 1;288.0;  -90.050000;   28.381000;   19.428000
 1;290.4;  -90.662000;   29.186000;   12.240000
 1;292.8;  -90.567000;   29.579000;    5.684800
 1;295.2;  -90.506000;   29.654000;   -0.736340
 1;297.6;  -90.663000;   29.405000;   -6.963800
 1;300.0;  -90.632000;   28.819000;  -13.683000
 1;302.4;  -89.272000;   27.800000;  -20.879000
 1;304.8;  -84.727000;   26.282000;  -28.107000
 1;307.2;  -75.499000;   24.175000;  -34.949000
 1;309.6;  -64.653000;   21.702000;  -40.259000
 1;312.0;  -55.928000;   18.895000;  -44.447000
 1;314.4;  -49.446000;   15.874000;  -48.267000
 1;316.8;  -41.074000;   12.639000;  -51.983000
 1;319.2;  -27.793000;    9.066400;  -55.163000
 1;321.6;  -13.968000;    5.419700;  -56.787000
 1;324.0;   -3.389400;    1.683400;  -57.238000
 1;326.4;    5.379500;   -2.064500;  -57.325000
 1;328.8;   16.899000;   -5.743600;  -57.095000
 1;331.2;   31.806000;   -9.503500;  -55.629000
 1;333.6;   43.923000;  -12.938000;  -52.707000
 1;336.0;   51.698000;  -16.195000;  -48.964000
 1;338.4;   58.684000;  -19.219000;  -45.212000
 1;340.8;   68.628000;  -21.950000;  -41.185000
 1;343.2;   80.524000;  -24.460000;  -35.686000
 1;345.6;   88.688000;  -26.419000;  -28.927000
 1;348.0;   92.175000;  -27.868000;  -21.317000
 1;350.4;   92.807000;  -28.762000;  -13.904000
 1;352.8;   92.595000;  -29.261000;   -7.176300
 1;355.2;   92.484000;  -29.396000;   -0.631760
 1;357.6;   92.692000;  -29.203000;    5.677400
 2;  0.0;   96.025000;   -8.683100;   15.629000
 2;  2.4;   95.650000;   -8.035200;   24.227000
 2;  4.8;   91.675000;   -7.266700;   32.995000
 2;  7.2;   81.552000;   -6.332900;   41.374000
 2;  9.6;   68.719000;   -5.299600;   47.711000
 2; 12.0;   58.876000;   -4.162600;   52.508000
 2; 14.4;   52.797000;   -2.940800;   56.848000
 2; 16.8;   44.754000;   -1.704500;   61.238000
 2; 19.2;   30.174000;   -0.424100;   64.961000
 2; 21.6;   14.535000;    0.822700;   66.729000
 2; 24.0;    3.784400;    2.093000;   67.042000
 2; 26.4;   -4.399900;    3.356600;   67.042000
 2; 28.8;  -16.672000;    4.544800;   66.749000
 2; 31.2;  -33.484000;    5.669900;   64.870000
 2; 33.6;  -46.452000;    6.707200;   61.133000
 2; 36.0;  -53.579000;    7.716900;   56.588000
 2; 38.4;  -60.573000;    8.618700;   52.191000
 2; 40.8;  -72.241000;    9.343800;   47.336000
 2; 43.2;  -86.136000;    9.887900;   40.410000
 2; 45.6;  -94.529000;   10.256000;   31.917000
 2; 48.0;  -97.104000;   10.506000;   22.650000
 2; 50.4;  -96.867000;   10.624000;   13.876000
 2; 52.8;  -96.242000;   10.591000;    6.061700
 2; 55.2;  -96.188000;   10.448000;   -1.517900
 2; 57.6;  -96.843000;   10.137000;   -8.879200
 2; 60.0;  -97.788000;    9.659400;  -16.927000
 2; 62.4;  -97.587000;    9.047700;  -25.779000
 2; 64.8;  -93.365000;    8.310600;  -34.911000
 2; 67.2;  -82.401000;    7.426700;  -43.434000
 2; 69.6;  -68.821000;    6.477900;  -49.766000
 2; 72.0;  -58.958000;    5.377900;  -54.522000
 2; 74.4;  -53.375000;    4.188600;  -58.863000
 2; 76.8;  -44.901000;    2.958200;  -63.387000
 2; 79.2;  -28.980000;    1.688200;  -67.097000
 2; 81.6;  -13.021000;    0.433240;  -68.617000
 2; 84.0;   -2.816800;   -0.859860;  -68.735000
 2; 86.4;    5.206500;   -2.146200;  -68.711000
 2; 88.8;   18.414000;   -3.311300;  -68.326000
 2; 91.2;   36.061000;   -4.445300;  -66.152000
 2; 93.6;   48.441000;   -5.480400;  -62.137000
 2; 96.0;   54.962000;   -6.469500;  -57.364000
 2; 98.4;   62.297000;   -7.379100;  -52.814000
 2;100.8;   74.749000;   -8.083000;  -47.760000
 2;103.2;   88.653000;   -8.621100;  -40.478000
 2;105.6;   96.301000;   -9.020300;  -31.605000
 2;108.0;   98.135000;   -9.273100;  -22.094000
 2;110.4;   97.557000;   -9.413800;  -13.416000
 2;112.8;   96.806000;   -9.400800;   -5.599100
 2;115.2;   96.735000;   -9.227900;    2.050000
 2;117.6;   97.394000;   -8.940000;    9.394300
 2;120.0;   98.193000;   -8.462400;   17.687000
 2;122.4;   97.489000;   -7.851100;   26.685000
 2;124.8;   92.305000;   -7.134600;   35.762000
 2;127.2;   80.236000;   -6.256300;   44.063000
 2;129.6;   66.744000;   -5.300400;   50.025000
 2;132.0;   57.655000;   -4.208500;   54.574000
 2;134.4;   51.982000;   -3.019600;   58.875000
 2;136.8;   42.563000;   -1.818000;   63.209000
 2;139.2;   26.226000;   -0.547320;   66.537000
 2;141.6;   10.857000;    0.680430;   67.720000
 2;144.0;    1.241700;    1.969800;   67.653000
 2;146.4;   -7.248200;    3.248000;   67.464000
 2;148.8;  -21.050000;    4.430200;   66.759000
 2;151.2;  -37.914000;    5.570900;   64.234000
 2;153.6;  -49.258000;    6.619100;   60.040000
 2;156.0;  -55.596000;    7.637700;   55.225000
 2;158.4;  -63.313000;    8.550000;   50.664000
 2;160.8;  -75.640000;    9.287800;   45.356000
 2;163.2;  -88.293000;    9.861000;   37.903000
 2;165.6;  -94.867000;   10.275000;   29.162000
 2;168.0;  -96.343000;   10.568000;   20.009000
 2;170.4;  -95.753000;   10.719000;   11.474000
 2;172.8;  -95.085000;   10.730000;    3.906900
 2;175.2;  -94.997000;   10.575000;   -3.543700
 2;177.6;  -95.481000;   10.261000;  -10.901000
 2;180.0;  -95.945000;    9.805700;  -18.919000
 2;182.4;  -94.642000;    9.195200;  -27.684000
 2;184.8;  -88.952000;    8.454000;  -36.339000
 2;187.2;  -77.265000;    7.566800;  -44.207000
 2;189.6;  -64.841000;    6.605600;  -49.921000
 2;192.0;  -56.291000;    5.490600;  -54.356000
 2;194.4;  -50.122000;    4.281200;  -58.590000
 2;196.8;  -40.442000;    3.069500;  -62.687000
 2;199.2;  -25.095000;    1.790200;  -65.777000
 2;201.6;  -10.818000;    0.525840;  -66.933000
 2;204.0;   -1.234200;   -0.786670;  -66.964000
 2;206.4;    7.670300;   -2.077500;  -66.784000
 2;208.8;   20.932000;   -3.275800;  -65.981000
 2;211.2;   36.820000;   -4.471800;  -63.482000
 2;213.6;   47.765000;   -5.533400;  -59.468000
 2;216.0;   54.497000;   -6.588600;  -54.898000
 2;218.4;   62.321000;   -7.502000;  -50.308000
 2;220.8;   73.834000;   -8.263700;  -45.070000
