# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;  -29.381000;    8.824800;   37.586000;  -38.222000;    2.164000;   43.639000;  -45.519000;   -3.074900;   39.309000
  2.4;  -52.512000;   -4.006500;   35.540000;  -45.309000;    1.845800;   40.100000;  -36.289000;   10.467000;   35.095000
  4.8;  -42.755000;   12.002000;   31.997000;  -52.155000;    1.532900;   35.867000;  -59.068000;   -4.897900;   31.071000
  7.2;  -64.294000;   -5.690200;   26.023000;  -58.328000;    1.157600;   31.051000;  -48.800000;   13.251000;   28.507000
  9.6;  -54.462000;   14.398000;   24.272000;  -63.387000;    0.791330;   25.396000;  -67.997000;   -6.407200;   20.309000
 12.0;  -70.035000;   -6.962800;   14.532000;  -66.729000;    0.389180;   19.466000;  -58.780000;   15.305000;   19.633000
 14.4;  -61.767000;   15.978000;   14.579000;  -68.627000;    0.036310;   13.239000;  -70.950000;   -7.375000;    8.618900
 16.8;  -71.121000;   -7.698000;    2.749200;  -69.501000;   -0.297890;    6.984500;  -63.611000;   16.302000;    9.453000
 19.2;  -64.394000;   16.478000;    4.412800;  -69.665000;   -0.623870;    0.925470;  -70.719000;   -7.873500;   -3.005300
 21.6;  -69.605000;   -7.947100;   -9.029600;  -69.225000;   -0.934170;   -5.392200;  -64.522000;   16.463000;   -0.820600
 24.0;  -64.012000;   16.240000;   -5.894000;  -68.083000;   -1.212000;  -11.572000;  -67.519000;   -7.890300;  -14.975000
 26.4;  -63.845000;   -7.733900;  -20.972000;  -65.811000;   -1.521500;  -17.917000;  -62.913000;   15.609000;  -11.026000
 28.8;  -60.601000;   14.843000;  -16.207000;  -61.984000;   -1.805300;  -24.142000;  -58.500000;   -7.420200;  -26.656000
 31.2;  -52.061000;   -6.975900;  -31.637000;  -56.702000;   -2.024100;  -29.776000;  -57.001000;   13.883000;  -21.142000
 33.6;  -51.930000;   12.631000;  -25.822000;  -50.176000;   -2.193300;  -34.999000;  -44.911000;   -6.357500;  -36.144000
 36.0;  -37.801000;   -5.680100;  -39.853000;  -43.420000;   -2.316100;  -39.359000;  -46.130000;   11.211000;  -29.837000
 38.4;  -39.849000;    9.590300;  -33.366000;  -36.329000;   -2.388200;  -43.121000;  -30.007000;   -4.894900;  -43.107000
 40.8;  -21.447000;   -4.040500;  -45.709000;  -28.623000;   -2.428900;  -46.304000;  -33.281000;    7.819900;  -36.352000
 43.2;  -26.240000;    5.967500;  -38.806000;  -20.371000;   -2.402400;  -48.693000;  -12.588000;   -3.125300;  -47.516000
 45.6;   -3.569300;   -2.114500;  -48.582000;  -11.479000;   -2.369500;  -50.398000;  -18.301000;    3.982400;  -40.756000
 48.0;  -10.164000;    2.003800;  -41.888000;   -2.968200;   -2.258600;  -51.223000;    5.043800;   -1.116400;  -48.935000
 50.4;   14.012000;   -0.074218;  -48.632000;    5.620300;   -2.130900;  -51.372000;   -2.182000;   -0.056295;  -42.515000
 52.8;    5.839500;   -2.093200;  -42.471000;   14.414000;   -1.949800;  -50.774000;   23.130000;    0.997450;  -47.530000
 55.2;   31.630000;    2.037400;  -45.668000;   23.071000;   -1.718300;  -49.408000;   13.909000;   -4.023000;  -41.839000
 57.6;   22.200000;   -5.959400;  -40.485000;   31.522000;   -1.455800;  -47.160000;   39.517000;    3.065000;  -43.056000
 60.0;   46.571000;    4.027600;  -39.921000;   38.987000;   -1.151500;  -44.272000;   29.719000;   -7.726800;  -38.506000
 62.4;   36.746000;   -9.404900;  -35.903000;   46.047000;   -0.838950;  -40.666000;   53.598000;    4.935000;  -36.082000
 64.8;   60.095000;    5.803200;  -31.532000;   52.926000;   -0.439030;  -36.421000;   43.266000;  -10.931000;  -32.773000
 67.2;   49.381000;  -12.256000;  -29.215000;   58.992000;   -0.105580;  -31.539000;   65.259000;    6.589200;  -26.423000
 69.6;   68.840000;    7.299000;  -20.661000;   64.013000;    0.312250;  -25.848000;   55.081000;  -13.410000;  -24.914000
 72.0;   59.365000;  -14.388000;  -20.195000;   67.244000;    0.701720;  -19.922000;   70.794000;    7.832600;  -14.902000
 74.4;   71.682000;    8.284500;   -8.981500;   69.108000;    1.104600;  -13.656000;   62.441000;  -14.916000;  -15.194000
 76.8;   64.129000;  -15.326000;   -9.978900;   69.918000;    1.423500;   -7.448700;   71.805000;    8.567100;   -3.116500
 79.2;   71.382000;    8.759100;    2.611300;   70.068000;    1.780900;   -1.407100;   64.887000;  -15.500000;   -4.915800
 81.6;   64.966000;  -15.440000;    0.277300;   69.653000;    2.110600;    4.869600;   70.217000;    8.842300;    8.621500
 84.0;   68.047000;    8.798300;   14.540000;   68.481000;    2.398500;   11.020000;   64.499000;  -15.142000;    5.307500
 86.4;   63.218000;  -14.592000;   10.505000;   66.169000;    2.664700;   17.361000;   64.322000;    8.644100;   20.519000
 88.8;   58.896000;    8.335600;   26.144000;   62.326000;    2.932400;   23.522000;   60.888000;  -13.801000;   15.664000
 91.2;   57.227000;  -12.778000;   20.568000;   57.024000;    3.148600;   29.135000;   52.475000;    7.893100;   31.085000
 93.6;   45.329000;    7.314000;   35.521000;   50.494000;    3.317800;   34.321000;   52.096000;  -11.493000;   25.253000
 96.0;   46.133000;  -10.112000;   29.223000;   43.770000;    3.449200;   38.643000;   38.234000;    6.632900;   39.235000
 98.4;   30.412000;    5.855800;   42.465000;   36.665000;    3.513100;   42.422000;   40.061000;   -8.345100;   32.772000
100.8;   33.461000;   -6.575200;   35.753000;   28.987000;    3.557100;   45.577000;   21.811000;    5.001800;   45.036000
103.2;   12.885000;    4.103400;   46.823000;   20.686000;    3.568300;   47.993000;   26.309000;   -4.722400;   38.183000
105.6;   18.285000;   -2.716400;   40.104000;   11.729000;    3.490300;   49.663000;    3.812600;    3.102000;   47.887000
108.0;   -4.734500;    2.105000;   48.201000;    3.246300;    3.408100;   50.512000;   10.291000;   -0.753440;   41.325000
110.4;    2.172700;    1.285300;   41.877000;   -5.338900;    3.236000;   50.628000;  -13.701000;    1.028100;   47.862000
112.8;  -22.786000;   -0.044719;   46.765000;  -14.163000;    3.055300;   50.026000;   -5.884000;    3.296100;   41.806000
115.2;  -13.900000;    5.257200;   41.148000;  -22.758000;    2.809600;   48.655000;  -31.243000;   -1.040200;   44.890000
117.6;  -39.088000;   -2.091000;   42.280000;  -31.218000;    2.521300;   46.391000;  -22.185000;    7.190400;   39.780000
120.0;  -29.731000;    9.017500;   37.692000;  -38.617000;    2.216200;   43.515000;  -46.148000;   -3.048400;   39.144000
122.4;  -53.113000;   -3.983000;   35.342000;  -45.660000;    1.905900;   39.946000;  -36.666000;   10.646000;   35.187000
124.8;  -43.196000;   12.175000;   32.069000;  -52.488000;    1.540000;   35.669000;  -59.590000;   -4.851600;   30.792000
127.2;  -64.705000;   -5.631200;   25.709000;  -58.583000;    1.140500;   30.816000;  -49.293000;   13.503000;   28.513000
129.6;  -55.021000;   14.664000;   24.221000;  -63.582000;    0.749140;   25.093000;  -68.282000;   -6.288800;   19.921000
132.0;  -70.201000;   -6.854900;   14.163000;  -66.802000;    0.349220;   19.180000;  -59.424000;   15.504000;   19.605000
134.4;  -62.447000;   16.165000;   14.515000;  -68.644000;   -0.013353;   12.893000;  -71.063000;   -7.288800;    8.253800
136.8;  -71.176000;   -7.599800;    2.439800;  -69.451000;   -0.355760;    6.738700;  -64.150000;   16.526000;    9.345800
139.2;  -64.936000;   16.694000;    4.274600;  -69.567000;   -0.698920;    0.659040;  -70.733000;   -7.741700;   -3.302400
141.6;  -69.546000;   -7.811500;   -9.363700;  -69.119000;   -1.024500;   -5.657500;  -65.078000;   16.661000;   -0.978760
144.0;  -64.484000;   16.469000;   -6.039200;  -67.933000;   -1.296400;  -11.747000;  -67.366000;   -7.763700;  -15.231000
146.4;  -63.653000;   -7.614400;  -21.184000;  -65.642000;   -1.608500;  -18.040000;  -63.421000;   15.786000;  -11.167000
148.8;  -61.086000;   15.025000;  -16.330000;  -61.801000;   -1.846000;  -24.168000;  -58.292000;   -7.310100;  -26.771000
