# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 10 mm
# sensor pos #2: 30 mm
# sensor pos #3: 60 mm
# sensor pos #4: 90 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;  -57.832000;    8.761700;   54.713000;  -59.195000;    4.166500;   58.184000;  -64.392000;    0.531820;   57.538000;  -77.656000;   -6.139100;   52.135000
  2.4;  -96.295000;   -7.454200;   45.725000;  -79.882000;   -0.009992;   52.373000;  -69.050000;    4.218800;   53.676000;  -64.201000;   10.141000;   50.301000
  4.8;  -77.560000;   11.304000;   45.519000;  -85.210000;    4.131400;   47.587000;  -95.856000;   -0.581670;   44.487000; -106.640000;   -8.225300;   36.452000
  7.2; -107.220000;   -9.152500;   25.982000; -102.350000;   -1.216500;   34.059000;  -97.405000;    3.877500;   38.774000;  -92.453000;   12.254000;   38.484000
  9.6;  -99.924000;   13.044000;   29.259000; -100.450000;    3.588900;   28.303000; -101.500000;   -1.787000;   23.226000; -104.560000;  -10.010000;   16.386000
 12.0; -102.050000;  -10.456000;    8.218400;  -98.931000;   -2.188100;   13.818000;  -99.000000;    3.282700;   18.517000; -100.680000;   13.638000;   19.877000
 14.4;  -99.217000;   14.019000;   10.977000;  -96.849000;    3.030600;    9.388000;  -96.932000;   -2.508400;    5.109000; -100.720000;  -10.703000;    0.601390
 16.8; -100.840000;  -10.859000;   -6.755800;  -96.370000;   -2.855700;   -2.811700;  -95.668000;    2.724100;    1.385200;  -97.992000;   14.144000;    3.295300
 19.2;  -97.724000;   14.103000;   -3.854500;  -95.698000;    2.450700;   -6.414700;  -97.107000;   -3.228700;  -10.873000; -101.980000;  -10.763000;  -14.950000
 21.6; -102.980000;  -10.714000;  -24.184000;  -98.661000;   -3.464000;  -19.763000;  -96.783000;    1.999700;  -14.469000;  -98.472000;   13.845000;  -11.045000
 24.0;  -99.579000;   13.558000;  -18.786000;  -97.785000;    1.547500;  -23.418000;  -98.891000;   -3.762700;  -29.695000;  -99.985000;  -10.552000;  -34.157000
 26.4;  -86.507000;  -10.062000;  -44.169000;  -92.985000;   -4.022600;  -40.546000;  -95.982000;    0.925010;  -33.628000;  -99.400000;   12.907000;  -27.832000
 28.8;  -94.276000;   12.119000;  -36.986000;  -86.538000;    0.364160;  -43.496000;  -77.486000;   -4.092800;  -49.862000;  -67.178000;   -9.480700;  -51.331000
 31.2;  -55.044000;   -8.341800;  -55.785000;  -60.156000;   -4.038600;  -56.455000;  -69.731000;   -0.138070;  -51.611000;  -80.912000;   11.077000;  -45.387000
 33.6;  -65.504000;    9.861400;  -51.283000;  -56.362000;   -0.533130;  -56.953000;  -52.174000;   -3.891200;  -60.881000;  -52.052000;   -7.271600;  -59.971000
 36.0;  -46.272000;   -6.244400;  -65.102000;  -49.652000;   -3.765300;  -65.398000;  -51.346000;   -0.928190;  -61.070000;  -56.975000;    8.444700;  -55.237000
 38.4;  -52.819000;    6.896500;  -59.325000;  -46.606000;   -1.413600;  -65.936000;  -40.149000;   -3.665600;  -70.835000;  -27.549000;   -5.065100;  -69.962000
 40.8;   -5.984400;   -3.731000;  -71.951000;  -20.322000;   -3.406500;  -74.795000;  -33.129000;   -1.874000;  -70.671000;  -43.683000;    5.380100;  -63.845000
 43.2;  -25.487000;    3.745300;  -67.369000;  -13.296000;   -2.246700;  -73.423000;   -2.741300;   -3.025600;  -75.844000;    4.537600;   -2.344900;  -71.681000
 45.6;    8.385100;   -0.975990;  -71.585000;    3.795400;   -2.631700;  -75.447000;   -0.540690;   -2.430000;  -73.666000;   -8.148800;    2.007900;  -68.407000
