# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   17.654000;   -5.314600;  -29.576000
  1.2;   20.444000;   -5.996800;  -28.855000
  2.4;   23.051000;   -6.613300;  -28.066000
  3.6;   25.636000;   -7.205900;  -27.127000
  4.8;   28.213000;   -7.812700;  -26.064000
  6.0;   30.643000;   -8.358200;  -24.897000
  7.2;   32.957000;   -8.873500;  -23.640000
  8.4;   35.069000;   -9.332100;  -22.353000
  9.6;   37.126000;   -9.771600;  -20.905000
 10.8;   39.074000;  -10.163000;  -19.334000
 12.0;   40.845000;  -10.522000;  -17.685000
 13.2;   42.377000;  -10.829000;  -15.981000
 14.4;   43.675000;  -11.085000;  -14.282000
 15.6;   44.825000;  -11.305000;  -12.484000
 16.8;   45.781000;  -11.463000;  -10.584000
 18.0;   46.533000;  -11.581000;   -8.674800
 19.2;   47.086000;  -11.650000;   -6.774300
 20.4;   47.453000;  -11.670000;   -4.929100
 21.6;   47.675000;  -11.660000;   -3.014200
 22.8;   47.718000;  -11.596000;   -1.045300
 24.0;   47.597000;  -11.492000;    0.911800
 25.2;   47.348000;  -11.348000;    2.847100
 26.4;   46.932000;  -11.141000;    4.712100
 27.6;   46.320000;  -10.896000;    6.629700
 28.8;   45.530000;  -10.596000;    8.561700
 30.0;   44.536000;  -10.253000;   10.485000
 31.2;   43.359000;   -9.868300;   12.329000
 32.4;   42.027000;   -9.465700;   14.075000
 33.6;   40.476000;   -8.991500;   15.802000
 34.8;   38.700000;   -8.484800;   17.506000
 36.0;   36.764000;   -7.921000;   19.129000
 37.2;   34.724000;   -7.341400;   20.623000
 38.4;   32.615000;   -6.744300;   21.995000
 39.6;   30.340000;   -6.105400;   23.311000
 40.8;   27.907000;   -5.413200;   24.564000
 42.0;   25.396000;   -4.707800;   25.694000
 43.2;   22.816000;   -3.984500;   26.713000
 44.4;   20.249000;   -3.279100;   27.592000
 45.6;   17.542000;   -2.589500;   28.401000
 46.8;   14.628000;   -1.756800;   29.113000
 48.0;   11.682000;   -0.968520;   29.681000
 49.2;    8.756400;   -0.204160;   30.140000
 50.4;    5.895900;    0.543770;   30.483000
 51.6;    2.937300;    1.320800;   30.707000
 52.8;   -0.089125;    2.088900;   30.815000
 54.0;   -3.111200;    2.857700;   30.796000
 55.2;   -6.092500;    3.614600;   30.673000
 56.4;   -8.965000;    4.339400;   30.435000
 57.6;  -11.906000;    5.057900;   30.077000
 58.8;  -14.848000;    5.762800;   29.575000
 60.0;  -17.732000;    6.467800;   28.969000
 61.2;  -20.528000;    7.133200;   28.240000
 62.4;  -23.132000;    7.751600;   27.426000
 63.6;  -25.702000;    8.329600;   26.495000
 64.8;  -28.261000;    8.936800;   25.431000
 66.0;  -30.702000;    9.489800;   24.269000
 67.2;  -33.012000;    9.994700;   22.995000
 68.4;  -35.120000;   10.464000;   21.699000
 69.6;  -37.156000;   10.896000;   20.281000
 70.8;  -39.115000;   11.281000;   18.693000
 72.0;  -40.887000;   11.663000;   17.047000
 73.2;  -42.419000;   11.945000;   15.340000
 74.4;  -43.727000;   12.215000;   13.637000
 75.6;  -44.874000;   12.426000;   11.861000
 76.8;  -45.828000;   12.593000;    9.948900
 78.0;  -46.576000;   12.713000;    8.043200
 79.2;  -47.126000;   12.793000;    6.117100
 80.4;  -47.495000;   12.826000;    4.261300
 81.6;  -47.712000;   12.823000;    2.350800
 82.8;  -47.755000;   12.749000;    0.370060
 84.0;  -47.658000;   12.661000;   -1.590700
 85.2;  -47.354000;   12.439000;   -3.548900
 86.4;  -46.969000;   12.310000;   -5.402900
 87.6;  -46.362000;   12.069000;   -7.317100
 88.8;  -45.565000;   11.767000;   -9.270200
 90.0;  -44.549000;   11.446000;  -11.183000
 91.2;  -43.356000;   11.066000;  -13.026000
 92.4;  -42.013000;   10.649000;  -14.782000
 93.6;  -40.446000;   10.188000;  -16.496000
 94.8;  -38.615000;    9.679100;  -18.226000
 96.0;  -36.661000;    9.111200;  -19.833000
 97.2;  -34.620000;    8.539500;  -21.338000
 98.4;  -32.484000;    7.932300;  -22.701000
 99.6;  -30.204000;    7.308400;  -24.004000
100.8;  -27.758000;    6.611600;  -25.254000
102.0;  -25.237000;    5.898000;  -26.379000
103.2;  -22.673000;    5.166500;  -27.381000
104.4;  -20.096000;    4.477600;  -28.260000
105.6;  -17.383000;    3.734100;  -29.046000
106.8;  -14.495000;    2.940600;  -29.741000
108.0;  -11.558000;    2.140100;  -30.313000
109.2;   -8.663800;    1.365300;  -30.767000
110.4;   -5.802200;    0.611720;  -31.086000
111.6;   -2.860500;   -0.166820;  -31.299000
112.8;    0.163410;   -0.959180;  -31.403000
114.0;    3.182500;   -1.754900;  -31.386000
115.2;    6.162000;   -2.525200;  -31.244000
116.4;    9.029400;   -3.243700;  -31.012000
117.6;   11.958000;   -3.976300;  -30.642000
118.8;   14.927000;   -4.706300;  -30.157000
120.0;   17.810000;   -5.387800;  -29.554000
121.2;   20.581000;   -6.045700;  -28.818000
122.4;   23.202000;   -6.689100;  -28.023000
123.6;   25.789000;   -7.295100;  -27.094000
124.8;   28.341000;   -7.901500;  -26.022000
126.0;   30.792000;   -8.449300;  -24.833000
127.2;   33.091000;   -8.960100;  -23.577000
128.4;   35.202000;   -9.420600;  -22.273000
129.6;   37.244000;   -9.854100;  -20.833000
130.8;   39.180000;  -10.253000;  -19.287000
132.0;   40.920000;  -10.631000;  -17.636000
133.2;   42.443000;  -10.920000;  -15.921000
134.4;   43.738000;  -11.179000;  -14.228000
135.6;   44.882000;  -11.379000;  -12.432000
136.8;   45.842000;  -11.545000;  -10.543000
138.0;   46.576000;  -11.666000;   -8.637500
139.2;   47.139000;  -11.746000;   -6.744300
140.4;   47.496000;  -11.770000;   -4.893300
141.6;   47.706000;  -11.742000;   -2.980200
142.8;   47.765000;  -11.678000;   -1.007600
144.0;   47.664000;  -11.564000;    0.962430
145.2;   47.388000;  -11.403000;    2.888800
146.4;   46.976000;  -11.223000;    4.758000
147.6;   46.357000;  -10.967000;    6.663300
148.8;   45.552000;  -10.690000;    8.619300
150.0;   44.526000;  -10.340000;   10.532000
151.2;   43.356000;   -9.970600;   12.367000
152.4;   42.017000;   -9.568800;   14.095000
153.6;   40.443000;   -9.098700;   15.830000
154.8;   38.627000;   -8.586000;   17.558000
156.0;   36.681000;   -8.029600;   19.171000
157.2;   34.640000;   -7.458700;   20.656000
158.4;   32.525000;   -6.863500;   22.010000
159.6;   30.225000;   -6.238000;   23.303000
160.8;   27.774000;   -5.548700;   24.561000
162.0;   25.254000;   -4.836600;   25.676000
163.2;   22.718000;   -4.139100;   26.674000
164.4;   20.138000;   -3.420300;   27.555000
165.6;   17.392000;   -2.671200;   28.356000
166.8;   14.497000;   -1.884100;   29.054000
168.0;   11.581000;   -1.118300;   29.634000
169.2;    8.668000;   -0.331490;   30.079000
170.4;    5.815700;    0.411210;   30.398000
171.6;    2.862900;    1.186800;   30.621000
172.8;   -0.174530;    1.985100;   30.729000
174.0;   -3.175700;    2.756900;   30.705000
175.2;   -6.153400;    3.496600;   30.571000
176.4;   -8.995800;    4.220700;   30.341000
177.6;  -11.925000;    4.933500;   29.969000
178.8;  -14.883000;    5.667200;   29.464000
180.0;  -17.734000;    6.351700;   28.855000
181.2;  -20.489000;    7.015200;   28.116000
182.4;  -23.066000;    7.642900;   27.318000
183.6;  -25.628000;    8.245200;   26.385000
184.8;  -28.178000;    8.848700;   25.305000
186.0;  -30.604000;    9.412500;   24.134000
187.2;  -32.877000;    9.911000;   22.888000
188.4;  -34.964000;   10.368000;   21.597000
189.6;  -36.994000;   10.805000;   20.163000
190.8;  -38.893000;   11.203000;   18.616000
192.0;  -40.640000;   11.572000;   16.967000
193.2;  -42.151000;   11.886000;   15.286000
194.4;  -43.445000;   12.137000;   13.597000
195.6;  -44.567000;   12.327000;   11.816000
196.8;  -45.515000;   12.510000;    9.929700
198.0;  -46.263000;   12.663000;    8.029500
199.2;  -46.798000;   12.739000;    6.126000
200.4;  -47.173000;   12.762000;    4.292700
201.6;  -47.384000;   12.764000;    2.385200
202.8;  -47.448000;   12.704000;    0.428070
204.0;  -47.333000;   12.627000;   -1.523800
205.2;  -47.056000;   12.468000;   -3.430700
206.4;  -46.652000;   12.290000;   -5.288300
207.6;  -46.053000;   12.047000;   -7.195500
208.8;  -45.245000;   11.755000;   -9.136400
210.0;  -44.266000;   11.430000;  -11.042000
211.2;  -43.094000;   11.063000;  -12.854000
212.4;  -41.765000;   10.661000;  -14.600000
213.6;  -40.226000;   10.213000;  -16.317000
214.8;  -38.458000;    9.684400;  -18.015000
216.0;  -36.547000;    9.142600;  -19.618000
217.2;  -34.502000;    8.573100;  -21.110000
218.4;  -32.415000;    7.974500;  -22.462000
219.6;  -30.134000;    7.325500;  -23.781000
220.8;  -27.726000;    6.660500;  -25.027000
222.0;  -25.232000;    5.941700;  -26.157000
223.2;  -22.692000;    5.249400;  -27.147000
224.4;  -20.142000;    4.533200;  -28.040000
225.6;  -17.403000;    3.786400;  -28.837000
226.8;  -14.544000;    3.003400;  -29.543000
228.0;  -11.654000;    2.220000;  -30.119000
229.2;   -8.735200;    1.431300;  -30.574000
230.4;   -5.912900;    0.679310;  -30.902000
231.6;   -2.969700;   -0.106330;  -31.119000
232.8;    0.031096;   -0.892350;  -31.230000
234.0;    3.041800;   -1.691400;  -31.219000
235.2;    5.988700;   -2.459500;  -31.090000
236.4;    8.841400;   -3.177200;  -30.849000
237.6;   11.729000;   -3.897100;  -30.491000
238.8;   14.686000;   -4.638000;  -29.994000
240.0;   17.567000;   -5.335100;  -29.408000
241.2;   20.317000;   -5.994900;  -28.694000
242.4;   22.893000;   -6.615100;  -27.906000
243.6;   25.455000;   -7.227900;  -26.977000
244.8;   27.984000;   -7.825000;  -25.924000
246.0;   30.417000;   -8.404500;  -24.770000
247.2;   32.674000;   -8.907500;  -23.529000
248.4;   34.784000;   -9.364900;  -22.229000
249.6;   36.804000;   -9.794300;  -20.811000
250.8;   38.754000;  -10.200000;  -19.267000
252.0;   40.502000;  -10.545000;  -17.655000
253.2;   42.063000;  -10.903000;  -15.986000
254.4;   43.338000;  -11.086000;  -14.288000
255.6;   44.482000;  -11.316000;  -12.507000
256.8;   45.439000;  -11.491000;  -10.642000
258.0;   46.200000;  -11.606000;   -8.738000
259.2;   46.776000;  -11.708000;   -6.868900
260.4;   47.147000;  -11.710000;   -5.005600
261.6;   47.353000;  -11.687000;   -3.099200
262.8;   47.436000;  -11.637000;   -1.147300
264.0;   47.321000;  -11.527000;    0.814610
265.2;   47.067000;  -11.361000;    2.737700
266.4;   46.671000;  -11.176000;    4.581700
267.6;   46.086000;  -10.931000;    6.494800
268.8;   45.293000;  -10.634000;    8.431200
270.0;   44.327000;  -10.299000;   10.338000
271.2;   43.159000;   -9.922800;   12.184000
272.4;   41.840000;   -9.524700;   13.917000
273.6;   40.294000;   -9.055700;   15.652000
274.8;   38.538000;   -8.546000;   17.357000
276.0;   36.636000;   -8.008300;   18.971000
277.2;   34.602000;   -7.430700;   20.467000
278.4;   32.510000;   -6.842200;   21.828000
279.6;   30.257000;   -6.194300;   23.148000
280.8;   27.843000;   -5.521800;   24.390000
282.0;   25.340000;   -4.815300;   25.527000
283.2;   22.789000;   -4.123800;   26.543000
284.4;   20.255000;   -3.399000;   27.427000
285.6;   17.521000;   -2.654800;   28.235000
286.8;   14.657000;   -1.890500;   28.958000
288.0;   11.724000;   -1.116000;   29.539000
289.2;    8.823100;   -0.337470;   30.000000
290.4;    5.974400;    0.414190;   30.338000
291.6;    3.016100;    1.191600;   30.564000
292.8;    0.016068;    1.976100;   30.671000
294.0;   -3.017300;    2.746500;   30.676000
295.2;   -5.977400;    3.492200;   30.552000
296.4;   -8.826100;    4.209500;   30.308000
297.6;  -11.750000;    4.935700;   29.951000
298.8;  -14.683000;    5.653800;   29.467000
300.0;  -17.568000;    6.356600;   28.855000
301.2;  -20.324000;    7.004800;   28.135000
302.4;  -22.903000;    7.624300;   27.332000
303.6;  -25.496000;    8.246700;   26.406000
304.8;  -28.004000;    8.815800;   25.342000
306.0;  -30.431000;    9.376700;   24.181000
307.2;  -32.713000;    9.896100;   22.943000
308.4;  -34.808000;   10.333000;   21.645000
309.6;  -36.857000;   10.786000;   20.213000
310.8;  -38.758000;   11.165000;   18.672000
312.0;  -40.514000;   11.533000;   17.026000
313.2;  -42.052000;   11.840000;   15.334000
314.4;  -43.346000;   12.084000;   13.661000
315.6;  -44.480000;   12.321000;   11.850000
316.8;  -45.437000;   12.489000;    9.980400
318.0;  -46.203000;   12.623000;    8.073900
319.2;  -46.739000;   12.682000;    6.195100
320.4;  -47.124000;   12.718000;    4.333400
321.6;  -47.354000;   12.712000;    2.429100
322.8;  -47.423000;   12.649000;    0.457270
324.0;  -47.324000;   12.544000;   -1.495700
325.2;  -47.065000;   12.413000;   -3.402200
326.4;  -46.647000;   12.210000;   -5.272400
327.6;  -46.092000;   11.977000;   -7.175600
328.8;  -45.288000;   11.685000;   -9.118600
330.0;  -44.330000;   11.353000;  -11.016000
331.2;  -43.166000;   10.985000;  -12.851000
332.4;  -41.837000;   10.575000;  -14.585000
333.6;  -40.300000;   10.124000;  -16.321000
334.8;  -38.560000;    9.613400;  -18.023000
336.0;  -36.656000;    9.058900;  -19.644000
337.2;  -34.622000;    8.485400;  -21.146000
338.4;  -32.530000;    7.894600;  -22.524000
339.6;  -30.257000;    7.252000;  -23.833000
340.8;  -27.843000;    6.590700;  -25.088000
342.0;  -25.351000;    5.882000;  -26.222000
343.2;  -22.801000;    5.157900;  -27.245000
344.4;  -20.242000;    4.457400;  -28.124000
345.6;  -17.525000;    3.712800;  -28.936000
346.8;  -14.666000;    2.935800;  -29.632000
348.0;  -11.742000;    2.152400;  -30.233000
349.2;   -8.820600;    1.371600;  -30.701000
350.4;   -5.982900;    0.634500;  -31.020000
351.6;   -3.028700;   -0.152260;  -31.247000
352.8;   -0.001892;   -0.935290;  -31.361000
354.0;    3.002600;   -1.704500;  -31.358000
355.2;    5.980200;   -2.461800;  -31.227000
356.4;    8.852400;   -3.187700;  -30.995000
357.6;   11.793000;   -3.915100;  -30.640000
358.8;   14.757000;   -4.633500;  -30.146000
360.0;   17.651000;   -5.343000;  -29.533000
