# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 60 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0; -108.010000;   -2.627600;   -3.982700
  1.2; -106.050000;   -2.453200;    0.222240
  2.4; -104.700000;   -2.300800;    4.275700
  3.6; -103.980000;   -2.153700;    8.273400
  4.8; -103.930000;   -2.018500;   12.246000
  6.0; -104.480000;   -1.908400;   16.296000
  7.2; -105.580000;   -1.781800;   20.442000
  8.4; -107.240000;   -1.682500;   25.070000
  9.6; -109.390000;   -1.560400;   30.329000
 10.8; -111.650000;   -1.424400;   36.138000
 12.0; -113.310000;   -1.229500;   42.386000
 13.2; -112.950000;   -1.033100;   48.669000
 14.4; -108.320000;   -0.786300;   55.058000
 15.6;  -96.914000;   -0.483090;   60.852000
 16.8;  -80.342000;   -0.156740;   65.271000
 18.0;  -64.001000;    0.190900;   68.057000
 19.2;  -52.847000;    0.489620;   69.556000
 20.4;  -48.157000;    0.739800;   70.522000
 21.6;  -49.467000;    0.938830;   71.673000
 22.8;  -53.744000;    1.081500;   73.601000
 24.0;  -57.271000;    1.230100;   76.395000
 25.2;  -56.591000;    1.390600;   79.680000
 26.4;  -48.352000;    1.597500;   83.029000
 27.6;  -31.860000;    1.879400;   85.512000
 28.8;  -12.198000;    2.171800;   86.447000
 30.0;    3.724200;    2.448500;   85.862000
 31.2;   11.759000;    2.668100;   84.413000
 32.4;   12.380000;    2.821200;   82.798000
