# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 15 mm
# sensor pos #2: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]
 36.0;  -44.734000;   -6.378800;  -36.176000;  -54.020000;    6.404700;  -28.892000
 38.4;  -47.842000;    5.501500;  -33.200000;  -37.640000;   -5.685700;  -39.876000
 40.8;  -29.841000;   -4.897100;  -43.116000;  -41.159000;    4.511900;  -36.980000
 43.2;  -34.196000;    3.432400;  -40.198000;  -21.255000;   -4.016600;  -45.689000
 45.6;  -12.396000;   -3.103300;  -47.479000;  -26.704000;    2.343600;  -42.772000
 48.0;  -18.295000;    1.191600;  -44.776000;   -3.315700;   -2.082400;  -48.528000
 50.4;    5.210500;   -1.076100;  -48.880000;   -9.912900;    0.036310;  -46.008000
 52.8;   -1.442700;   -1.138000;  -46.542000;   14.199000;   -0.020448;  -48.557000
 55.2;   23.334000;    1.051200;  -47.446000;    7.023000;   -2.204500;  -46.380000
 57.6;   15.433000;   -3.239200;  -45.587000;   31.758000;    2.097100;  -45.588000
 60.0;   39.643000;    3.139700;  -42.953000;   24.111000;   -4.229100;  -44.033000
 62.4;   31.934000;   -5.138700;  -41.792000;   46.706000;    4.094800;  -39.821000
 64.8;   53.695000;    5.025400;  -35.985000;   39.265000;   -5.961300;  -38.896000
 67.2;   46.143000;   -6.686100;  -35.399000;   60.217000;    5.902100;  -31.433000
 69.6;   65.332000;    6.675100;  -26.342000;   52.579000;   -7.288000;  -31.428000
 72.0;   58.488000;   -7.813400;  -26.642000;   68.890000;    7.385700;  -20.573000
 74.4;   70.841000;    7.949500;  -14.816000;   62.938000;   -8.081900;  -21.500000
 76.8;   65.945000;   -8.310800;  -15.885000;   71.697000;    8.335600;   -8.879900
 79.2;   71.815000;    8.666100;   -3.048900;   67.576000;   -8.387700;  -10.203000
 81.6;   68.286000;   -8.367900;   -4.688900;   71.393000;    8.827000;    2.662700
 84.0;   70.205000;    8.905400;    8.692100;   68.377000;   -8.162200;    0.991990
 86.4;   67.830000;   -7.834700;    6.479300;   68.026000;    8.865900;   14.568000
 88.8;   64.293000;    8.706400;   20.530000;   66.468000;   -7.406800;   12.162000
 91.2;   63.912000;   -6.770500;   17.799000;   58.934000;    8.381900;   26.118000
 93.6;   52.488000;    7.945800;   31.034000;   59.986000;   -6.099100;   23.143000
 96.0;   54.409000;   -5.259300;   28.216000;   45.309000;    7.351300;   35.492000
 98.4;   38.269000;    6.668000;   39.181000;   48.255000;   -4.313800;   32.519000
100.8;   41.551000;   -3.299700;   36.295000;   30.486000;    5.887900;   42.380000
103.2;   21.950000;    5.027600;   44.944000;   34.623000;   -2.215700;   39.494000
105.6;   27.051000;   -1.107800;   42.105000;   12.929000;    4.102300;   46.766000
108.0;    3.918100;    3.081000;   47.815000;   18.633000;    0.037803;   44.100000
110.4;   10.210000;    1.158800;   45.314000;   -4.629000;    2.078800;   48.153000
112.8;  -13.514000;    1.032900;   47.839000;    1.793700;    2.261800;   45.853000
115.2;   -6.737300;    3.373400;   45.728000;  -22.746000;   -0.049200;   46.744000
117.6;  -31.235000;   -1.095100;   44.873000;  -15.202000;    4.414500;   44.962000
120.0;  -23.901000;    5.442100;   43.332000;  -39.101000;   -2.136200;   42.262000
122.4;  -46.147000;   -3.116300;   39.112000;  -31.768000;    6.303500;   41.162000
124.8;  -39.081000;    7.036200;   38.231000;  -53.139000;   -4.038300;   35.308000
127.2;  -59.582000;   -4.936700;   30.790000;  -45.942000;    7.851300;   34.788000
129.6;  -52.377000;    8.457700;   30.782000;  -64.733000;   -5.674200;   25.714000
132.0;  -68.293000;   -6.391100;   19.968000;  -58.300000;    8.928600;   26.039000
134.4;  -62.722000;    9.276600;   20.906000;  -70.222000;   -6.926900;   14.225000
136.8;  -71.078000;   -7.377600;    8.306300;  -65.736000;    9.480100;   15.319000
139.2;  -67.394000;    9.589200;    9.602300;  -71.207000;   -7.647200;    2.437600
141.6;  -70.758000;   -7.828300;   -3.299500;  -68.131000;    9.495800;    4.072500
144.0;  -68.177000;    9.370000;   -1.623600;  -69.598000;   -7.900800;   -9.284600
146.4;  -67.388000;   -7.861200;  -15.203000;  -67.702000;    9.042500;   -7.134900
148.8;  -66.326000;    8.575700;  -12.844000;  -63.639000;   -7.664400;  -21.184000
151.2;  -58.266000;   -7.369800;  -26.783000;  -63.818000;    7.985000;  -18.486000
153.6;  -59.887000;    7.286700;  -23.840000;  -51.834000;   -6.925800;  -31.732000
156.0;  -44.714000;   -6.343700;  -36.158000;  -54.398000;    6.441700;  -28.949000
158.4;  -48.169000;    5.548100;  -33.276000;  -37.635000;   -5.647300;  -39.857000
160.8;  -29.901000;   -4.878100;  -43.092000;  -41.465000;    4.569100;  -37.059000
163.2;  -34.485000;    3.495900;  -40.269000;  -21.396000;   -4.025600;  -45.652000
165.6;  -12.523000;   -3.103300;  -47.446000;  -26.931000;    2.377200;  -42.893000
168.0;  -18.448000;    1.254400;  -44.868000;   -3.491300;   -2.097700;  -48.525000
170.4;    5.040500;   -1.092100;  -48.871000;  -10.017000;    0.096054;  -46.111000
172.8;   -1.520400;   -1.064900;  -46.637000;   14.004000;   -0.046213;  -48.525000
175.2;   23.077000;    1.015700;  -47.441000;    6.964800;   -2.173100;  -46.506000
177.6;   15.406000;   -3.217900;  -45.704000;   31.507000;    2.060200;  -45.587000
180.0;   39.378000;    3.093000;  -42.952000;   24.129000;   -4.231700;  -44.157000
182.4;   32.006000;   -5.144300;  -41.899000;   46.396000;    4.044100;  -39.825000
184.8;   53.354000;    4.971200;  -36.022000;   39.363000;   -5.965400;  -39.009000
187.2;   46.235000;   -6.696900;  -35.526000;   59.788000;    5.864800;  -31.506000
189.6;   64.922000;    6.644100;  -26.462000;   52.650000;   -7.292100;  -31.558000
192.0;   58.602000;   -7.852600;  -26.724000;   68.540000;    7.350200;  -20.722000
194.4;   70.501000;    7.921500;  -14.992000;   63.063000;   -8.099800;  -21.613000
196.8;   66.076000;   -8.320500;  -16.024000;   71.392000;    8.334100;   -9.111300
199.2;   71.547000;    8.647800;   -3.274000;   67.738000;   -8.415000;  -10.327000
201.6;   68.457000;   -8.367500;   -4.792800;   71.142000;    8.797500;    2.426900
204.0;   69.998000;    8.880800;    8.427200;   68.563000;   -8.135300;    0.881130
206.4;   68.022000;   -7.829500;    6.422800;   67.858000;    8.830000;   14.312000
208.8;   64.200000;    8.667900;   20.268000;   66.655000;   -7.397100;   12.105000
211.2;   64.098000;   -6.837700;   17.795000;   58.857000;    8.342000;   25.877000
213.6;   52.460000;    7.905400;   30.817000;   60.143000;   -6.129300;   23.148000
216.0;   54.589000;   -5.384800;   28.214000;   45.363000;    7.288200;   35.265000
218.4;   38.319000;    6.628000;   38.951000;   48.402000;   -4.421000;   32.555000
220.8;   41.661000;   -3.427800;   36.352000;   30.585000;    5.856900;   42.193000
223.2;   22.096000;    4.987300;   44.759000;   34.676000;   -2.364300;   39.554000
225.6;   27.136000;   -1.253800;   42.140000;   13.201000;    4.075400;   46.567000
228.0;    4.202900;    3.060900;   47.639000;   18.670000;   -0.150020;   44.149000
230.4;   10.196000;    1.013500;   45.358000;   -4.317400;    2.056400;   47.981000
232.8;  -13.188000;    1.004900;   47.688000;    1.691100;    2.133300;   45.875000
235.2;   -6.774300;    3.252100;   45.736000;  -22.242000;   -0.044346;   46.587000
237.6;  -30.655000;   -1.076400;   44.767000;  -15.262000;    4.306200;   44.927000
240.0;  -23.916000;    5.324100;   43.303000;  -38.505000;   -2.117500;   42.171000
242.4;  -45.505000;   -3.086500;   39.073000;  -31.786000;    6.227700;   41.098000
244.8;  -39.067000;    7.078700;   38.170000;  -52.425000;   -4.020400;   35.306000
247.2;  -58.849000;   -4.901600;   30.843000;  -45.873000;    7.804300;   34.698000
249.6;  -52.274000;    8.427100;   30.729000;  -63.996000;   -5.670800;   25.805000
252.0;  -67.604000;   -6.378800;   20.123000;  -58.127000;    8.908800;   25.967000
254.4;  -62.520000;    9.263900;   20.827000;  -69.622000;   -6.934800;   14.397000
256.8;  -70.527000;   -7.372400;    8.534300;  -65.493000;    9.448000;   15.289000
259.2;  -67.144000;    9.566000;    9.616400;  -70.681000;   -7.651000;    2.727000
261.6;  -70.275000;   -7.844800;   -2.987900;  -67.867000;    9.511900;    4.105000
264.0;  -67.912000;    9.393100;   -1.563400;  -69.184000;   -7.916800;   -8.934600
266.4;  -67.066000;   -7.864600;  -14.788000;  -67.406000;    9.078700;   -7.035900
268.8;  -66.038000;    8.638100;  -12.697000;  -63.452000;   -7.657300;  -20.736000
271.2;  -58.221000;   -7.361600;  -26.349000;  -63.536000;    8.051800;  -18.320000
273.6;  -59.660000;    7.367000;  -23.646000;  -51.874000;   -6.918400;  -31.298000
276.0;  -44.825000;   -6.332900;  -35.734000;  -54.209000;    6.533900;  -28.712000
278.4;  -48.032000;    5.647100;  -33.034000;  -37.829000;   -5.659600;  -39.452000
280.8;  -30.122000;   -4.875100;  -42.690000;  -41.356000;    4.675500;  -36.808000
283.2;  -34.396000;    3.585900;  -40.008000;  -21.704000;   -4.024100;  -45.299000
285.6;  -12.911000;   -3.099900;  -47.139000;  -26.930000;    2.479900;  -42.631000
288.0;  -18.518000;    1.347700;  -44.595000;   -3.961900;   -2.090600;  -48.259000
290.4;    4.534600;   -1.079000;  -48.639000;  -10.145000;    0.172600;  -45.849000
292.8;   -1.691600;   -0.992420;  -46.390000;   13.422000;   -0.037251;  -48.340000
295.2;   22.480000;    1.038500;  -47.312000;    6.739700;   -2.099200;  -46.285000
297.6;   15.169000;   -3.158900;  -45.500000;   30.947000;    2.067300;  -45.524000
300.0;   38.812000;    3.123200;  -42.953000;   23.828000;   -4.177200;  -43.966000
302.4;   31.677000;   -5.157000;  -41.740000;   45.874000;    4.100800;  -39.858000
304.8;   52.845000;    5.040300;  -36.115000;   38.993000;   -5.996400;  -38.818000
307.2;   45.801000;   -6.743200;  -35.367000;   59.341000;    5.917400;  -31.678000
309.6;   64.571000;    6.710500;  -26.648000;   52.188000;   -7.345900;  -31.425000
312.0;   58.063000;   -7.867900;  -26.692000;   68.269000;    7.399100;  -20.955000
314.4;   70.285000;    7.959600;  -15.231000;   62.486000;   -8.185000;  -21.567000
316.8;   65.508000;   -8.410500;  -16.006000;   71.266000;    8.393100;   -9.355200
319.2;   71.471000;    8.697100;   -3.548500;   67.190000;   -8.474300;  -10.382000
321.6;   67.929000;   -8.440700;   -4.862600;   71.109000;    8.879700;    2.164900
324.0;   70.034000;    8.951700;    8.136700;   68.055000;   -8.221500;    0.744770
326.4;   67.553000;   -7.911200;    6.261600;   67.940000;    8.874100;   14.043000
328.8;   64.354000;    8.700400;   20.012000;   66.197000;   -7.450500;   11.914000
331.2;   63.685000;   -6.878000;   17.579000;   59.098000;    8.394600;   25.640000
333.6;   52.734000;    7.940600;   30.619000;   59.815000;   -6.176000;   22.912000
336.0;   54.310000;   -5.407900;   27.973000;   45.626000;    7.316600;   35.080000
338.4;   38.609000;    6.645900;   38.821000;   48.221000;   -4.486000;   32.275000
340.8;   41.551000;   -3.431900;   36.080000;   30.909000;    5.857300;   42.075000
343.2;   22.392000;    4.983200;   44.698000;   34.604000;   -2.373300;   39.298000
345.6;   27.169000;   -1.265000;   41.908000;   13.500000;    4.039600;   46.517000
348.0;    4.458000;    3.047800;   47.634000;   18.756000;   -0.100730;   43.923000
350.4;   10.348000;    1.030300;   45.155000;   -4.079900;    2.051600;   48.033000
352.8;  -12.980000;    1.011300;   47.760000;    1.910300;    2.145300;   45.723000
355.2;   -6.515900;    3.274100;   45.599000;  -22.094000;   -0.084673;   46.715000
357.6;  -30.579000;   -1.131000;   44.910000;  -14.974000;    4.303200;   44.828000
360.0;  -23.588000;    5.327800;   43.244000;  -38.505000;   -2.157400;   42.355000
