# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -50.839000;   12.806000;  -25.556000
  1.2;  -47.849000;   12.104000;  -27.711000
  2.4;  -44.908000;   11.381000;  -29.582000
  3.6;  -41.942000;   10.628000;  -31.276000
  4.8;  -38.833000;    9.831100;  -32.914000
  6.0;  -35.599000;    8.967400;  -34.423000
  7.2;  -32.269000;    8.063400;  -35.807000
  8.4;  -28.829000;    7.158600;  -37.057000
  9.6;  -25.362000;    6.257200;  -38.139000
 10.8;  -21.614000;    5.305400;  -39.110000
 12.0;  -17.670000;    4.304300;  -39.952000
 13.2;  -13.675000;    3.311800;  -40.605000
 14.4;   -9.754200;    2.309200;  -41.090000
 15.6;   -5.943000;    1.330500;  -41.407000
 16.8;   -2.021100;    0.314870;  -41.572000
 18.0;    1.912100;   -0.700790;  -41.597000
 19.2;    5.871000;   -1.701900;  -41.477000
 20.4;    9.790700;   -2.688000;  -41.211000
 21.6;   13.655000;   -3.629800;  -40.777000
 22.8;   17.628000;   -4.597600;  -40.196000
 24.0;   21.590000;   -5.548700;  -39.420000
 25.2;   25.403000;   -6.468400;  -38.481000
 26.4;   29.014000;   -7.355200;  -37.410000
 27.6;   32.325000;   -8.170400;  -36.231000
 28.8;   35.618000;   -8.991100;  -34.886000
 30.0;   38.834000;   -9.775700;  -33.379000
 31.2;   41.936000;  -10.518000;  -31.761000
 32.4;   44.894000;  -11.205000;  -30.071000
 33.6;   47.704000;  -11.815000;  -28.280000
 34.8;   50.455000;  -12.405000;  -26.319000
 36.0;   53.073000;  -12.948000;  -24.163000
 37.2;   55.376000;  -13.448000;  -21.896000
 38.4;   57.291000;  -13.854000;  -19.579000
 39.6;   58.846000;  -14.210000;  -17.247000
 40.8;   60.136000;  -14.515000;  -14.788000
 42.0;   61.131000;  -14.747000;  -12.233000
 43.2;   61.839000;  -14.921000;   -9.705900
 44.4;   62.321000;  -15.050000;   -7.226200
 45.6;   62.595000;  -15.095000;   -4.802800
 46.8;   62.722000;  -15.090000;   -2.312400
 48.0;   62.725000;  -15.009000;    0.198590
 49.2;   62.546000;  -14.907000;    2.704400
 50.4;   62.206000;  -14.746000;    5.163000
 51.6;   61.698000;  -14.538000;    7.566900
 52.8;   60.971000;  -14.252000;   10.071000
 54.0;   59.958000;  -13.922000;   12.598000
 55.2;   58.641000;  -13.517000;   15.112000
 56.4;   57.076000;  -13.085000;   17.513000
 57.6;   55.222000;  -12.596000;   19.811000
 58.8;   52.955000;  -12.027000;   22.104000
 60.0;   50.362000;  -11.415000;   24.306000
 61.2;   47.614000;  -10.742000;   26.366000
 62.4;   44.755000;  -10.031000;   28.238000
 63.6;   41.869000;   -9.294000;   29.962000
 64.8;   38.821000;   -8.499700;   31.601000
 66.0;   35.636000;   -7.649100;   33.137000
 67.2;   32.368000;   -6.785800;   34.535000
 68.4;   29.057000;   -5.875400;   35.790000
 69.6;   25.654000;   -5.002800;   36.885000
 70.8;   21.962000;   -4.054300;   37.883000
 72.0;   18.072000;   -3.072300;   38.748000
 73.2;   14.150000;   -2.094000;   39.426000
 74.4;   10.251000;   -1.118300;   39.943000
 75.6;    6.492300;   -0.155990;   40.302000
 76.8;    2.622500;    0.838010;   40.507000
 78.0;   -1.275200;    1.809600;   40.559000
 79.2;   -5.179100;    2.835700;   40.460000
 80.4;   -9.001000;    3.787900;   40.242000
 81.6;  -12.816000;    4.717700;   39.876000
 82.8;  -16.717000;    5.658700;   39.334000
 84.0;  -20.679000;    6.605200;   38.639000
 85.2;  -24.517000;    7.517900;   37.751000
 86.4;  -28.083000;    8.372200;   36.733000
 87.6;  -31.450000;    9.199300;   35.592000
 88.8;  -34.763000;    9.997300;   34.291000
 90.0;  -37.975000;   10.781000;   32.851000
 91.2;  -41.087000;   11.530000;   31.298000
 92.4;  -44.046000;   12.195000;   29.648000
 93.6;  -46.858000;   12.830000;   27.935000
 94.8;  -49.668000;   13.415000;   26.005000
 96.0;  -52.296000;   13.993000;   23.880000
 97.2;  -54.670000;   14.476000;   21.679000
 98.4;  -56.659000;   14.904000;   19.412000
 99.6;  -58.307000;   15.254000;   17.116000
100.8;  -59.694000;   15.582000;   14.687000
102.0;  -60.783000;   15.834000;   12.154000
103.2;  -61.575000;   16.020000;    9.629300
104.4;  -62.126000;   16.152000;    7.156700
105.6;  -62.492000;   16.224000;    4.742100
106.8;  -62.695000;   16.261000;    2.254000
108.0;  -62.728000;   16.237000;   -0.286610
109.2;  -62.630000;   16.130000;   -2.801300
110.4;  -62.371000;   15.989000;   -5.263600
111.6;  -61.942000;   15.805000;   -7.670400
112.8;  -61.286000;   15.543000;  -10.193000
114.0;  -60.387000;   15.214000;  -12.738000
115.2;  -59.199000;   14.838000;  -15.262000
116.4;  -57.695000;   14.397000;  -17.709000
117.6;  -55.941000;   13.929000;  -20.025000
118.8;  -53.763000;   13.375000;  -22.371000
120.0;  -51.237000;   12.746000;  -24.653000
121.2;  -48.504000;   12.079000;  -26.771000
122.4;  -45.665000;   11.386000;  -28.703000
123.6;  -42.785000;   10.654000;  -30.479000
124.8;  -39.734000;    9.837500;  -32.175000
126.0;  -36.568000;    9.006600;  -33.768000
127.2;  -33.309000;    8.118700;  -35.214000
128.4;  -29.968000;    7.232200;  -36.529000
129.6;  -26.594000;    6.348000;  -37.688000
130.8;  -22.913000;    5.388300;  -38.744000
132.0;  -19.050000;    4.416300;  -39.644000
133.2;  -15.031000;    3.414900;  -40.405000
134.4;  -11.099000;    2.424600;  -40.959000
135.6;   -7.303500;    1.462000;  -41.348000
136.8;   -3.346800;    0.450040;  -41.603000
138.0;    0.619380;   -0.567860;  -41.708000
139.2;    4.553300;   -1.562200;  -41.664000
140.4;    8.488400;   -2.566300;  -41.447000
141.6;   12.325000;   -3.503200;  -41.123000
142.8;   16.384000;   -4.459100;  -40.608000
144.0;   20.411000;   -5.419500;  -39.924000
145.2;   24.287000;   -6.318300;  -39.085000
146.4;   27.981000;   -7.212200;  -38.077000
147.6;   31.433000;   -8.033000;  -36.962000
148.8;   34.824000;   -8.872800;  -35.677000
150.0;   38.153000;   -9.678200;  -34.226000
151.2;   41.361000;  -10.428000;  -32.666000
152.4;   44.434000;  -11.127000;  -31.025000
153.6;   47.354000;  -11.767000;  -29.273000
154.8;   50.265000;  -12.372000;  -27.335000
156.0;   53.041000;  -12.951000;  -25.199000
157.2;   55.480000;  -13.459000;  -22.970000
158.4;   57.605000;  -13.892000;  -20.646000
159.6;   59.320000;  -14.270000;  -18.327000
160.8;   60.754000;  -14.598000;  -15.825000
162.0;   61.885000;  -14.866000;  -13.269000
163.2;   62.712000;  -15.103000;  -10.682000
164.4;   63.281000;  -15.217000;   -8.156400
165.6;   63.646000;  -15.291000;   -5.714000
166.8;   63.838000;  -15.300000;   -3.185700
168.0;   63.897000;  -15.275000;   -0.616610
169.2;   63.795000;  -15.193000;    1.933900
170.4;   63.535000;  -15.059000;    4.447200
171.6;   63.122000;  -14.827000;    6.885400
172.8;   62.487000;  -14.584000;    9.433400
174.0;   61.587000;  -14.267000;   12.015000
175.2;   60.405000;  -13.876000;   14.581000
176.4;   58.922000;  -13.427000;   17.052000
177.6;   57.152000;  -12.934000;   19.421000
178.8;   54.986000;  -12.363000;   21.789000
180.0;   52.417000;  -11.709000;   24.125000
181.2;   49.643000;  -11.029000;   26.298000
