# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 40 mm
# Rotation step angle: 2.4°
# sensor pos #1: 35 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   -2.861200;   -0.707880;  -17.936000
  2.4;   -6.523200;   -1.018600;  -17.660000
  4.8;   -9.916900;   -1.291500;  -17.164000
  7.2;  -13.296000;   -1.518900;  -16.388000
  9.6;  -16.449000;   -1.721700;  -15.391000
 12.0;  -19.285000;   -1.857600;  -14.175000
 14.4;  -21.912000;   -1.984900;  -12.700000
 16.8;  -24.099000;   -2.074500;  -11.090000
 19.2;  -25.965000;   -2.105200;   -9.257600
 21.6;  -27.405000;   -2.098400;   -7.291300
 24.0;  -28.396000;   -2.041300;   -5.267600
 26.4;  -28.961000;   -1.948700;   -3.049300
 28.8;  -29.045000;   -1.827300;   -0.899310
 31.2;  -28.703000;   -1.658600;    1.347500
 33.6;  -27.890000;   -1.467400;    3.552200
 36.0;  -26.669000;   -1.232500;    5.672600
 38.4;  -24.984000;   -0.955820;    7.747600
 40.8;  -22.970000;   -0.660460;    9.607500
 43.2;  -20.535000;   -0.328880;   11.359000
 45.6;  -17.812000;    0.022867;   12.908000
 48.0;  -14.841000;    0.376850;   14.195000
 50.4;  -11.555000;    0.736070;   15.289000
 52.8;   -8.226500;    1.094500;   16.091000
 55.2;   -4.666300;    1.455600;   16.654000
 57.6;   -1.035500;    1.792400;   16.948000
 60.0;    2.548400;    2.107200;   16.976000
 62.4;    6.191400;    2.396600;   16.743000
 64.8;    9.635300;    2.654200;   16.271000
 67.2;   13.020000;    2.879400;   15.535000
 69.6;   16.202000;    3.086300;   14.533000
 72.0;   19.078000;    3.223700;   13.315000
 74.4;   21.710000;    3.337600;   11.837000
 76.8;   23.911000;    3.407000;   10.218000
 79.2;   25.792000;    3.452200;    8.360600
 81.6;   27.229000;    3.445500;    6.375500
 84.0;   28.211000;    3.410800;    4.294900
 86.4;   28.754000;    3.326000;    2.071800
 88.8;   28.832000;    3.214000;   -0.129930
 91.2;   28.462000;    3.060500;   -2.411800
 93.6;   27.641000;    2.858100;   -4.637200
 96.0;   26.408000;    2.618400;   -6.760200
 98.4;   24.680000;    2.341000;   -8.853700
100.8;   22.670000;    2.047500;  -10.732000
103.2;   20.208000;    1.712100;  -12.492000
105.6;   17.478000;    1.379100;  -14.035000
108.0;   14.488000;    1.011300;  -15.326000
110.4;   11.186000;    0.637860;  -16.393000
112.8;    7.881800;    0.274540;  -17.186000
115.2;    4.300400;   -0.089901;  -17.705000
117.6;    0.707710;   -0.421110;  -17.972000
120.0;   -2.903000;   -0.759040;  -17.972000
122.4;   -6.539700;   -1.061900;  -17.707000
124.8;   -9.950300;   -1.309400;  -17.196000
127.2;  -13.350000;   -1.537600;  -16.419000
129.6;  -16.505000;   -1.727300;  -15.424000
132.0;  -19.367000;   -1.886000;  -14.198000
134.4;  -22.008000;   -1.992800;  -12.719000
136.8;  -24.193000;   -2.056200;  -11.092000
139.2;  -26.071000;   -2.085000;   -9.240600
141.6;  -27.516000;   -2.079400;   -7.266900
144.0;  -28.476000;   -2.008100;   -5.218500
146.4;  -29.027000;   -1.915500;   -2.997900
148.8;  -29.126000;   -1.795600;   -0.825770
151.2;  -28.750000;   -1.616000;    1.439100
153.6;  -27.938000;   -1.413600;    3.620500
156.0;  -26.691000;   -1.175800;    5.749800
158.4;  -25.002000;   -0.896080;    7.820400
160.8;  -22.979000;   -0.614160;    9.687300
