# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 1.2°
# sensor pos #1: 35 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;    3.669300;   -1.041000;  -52.598000
  1.2;   -0.902090;   -1.405000;  -52.443000
  2.4;   -5.126700;   -1.719100;  -52.130000
  3.6;   -9.323900;   -2.021900;  -51.644000
  4.8;  -13.760000;   -2.343400;  -50.978000
  6.0;  -18.349000;   -2.648800;  -50.100000
  7.2;  -22.954000;   -2.933400;  -48.994000
  8.4;  -27.395000;   -3.215700;  -47.714000
  9.6;  -31.568000;   -3.475600;  -46.263000
 10.8;  -35.634000;   -3.716400;  -44.573000
 12.0;  -39.460000;   -3.935600;  -42.733000
 13.2;  -43.067000;   -4.131300;  -40.734000
 14.4;  -46.478000;   -4.332900;  -38.638000
 15.6;  -49.812000;   -4.499100;  -36.468000
 16.8;  -53.284000;   -4.647700;  -34.039000
 18.0;  -56.778000;   -4.791400;  -31.411000
 19.2;  -60.295000;   -4.917300;  -28.409000
 20.4;  -63.198000;   -5.006900;  -25.495000
 21.6;  -65.661000;   -5.080100;  -22.502000
 22.8;  -67.755000;   -5.109900;  -19.261000
 24.0;  -69.384000;   -5.140600;  -15.927000
 25.2;  -70.501000;   -5.140600;  -12.586000
 26.4;  -71.237000;   -5.106600;   -9.354000
 27.6;  -71.680000;   -5.054700;   -6.221400
 28.8;  -71.898000;   -4.981900;   -2.987900
 30.0;  -71.946000;   -4.893700;    0.223720
 31.2;  -71.861000;   -4.788400;    3.391400
 32.4;  -71.659000;   -4.667500;    6.434600
 33.6;  -71.351000;   -4.529700;    9.430800
 34.8;  -70.904000;   -4.367200;   12.536000
 36.0;  -70.262000;   -4.189500;   15.684000
 37.2;  -69.363000;   -3.990900;   18.815000
 38.4;  -68.184000;   -3.777300;   21.884000
 39.6;  -66.672000;   -3.557000;   24.832000
 40.8;  -64.659000;   -3.300800;   27.853000
 42.0;  -62.127000;   -2.998000;   30.781000
 43.2;  -59.155000;   -2.698100;   33.555000
