# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
 91.2;   52.141000;  -11.508000;   25.201000;   50.577000;    3.333500;   34.247000;   45.415000;    7.320300;   35.466000
 93.6;   38.353000;    6.661300;   39.156000;   43.859000;    3.435000;   38.566000;   46.355000;  -10.062000;   29.190000
 96.0;   39.945000;   -8.439200;   32.691000;   36.743000;    3.509000;   42.372000;   30.499000;    5.883100;   42.418000
 98.4;   21.928000;    5.017500;   44.993000;   29.075000;    3.561600;   45.531000;   33.535000;   -6.592700;   35.717000
100.8;   26.445000;   -4.723500;   38.169000;   20.800000;    3.543700;   47.956000;   12.983000;    4.114300;   46.792000
103.2;    3.964000;    3.092200;   47.847000;   11.847000;    3.514600;   49.653000;   18.421000;   -2.749700;   40.079000
105.6;   10.370000;   -0.762030;   41.293000;    3.359600;    3.394000;   50.490000;   -4.630800;    2.102700;   48.206000
108.0;  -13.611000;    1.060200;   47.861000;   -5.262300;    3.241600;   50.629000;    2.203500;    1.277500;   41.832000
110.4;   -5.808100;    3.313300;   41.779000;  -14.034000;    3.055300;   50.018000;  -22.703000;   -0.017834;   46.771000
112.8;  -31.176000;   -1.046600;   44.925000;  -22.701000;    2.813300;   48.668000;  -13.828000;    5.232200;   41.157000
115.2;  -22.089000;    7.181000;   39.795000;  -31.116000;    2.543700;   46.418000;  -39.018000;   -2.063300;   42.295000
117.6;  -46.056000;   -3.030100;   39.163000;  -38.540000;    2.220000;   43.536000;  -29.636000;    8.948000;   37.827000
120.0;  -36.643000;   10.682000;   35.140000;  -45.656000;    1.889500;   39.938000;  -53.080000;   -3.954300;   35.337000
122.4;  -59.525000;   -4.830300;   30.805000;  -52.445000;    1.532200;   35.700000;  -43.155000;   12.169000;   32.090000
124.8;  -49.288000;   13.494000;   28.530000;  -58.541000;    1.175200;   30.834000;  -64.686000;   -5.613700;   25.746000
127.2;  -68.254000;   -6.313800;   19.986000;  -63.569000;    0.743910;   25.151000;  -55.025000;   14.615000;   24.270000
129.6;  -59.395000;   15.519000;   19.632000;  -66.775000;    0.364900;   19.231000;  -70.209000;   -6.841800;   14.235000
132.0;  -71.057000;   -7.284300;    8.284900;  -68.647000;   -0.011860;   12.968000;  -62.493000;   16.110000;   14.594000
134.4;  -64.214000;   16.517000;    9.388300;  -69.442000;   -0.366970;    6.746800;  -71.162000;   -7.571100;    2.437600
136.8;  -70.707000;   -7.763000;   -3.319800;  -69.584000;   -0.699670;    0.658670;  -64.950000;   16.730000;    4.251700
139.2;  -65.067000;   16.665000;   -0.961390;  -69.151000;   -1.021500;   -5.608400;  -69.570000;   -7.828300;   -9.335900
141.6;  -67.376000;   -7.785400;  -15.240000;  -67.950000;   -1.349400;  -11.752000;  -64.620000;   16.327000;   -5.980500
144.0;  -63.225000;   15.916000;  -11.254000;  -65.610000;   -1.635000;  -18.104000;  -63.607000;   -7.615500;  -21.231000
146.4;  -58.236000;   -7.324600;  -26.837000;  -61.791000;   -1.884100;  -24.231000;  -61.027000;   15.014000;  -16.375000
148.8;  -57.338000;   14.037000;  -21.305000;  -56.499000;   -2.080900;  -29.853000;  -51.782000;   -6.873500;  -31.779000
151.2;  -44.658000;   -6.292500;  -36.207000;  -49.937000;   -2.248900;  -35.033000;  -52.146000;   12.782000;  -25.995000
153.6;  -46.258000;   11.341000;  -29.990000;  -43.225000;   -2.345300;  -39.330000;  -37.572000;   -5.618900;  -39.905000
