# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
# sensor pos #2: 35 mm
# sensor pos #3: 65 mm
# sensor pos #4: 90 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;  -25.177000;   -5.515800;  -38.921000;  -31.741000;   -3.483400;  -46.092000;  -37.822000;   -1.577200;  -45.393000;  -43.571000;    3.871200;  -40.844000
  1.2;  -47.053000;    4.361100;  -38.892000;  -41.543000;   -1.509600;  -43.471000;  -35.745000;   -3.737700;  -44.385000;  -29.393000;   -6.450500;  -37.817000
  2.4;  -33.379000;   -7.443400;  -36.339000;  -39.524000;   -3.974800;  -42.541000;  -45.108000;   -1.448300;  -41.446000;  -50.527000;    4.769200;  -36.811000
  3.6;  -54.060000;    5.226300;  -34.588000;  -48.606000;   -1.423700;  -39.204000;  -43.152000;   -4.196200;  -40.522000;  -37.068000;   -8.432100;  -34.669000
  4.8;  -40.484000;   -9.339900;  -33.006000;  -46.559000;   -4.378400;  -38.449000;  -52.044000;   -1.413200;  -36.916000;  -57.555000;    5.643400;  -32.268000
  6.0;  -60.912000;    6.031300;  -29.815000;  -55.424000;   -1.315000;  -34.491000;  -49.898000;   -4.554300;  -36.248000;  -43.738000;  -10.152000;  -31.304000
  7.2;  -47.002000;  -10.983000;  -29.414000;  -53.320000;   -4.711200;  -33.868000;  -58.873000;   -1.207900;  -31.850000;  -64.207000;    6.483100;  -27.078000
  8.4;  -67.142000;    6.857700;  -24.128000;  -62.189000;   -1.184000;  -28.892000;  -56.773000;   -4.844100;  -31.224000;  -50.297000;  -11.799000;  -27.341000
  9.6;  -53.526000;  -12.530000;  -25.178000;  -60.095000;   -4.914700;  -28.463000;  -65.178000;   -1.091000;  -25.807000;  -69.554000;    7.125400;  -21.051000
 10.8;  -71.365000;    7.427500;  -17.952000;  -67.627000;   -0.984200;  -22.638000;  -62.985000;   -5.065900;  -25.528000;  -56.591000;  -13.204000;  -22.919000
 12.0;  -59.253000;  -13.897000;  -20.518000;  -65.451000;   -5.146500;  -22.556000;  -69.529000;   -0.924830;  -19.434000;  -72.671000;    7.709400;  -14.872000
 13.2;  -73.563000;    7.967100;  -11.681000;  -71.031000;   -0.762770;  -16.071000;  -67.555000;   -5.173400;  -19.333000;  -61.931000;  -14.309000;  -18.028000
 14.4;  -64.074000;  -14.834000;  -15.339000;  -69.177000;   -5.220500;  -16.035000;  -72.012000;   -0.683240;  -12.623000;  -74.100000;    8.200400;   -8.436500
 15.6;  -74.331000;    8.381200;   -5.297600;  -72.646000;   -0.489820;   -9.231000;  -70.359000;   -5.185000;  -12.687000;  -65.598000;  -15.361000;  -12.569000
 16.8;  -66.797000;  -15.741000;   -9.895400;  -71.098000;   -5.140200;   -9.480400;  -72.944000;   -0.425220;   -5.956800;  -74.391000;    8.561200;   -2.293200
 18.0;  -74.282000;    8.680600;    0.635760;  -73.059000;   -0.273620;   -2.786900;  -71.547000;   -5.090500;   -6.315300;  -67.666000;  -16.014000;   -7.256900
 19.2;  -68.227000;  -16.238000;   -4.543000;  -71.773000;   -5.019600;   -3.108800;  -73.022000;   -0.201920;    0.431770;  -74.078000;    8.748600;    3.640500
 20.4;  -73.780000;    8.806500;    6.658900;  -72.843000;   -0.065256;    3.698500;  -71.856000;   -4.898600;    0.099184;  -68.650000;  -16.359000;   -1.862700
 21.6;  -68.808000;  -16.464000;    0.789110;  -71.770000;   -4.853000;    3.238800;  -72.604000;    0.055353;    6.869500;  -73.336000;    8.802800;    9.660300
 22.8;  -72.774000;    8.794500;   12.603000;  -72.247000;    0.184550;   10.025000;  -71.547000;   -4.714900;    6.307500;  -68.910000;  -16.379000;    3.344800
 24.0;  -68.612000;  -16.518000;    5.824800;  -71.262000;   -4.552100;    9.291100;  -71.788000;    0.313750;   13.072000;  -72.056000;    8.741900;   15.493000
 25.2;  -71.032000;    8.673900;   18.506000;  -71.067000;    0.399260;   16.272000;  -70.812000;   -4.428100;   12.381000;  -68.424000;  -16.415000;    8.373200
 26.4;  -67.992000;  -16.275000;   10.959000;  -70.199000;   -4.210400;   15.509000;  -70.158000;    0.527710;   19.509000;  -69.635000;    8.539500;   21.576000
 27.6;  -67.784000;    8.408100;   24.578000;  -68.836000;    0.646820;   22.752000;  -69.320000;   -4.024800;   18.661000;  -67.484000;  -16.009000;   13.543000
