# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;    3.528200;   -0.394970;  -59.417000
  1.2;    8.262600;   -1.677200;  -59.296000
  2.4;   13.954000;   -2.943800;  -59.087000
  3.6;   20.439000;   -4.129800;  -58.684000
  4.8;   27.761000;   -5.360100;  -57.927000
  6.0;   35.167000;   -6.593900;  -56.735000
  7.2;   41.721000;   -7.939600;  -55.162000
  8.4;   46.665000;   -8.960100;  -53.239000
  9.6;   50.427000;  -10.031000;  -51.273000
 10.8;   53.693000;  -11.099000;  -49.227000
 12.0;   57.124000;  -12.156000;  -47.154000
 13.2;   61.205000;  -13.156000;  -45.068000
 14.4;   66.166000;  -14.086000;  -42.879000
 15.6;   71.707000;  -14.977000;  -40.515000
 16.8;   77.462000;  -15.763000;  -37.705000
 18.0;   82.847000;  -16.524000;  -34.425000
 19.2;   87.061000;  -17.188000;  -30.749000
 20.4;   89.995000;  -17.917000;  -26.933000
 21.6;   91.472000;  -18.287000;  -23.044000
 22.8;   92.237000;  -18.701000;  -19.091000
 24.0;   92.394000;  -19.145000;  -15.072000
 25.2;   92.263000;  -19.417000;  -11.323000
 26.4;   92.008000;  -19.604000;   -7.766500
 27.6;   91.773000;  -19.717000;   -4.462800
 28.8;   91.608000;  -19.770000;   -1.178700
 30.0;   91.518000;  -19.758000;    2.157500
 31.2;   91.544000;  -19.680000;    5.466400
 32.4;   91.588000;  -19.543000;    8.802200
 33.6;   91.599000;  -19.340000;   12.126000
 34.8;   91.459000;  -19.070000;   15.640000
 36.0;   90.997000;  -18.689000;   19.384000
 37.2;   89.851000;  -18.243000;   23.259000
 38.4;   87.779000;  -17.712000;   27.137000
 39.6;   84.676000;  -17.105000;   30.817000
 40.8;   80.278000;  -16.408000;   34.397000
 42.0;   74.695000;  -15.604000;   37.768000
 43.2;   68.672000;  -14.694000;   40.708000
 44.4;   63.027000;  -13.738000;   43.200000
 45.6;   58.345000;  -12.760000;   45.283000
 46.8;   54.443000;  -11.703000;   47.207000
 48.0;   51.033000;  -10.586000;   49.098000
 49.2;   47.631000;   -9.460900;   50.998000
 50.4;   43.525000;   -8.315300;   52.895000
 51.6;   38.459000;   -7.180100;   54.642000
 52.8;   32.018000;   -6.003100;   56.224000
 54.0;   24.618000;   -4.763400;   57.510000
 55.2;   17.162000;   -3.484500;   58.365000
 56.4;   10.558000;   -2.239600;   58.792000
 57.6;    5.200600;   -1.007700;   58.933000
 58.8;    0.660060;    0.267450;   58.907000
 60.0;   -3.669800;    1.562000;   58.800000
 61.2;   -8.403100;    2.855100;   58.669000
 62.4;  -14.056000;    4.119900;   58.442000
 63.6;  -20.605000;    5.349900;   58.023000
 64.8;  -27.913000;    6.580200;   57.255000
 66.0;  -35.202000;    7.749700;   56.043000
 67.2;  -41.723000;    9.021900;   54.452000
 68.4;  -46.805000;   10.195000;   52.539000
 69.6;  -50.568000;   11.286000;   50.565000
 70.8;  -53.811000;   12.361000;   48.534000
 72.0;  -57.193000;   13.430000;   46.457000
 73.2;  -61.246000;   14.438000;   44.367000
 74.4;  -66.231000;   15.370000;   42.181000
 75.6;  -71.791000;   16.230000;   39.827000
 76.8;  -77.611000;   17.033000;   37.036000
 78.0;  -83.009000;   17.742000;   33.736000
 79.2;  -87.312000;   18.460000;   30.067000
 80.4;  -90.139000;   19.030000;   26.200000
 81.6;  -91.725000;   19.508000;   22.373000
 82.8;  -92.475000;   19.910000;   18.444000
 84.0;  -92.688000;   20.218000;   14.523000
 85.2;  -92.557000;   20.469000;   10.746000
 86.4;  -92.323000;   20.641000;    7.192500
 87.6;  -92.105000;   20.739000;    3.868900
 88.8;  -91.928000;   20.780000;    0.567390
 90.0;  -91.858000;   20.768000;   -2.756600
 91.2;  -91.875000;   20.688000;   -6.084300
 92.4;  -91.920000;   20.540000;   -9.440500
 93.6;  -91.950000;   20.354000;  -12.775000
 94.8;  -91.811000;   20.077000;  -16.307000
 96.0;  -91.290000;   19.701000;  -20.084000
 97.2;  -90.153000;   19.301000;  -23.970000
 98.4;  -88.066000;   18.792000;  -27.874000
 99.6;  -84.884000;   18.219000;  -31.574000
100.8;  -80.410000;   17.563000;  -35.182000
102.0;  -74.781000;   16.771000;  -38.530000
103.2;  -68.717000;   15.916000;  -41.475000
104.4;  -62.993000;   14.971000;  -43.970000
105.6;  -58.259000;   14.021000;  -46.048000
106.8;  -54.355000;   13.005000;  -47.949000
108.0;  -50.899000;   11.870000;  -49.846000
109.2;  -47.482000;   10.769000;  -51.710000
110.4;  -43.395000;    9.614900;  -53.581000
111.6;  -38.271000;    8.477100;  -55.323000
112.8;  -31.854000;    7.276300;  -56.879000
114.0;  -24.403000;    6.006700;  -58.153000
115.2;  -16.984000;    4.722900;  -58.987000
116.4;  -10.380000;    3.412300;  -59.401000
117.6;   -5.074300;    2.144200;  -59.527000
118.8;   -0.561950;    0.868630;  -59.499000
120.0;    3.729700;   -0.456960;  -59.392000
121.2;    8.492100;   -1.776900;  -59.277000
122.4;   14.206000;   -3.077100;  -59.072000
123.6;   20.817000;   -4.377700;  -58.674000
124.8;   28.097000;   -5.539400;  -57.891000
126.0;   35.482000;   -6.799600;  -56.683000
127.2;   41.977000;   -8.087500;  -55.085000
128.4;   46.971000;   -9.210700;  -53.178000
129.6;   50.732000;  -10.299000;  -51.190000
130.8;   53.996000;  -11.379000;  -49.172000
132.0;   57.420000;  -12.435000;  -47.099000
133.2;   61.534000;  -13.437000;  -45.011000
134.4;   66.581000;  -14.389000;  -42.787000
135.6;   72.145000;  -15.236000;  -40.403000
136.8;   77.932000;  -16.067000;  -37.604000
138.0;   83.314000;  -16.809000;  -34.302000
139.2;   87.462000;  -17.493000;  -30.640000
140.4;   90.260000;  -18.074000;  -26.763000
141.6;   91.803000;  -18.541000;  -22.906000
142.8;   92.534000;  -18.949000;  -19.021000
144.0;   92.754000;  -19.213000;  -15.138000
145.2;   92.620000;  -19.454000;  -11.383000
146.4;   92.399000;  -19.619000;   -7.818600
147.6;   92.164000;  -19.736000;   -4.511900
148.8;   92.018000;  -19.762000;   -1.240400
150.0;   91.943000;  -19.762000;    2.097300
151.2;   91.946000;  -19.654000;    5.444200
152.4;   92.013000;  -19.515000;    8.788600
153.6;   92.021000;  -19.303000;   12.151000
154.8;   91.888000;  -19.048000;   15.699000
156.0;   91.371000;  -18.718000;   19.476000
157.2;   90.190000;  -18.277000;   23.402000
158.4;   88.115000;  -17.831000;   27.272000
159.6;   84.854000;  -17.209000;   30.999000
160.8;   80.353000;  -16.544000;   34.581000
162.0;   74.629000;  -15.758000;   37.982000
163.2;   68.542000;  -14.893000;   40.903000
164.4;   62.949000;  -14.009000;   43.353000
165.6;   58.201000;  -13.020000;   45.434000
166.8;   54.294000;  -11.999000;   47.351000
168.0;   50.849000;  -10.923000;   49.216000
169.2;   47.398000;   -9.785000;   51.101000
170.4;   43.296000;   -8.661800;   52.947000
171.6;   38.182000;   -7.511700;   54.658000
172.8;   31.731000;   -6.335500;   56.214000
174.0;   24.254000;   -5.034500;   57.485000
175.2;   16.847000;   -3.756000;   58.300000
176.4;   10.294000;   -2.481600;   58.709000
177.6;    5.006700;   -1.234000;   58.814000
178.8;    0.468000;    0.060207;   58.772000
180.0;   -3.876800;    1.369000;   58.665000
181.2;   -8.618300;    2.664700;   58.534000
182.4;  -14.297000;    3.945500;   58.306000
183.6;  -20.786000;    5.165400;   57.863000
184.8;  -28.075000;    6.404000;   57.087000
186.0;  -35.421000;    7.658600;   55.855000
187.2;  -41.790000;    8.865900;   54.220000
188.4;  -46.774000;   10.036000;   52.333000
189.6;  -50.543000;   11.127000;   50.350000
190.8;  -53.781000;   12.205000;   48.284000
192.0;  -57.224000;   13.324000;   46.125000
193.2;  -61.287000;   14.318000;   44.031000
194.4;  -66.216000;   15.274000;   41.835000
195.6;  -71.673000;   16.124000;   39.439000
196.8;  -77.310000;   16.935000;   36.648000
198.0;  -82.588000;   17.698000;   33.367000
199.2;  -86.674000;   18.373000;   29.720000
200.4;  -89.390000;   18.950000;   25.902000
201.6;  -90.933000;   19.424000;   22.101000
202.8;  -91.663000;   19.836000;   18.210000
204.0;  -91.853000;   20.148000;   14.337000
205.2;  -91.721000;   20.394000;   10.600000
206.4;  -91.411000;   20.465000;    7.066500
207.6;  -91.227000;   20.625000;    3.795300
208.8;  -91.125000;   20.721000;    0.523420
210.0;  -91.059000;   20.710000;   -2.784700
211.2;  -91.069000;   20.638000;   -6.092500
212.4;  -91.119000;   20.516000;   -9.410600
213.6;  -91.124000;   20.299000;  -12.700000
214.8;  -90.966000;   20.043000;  -16.210000
216.0;  -90.433000;   19.688000;  -19.988000
217.2;  -89.302000;   19.280000;  -23.824000
218.4;  -87.229000;   18.785000;  -27.655000
219.6;  -84.129000;   18.221000;  -31.297000
220.8;  -79.694000;   17.554000;  -34.889000
222.0;  -74.133000;   16.772000;  -38.238000
223.2;  -68.152000;   15.910000;  -41.167000
224.4;  -62.620000;   14.995000;  -43.622000
225.6;  -57.977000;   14.045000;  -45.688000
226.8;  -54.068000;   13.020000;  -47.625000
228.0;  -50.654000;   11.918000;  -49.514000
229.2;  -47.237000;   10.796000;  -51.395000
230.4;  -43.193000;    9.677600;  -53.234000
231.6;  -38.156000;    8.533500;  -54.979000
232.8;  -31.744000;    7.337100;  -56.556000
234.0;  -24.362000;    6.070900;  -57.820000
235.2;  -17.021000;    4.798700;  -58.661000
236.4;  -10.522000;    3.523200;  -59.088000
237.6;   -5.241100;    2.265500;  -59.238000
238.8;   -0.655780;    0.961980;  -59.214000
