# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 1.2°
# sensor pos #1: 65 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -25.196000;   -1.601400;  -50.087000
  1.2;  -29.750000;   -1.591000;  -48.697000
  2.4;  -34.030000;   -1.561900;  -47.125000
  3.6;  -37.915000;   -1.537200;  -45.402000
  4.8;  -41.636000;   -1.499100;  -43.481000
  6.0;  -45.221000;   -1.443100;  -41.399000
  7.2;  -48.738000;   -1.394200;  -39.203000
  8.4;  -52.167000;   -1.348600;  -36.901000
  9.6;  -55.563000;   -1.278100;  -34.494000
 10.8;  -59.015000;   -1.218700;  -31.801000
 12.0;  -62.330000;   -1.126100;  -28.848000
 13.2;  -65.271000;   -1.031300;  -25.760000
 14.4;  -67.719000;   -0.936030;  -22.593000
 15.6;  -69.618000;   -0.838950;  -19.387000
 16.8;  -71.077000;   -0.720950;  -16.006000
 18.0;  -72.103000;   -0.604450;  -12.552000
 19.2;  -72.764000;   -0.482720;   -9.164100
 20.4;  -73.072000;   -0.356880;   -5.886300
 21.6;  -73.177000;   -0.243740;   -2.730700
 22.8;  -73.131000;   -0.105580;    0.496810
 24.0;  -72.992000;    0.001956;    3.732500
 25.2;  -72.715000;    0.123690;    6.934200
 26.4;  -72.369000;    0.244300;   10.062000
 27.6;  -71.873000;    0.346230;   13.135000
 28.8;  -71.195000;    0.471320;   16.342000
 30.0;  -70.220000;    0.593800;   19.592000
 31.2;  -68.916000;    0.712540;   22.830000
 32.4;  -67.233000;    0.830540;   25.941000
 33.6;  -65.127000;    0.964960;   28.931000
 34.8;  -62.448000;    1.087800;   31.901000
 36.0;  -59.264000;    1.236100;   34.739000
 37.2;  -55.666000;    1.360800;   37.363000
 38.4;  -52.003000;    1.495200;   39.696000
 39.6;  -48.311000;    1.597900;   41.776000
 40.8;  -44.544000;    1.699100;   43.721000
 42.0;  -40.773000;    1.798400;   45.510000
 43.2;  -37.020000;    1.900700;   47.154000
 44.4;  -33.274000;    1.987000;   48.573000
 45.6;  -29.377000;    2.056800;   49.821000
 46.8;  -25.061000;    2.135200;   50.963000
 48.0;  -20.396000;    2.185200;   51.876000
 49.2;  -15.629000;    2.259900;   52.561000
 50.4;  -10.927000;    2.318900;   52.975000
 51.6;   -6.437100;    2.372700;   53.199000
 52.8;   -1.928400;    2.425000;   53.207000
 54.0;    2.502200;    2.445500;   53.044000
 55.2;    6.901000;    2.478400;   52.693000
 56.4;   11.240000;    2.489200;   52.179000
 57.6;   15.665000;    2.494800;   51.512000
 58.8;   20.355000;    2.492900;   50.591000
 60.0;   25.132000;    2.515000;   49.417000
 61.2;   29.749000;    2.506700;   48.015000
 62.4;   34.006000;    2.485500;   46.449000
 63.6;   37.895000;    2.445100;   44.743000
 64.8;   41.627000;    2.413400;   42.829000
 66.0;   45.199000;    2.370500;   40.738000
 67.2;   48.686000;    2.317400;   38.516000
 68.4;   52.149000;    2.267400;   36.186000
 69.6;   55.517000;    2.206500;   33.764000
 70.8;   58.970000;    2.141600;   31.058000
 72.0;   62.315000;    2.035100;   28.116000
 73.2;   65.254000;    1.937700;   25.000000
 74.4;   67.674000;    1.856300;   21.815000
 75.6;   69.554000;    1.745400;   18.592000
 76.8;   70.995000;    1.629600;   15.179000
 78.0;   71.977000;    1.507100;   11.719000
 79.2;   72.571000;    1.380600;    8.310400
 80.4;   72.856000;    1.252100;    5.028800
 81.6;   72.949000;    1.126300;    1.840500
 82.8;   72.881000;    0.994460;   -1.402300
 84.0;   72.721000;    0.896630;   -4.649800
 85.2;   72.431000;    0.768550;   -7.878500
 86.4;   72.046000;    0.641220;  -11.008000
 87.6;   71.549000;    0.531820;  -14.077000
 88.8;   70.852000;    0.400380;  -17.299000
 90.0;   69.849000;    0.265950;  -20.566000
 91.2;   68.517000;    0.143100;  -23.814000
 92.4;   66.806000;    0.008678;  -26.950000
 93.6;   64.676000;   -0.117160;  -29.935000
 94.8;   61.941000;   -0.253450;  -32.899000
 96.0;   58.725000;   -0.399080;  -35.765000
 97.2;   55.131000;   -0.522300;  -38.366000
 98.4;   51.456000;   -0.730660;  -40.717000
 99.6;   47.758000;   -0.772860;  -42.773000
100.8;   43.959000;   -0.886740;  -44.739000
102.0;   40.159000;   -0.982710;  -46.536000
103.2;   36.406000;   -1.083500;  -48.146000
104.4;   32.638000;   -1.169800;  -49.565000
105.6;   28.723000;   -1.258300;  -50.816000
106.8;   24.343000;   -1.336700;  -51.925000
108.0;   19.639000;   -1.428200;  -52.819000
109.2;   14.833000;   -1.489400;  -53.470000
110.4;   10.141000;   -1.546900;  -53.868000
111.6;    5.647400;   -1.608900;  -54.057000
112.8;    1.143100;   -1.648900;  -54.035000
114.0;   -3.274600;   -1.677600;  -53.822000
115.2;   -7.657300;   -1.717600;  -53.451000
116.4;  -11.988000;   -1.731400;  -52.905000
117.6;  -16.388000;   -1.740700;  -52.197000
118.8;  -21.068000;   -1.761600;  -51.250000
120.0;  -25.821000;   -1.753000;  -50.054000
121.2;  -30.379000;   -1.741100;  -48.632000
122.4;  -34.612000;   -1.717600;  -47.038000
123.6;  -38.430000;   -1.704100;  -45.316000
124.8;  -42.137000;   -1.658600;  -43.366000
126.0;  -45.724000;   -1.609300;  -41.258000
127.2;  -49.219000;   -1.569300;  -39.031000
128.4;  -52.649000;   -1.500200;  -36.710000
129.6;  -56.026000;   -1.442700;  -34.264000
130.8;  -59.510000;   -1.374400;  -31.550000
132.0;  -62.830000;   -1.251900;  -28.618000
133.2;  -65.744000;   -1.169800;  -25.501000
134.4;  -68.143000;   -1.068600;  -22.291000
135.6;  -69.978000;   -0.956570;  -19.081000
136.8;  -71.383000;   -0.849400;  -15.673000
138.0;  -72.320000;   -0.716100;  -12.212000
139.2;  -72.896000;   -0.572340;   -8.815300
140.4;  -73.172000;   -0.442020;   -5.553300
141.6;  -73.254000;   -0.313570;   -2.400700
142.8;  -73.196000;   -0.181380;    0.843810
144.0;  -73.016000;   -0.092888;    4.080600
145.2;  -72.727000;    0.037056;    7.293800
146.4;  -72.361000;    0.162890;   10.416000
147.6;  -71.851000;    0.275290;   13.473000
148.8;  -71.131000;    0.414570;   16.696000
150.0;  -70.134000;    0.541900;   19.978000
