# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 40 mm
# sensor pos #3: 70 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;  -13.507000;   -1.660100;   29.118000;  -10.875000;    1.555300;   34.727000;   -6.481400;    2.075800;   35.380000
  2.4;   -4.915200;    2.047800;   35.457000;   -9.279500;    1.644600;   34.924000;  -12.113000;   -1.278400;   29.430000
  4.8;  -10.604000;   -0.932670;   29.573000;   -7.707800;    1.783800;   35.019000;   -3.288600;    2.017200;   35.500000
  7.2;   -1.681300;    1.999700;   35.522000;   -6.073800;    1.900000;   35.149000;   -9.142800;   -0.608190;   29.681000
  9.6;   -7.644100;   -0.266890;   29.793000;   -4.469200;    2.026900;   35.167000;   -0.000059;    1.928300;   35.515000
 12.0;    1.606400;    1.883900;   35.466000;   -2.828900;    2.123600;   35.233000;   -6.117400;    0.096801;   29.884000
 14.4;   -4.671500;    0.413450;   29.917000;   -1.301600;    2.224800;   35.172000;    3.214400;    1.878700;   35.370000
 16.8;    4.767800;    1.852200;   35.265000;    0.319190;    2.314800;   35.190000;   -3.226300;    0.746900;   29.915000
 19.2;   -1.781000;    1.083300;   29.895000;    1.804700;    2.458600;   35.064000;    6.374600;    1.771900;   35.115000
 21.6;    7.966100;    1.744300;   34.935000;    3.450100;    2.547100;   35.011000;   -0.315640;    1.417900;   29.848000
 24.0;    1.178300;    1.767000;   29.698000;    5.012600;    2.677400;   34.836000;    9.565300;    1.725600;   34.725000
 26.4;   11.166000;    1.653500;   34.463000;    6.674800;    2.749500;   34.690000;    2.709000;    2.105300;   29.665000
 28.8;    4.220200;    2.448500;   29.536000;    8.266700;    2.851800;   34.470000;   12.797000;    1.637500;   34.188000
 31.2;   14.393000;    1.580000;   33.866000;    9.919800;    2.938800;   34.253000;    5.727000;    2.774900;   29.399000
 33.6;    7.257200;    3.127300;   29.192000;   11.465000;    3.053000;   33.932000;   16.009000;    1.556400;   33.496000
 36.0;   17.581000;    1.504900;   33.089000;   13.126000;    3.131800;   33.632000;    8.754900;    3.464900;   28.939000
 38.4;   10.212000;    3.809200;   28.703000;   14.636000;    3.242000;   33.285000;   19.168000;    1.403300;   32.684000
 40.8;   20.622000;    1.340600;   32.256000;   16.195000;    3.284200;   32.951000;   11.634000;    4.068700;   28.455000
 43.2;   13.044000;    4.408500;   28.156000;   17.635000;    3.404000;   32.518000;   22.029000;    1.362300;   31.782000
 45.6;   23.471000;    1.288700;   31.284000;   19.168000;    3.466800;   32.107000;   14.460000;    4.702400;   27.816000
 48.0;   15.849000;    5.069100;   27.334000;   20.631000;    3.485400;   31.610000;   24.931000;    1.293200;   30.761000
 50.4;   26.384000;    1.230100;   30.169000;   22.178000;    3.611300;   31.129000;   17.344000;    5.338300;   27.006000
 52.8;   18.766000;    5.664600;   26.586000;   23.637000;    3.684500;   30.564000;   27.836000;    1.169200;   29.566000
 55.2;   29.210000;    1.111300;   28.926000;   25.105000;    3.755000;   30.020000;   20.137000;    5.964900;   26.136000
 57.6;   21.510000;    6.269200;   25.662000;   26.513000;    3.837200;   29.413000;   30.611000;    1.023600;   28.246000
 60.0;   31.961000;    0.978030;   27.541000;   27.954000;    3.894300;   28.802000;   22.881000;    6.566000;   25.169000
 62.4;   24.180000;    6.858000;   24.644000;   29.275000;    3.941400;   28.118000;   33.244000;    0.826810;   26.795000
 64.8;   34.453000;    0.903350;   26.104000;   30.591000;    4.002600;   27.497000;   25.414000;    7.104900;   24.155000
 67.2;   26.650000;    7.374100;   23.585000;   31.823000;    4.082500;   26.804000;   35.652000;    0.858920;   25.365000
 69.6;   36.849000;    0.797310;   24.560000;   33.137000;    4.100800;   26.076000;   27.903000;    7.612000;   23.030000
 72.0;   29.104000;    7.883000;   22.395000;   34.387000;    4.140800;   25.298000;   38.123000;    0.619940;   23.692000
 74.4;   39.262000;    0.567660;   22.827000;   35.685000;    4.137400;   24.511000;   30.423000;    8.046200;   21.864000
 76.8;   31.606000;    8.321800;   21.167000;   36.827000;    4.270000;   23.686000;   40.363000;    0.545630;   21.944000
 79.2;   41.421000;    0.477300;   21.025000;   38.046000;    4.223700;   22.852000;   32.733000;    8.569700;   20.475000
 81.6;   33.872000;    8.814700;   19.755000;   39.154000;    4.316300;   21.943000;   42.473000;    0.383200;   20.070000
 84.0;   43.442000;    0.367520;   19.108000;   40.272000;    4.271100;   21.057000;   34.959000;    9.012200;   19.054000
 86.4;   35.986000;    9.219500;   18.296000;   41.240000;    4.363300;   20.140000;   44.366000;    0.276030;   18.153000
 88.8;   45.211000;    0.208450;   17.183000;   42.259000;    4.333100;   19.236000;   36.960000;    9.388300;   17.578000
 91.2;   37.896000;    9.610400;   16.808000;   43.152000;    4.374500;   18.309000;   46.015000;    0.176340;   16.187000
 93.6;   46.758000;    0.111740;   15.157000;   44.090000;    4.352900;   17.346000;   38.845000;    9.750100;   16.023000
 96.0;   39.645000;   10.022000;   15.157000;   44.892000;    4.426100;   16.336000;   47.490000;    0.090827;   14.134000
 98.4;   48.150000;    0.008678;   13.039000;   45.763000;    4.347300;   15.297000;   40.674000;   10.060000;   14.354000
100.8;   41.482000;   10.227000;   13.463000;   46.491000;    4.404000;   14.245000;   48.763000;   -0.033144;   11.940000
103.2;   49.304000;   -0.094755;   10.848000;   47.208000;    4.361800;   13.199000;   42.185000;   10.386000;   12.591000
105.6;   42.902000;   10.553000;   11.687000;   47.836000;    4.407400;   12.100000;   49.831000;   -0.218350;    9.730500
108.0;   50.256000;   -0.278100;    8.614500;   48.451000;    4.339400;   11.015000;   43.638000;   10.623000;   10.793000
110.4;   44.224000;   10.737000;    9.902700;   48.927000;    4.358800;    9.960400;   50.625000;   -0.299750;    7.529900
112.8;   50.928000;   -0.347180;    6.456400;   49.414000;    4.306600;    8.899400;   44.753000;   10.862000;    9.028000
115.2;   45.238000;   10.951000;    8.121900;   49.790000;    4.337200;    7.850700;   51.212000;   -0.402070;    5.393600
117.6;   51.433000;   -0.488320;    4.292700;   50.187000;    4.276300;    6.769800;   45.773000;   10.988000;    7.235400
120.0;   46.049000;   11.182000;    6.268300;   50.485000;    4.281200;    5.673300;   51.604000;   -0.481970;    3.181900
122.4;   51.743000;   -0.538730;    2.047800;   50.805000;    4.179600;    4.519600;   46.514000;   11.168000;    5.345500
124.8;   46.834000;   11.234000;    4.391400;   50.975000;    4.217300;    3.407700;   51.858000;   -0.580930;    0.906630
127.2;   51.894000;   -0.627600;   -0.234140;   51.181000;    4.114300;    2.282800;   47.159000;   11.223000;    3.445700
129.6;   47.393000;   11.255000;    2.459100;   51.292000;    4.102300;    1.154200;   51.905000;   -0.686600;   -1.378600
132.0;   51.839000;   -0.843800;   -2.526800;   51.389000;    4.021700;    0.031559;   47.531000;   11.324000;    1.536300
134.4;   47.645000;   11.342000;    0.593630;   51.433000;    3.989500;   -1.074500;   51.770000;   -0.824760;   -3.622100
136.8;   51.636000;   -0.854260;   -4.703700;   51.425000;    3.922000;   -2.143500;   47.772000;   11.329000;   -0.311000
139.2;   47.819000;   11.290000;   -1.251100;   51.364000;    3.900700;   -3.212600;   51.469000;   -0.860980;   -5.762500
141.6;   51.239000;   -0.913260;   -6.863700;   51.298000;    3.788600;   -4.325700;   47.847000;   11.298000;   -2.167600
144.0;   47.721000;   11.347000;   -3.112500;   51.126000;    3.780400;   -5.410700;   50.972000;   -0.925200;   -7.963800
146.4;   50.652000;   -1.141000;   -9.112400;   50.959000;    3.673600;   -6.560700;   47.716000;   11.236000;   -4.050400
148.8;   47.608000;   11.213000;   -5.006400;   50.734000;    3.662100;   -7.626800;   50.314000;   -1.015200;  -10.197000
151.2;   49.888000;   -1.171300;  -11.328000;   50.458000;    3.558600;   -8.752100;   47.516000;   11.080000;   -5.936100
153.6;   47.312000;   11.021000;   -6.892500;   50.147000;    3.510500;   -9.845900;   49.438000;   -1.101500;  -12.382000
156.0;   48.926000;   -1.143300;  -13.480000;   49.783000;    3.366700;  -10.951000;   47.043000;   10.987000;   -7.785000
158.4;   46.782000;   10.881000;   -8.697700;   49.377000;    3.319700;  -11.977000;   48.378000;   -1.184300;  -14.541000
160.8;   47.775000;   -1.228000;  -15.553000;   48.929000;    3.196800;  -13.041000;   46.507000;   10.766000;   -9.583900
163.2;   46.145000;   10.660000;  -10.455000;   48.444000;    3.157600;  -14.040000;   47.151000;   -1.237700;  -16.554000
165.6;   46.434000;   -1.282900;  -17.573000;   47.892000;    3.028000;  -15.105000;   45.781000;   10.522000;  -11.354000
168.0;   45.227000;   10.474000;  -12.221000;   47.262000;    2.954500;  -16.130000;   45.662000;   -1.325500;  -18.619000
170.4;   44.812000;   -1.360200;  -19.628000;   46.585000;    2.746500;  -17.189000;   44.784000;   10.295000;  -13.125000
172.8;   44.227000;   10.136000;  -14.009000;   45.859000;    2.789400;  -18.162000;   43.935000;   -1.393500;  -20.628000
175.2;   43.000000;   -1.413600;  -21.572000;   45.064000;    2.649800;  -19.189000;   43.645000;    9.946900;  -14.873000
177.6;   42.984000;    9.765800;  -15.753000;   44.221000;    2.560100;  -20.144000;   42.018000;   -1.420300;  -22.502000
180.0;   40.980000;   -1.452800;  -23.418000;   43.335000;    2.430900;  -21.124000;   42.290000;    9.355800;  -16.631000
182.4;   41.539000;    9.399500;  -17.373000;   42.421000;    2.334600;  -22.011000;   39.915000;   -1.454300;  -24.289000
184.8;   38.843000;   -1.481600;  -25.105000;   41.463000;    2.223300;  -22.891000;   40.764000;    9.233700;  -18.114000
187.2;   39.959000;    9.035400;  -18.871000;   40.492000;    2.134800;  -23.718000;   37.737000;   -1.511400;  -25.914000
