# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 1.2°
# sensor pos #1: 90 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -43.642000;    3.985100;  -40.730000
  1.2;  -47.087000;    4.429000;  -38.807000
  2.4;  -50.640000;    4.969700;  -36.724000
  3.6;  -54.188000;    5.429800;  -34.502000
  4.8;  -57.675000;    5.849500;  -32.166000
  6.0;  -61.033000;    6.250500;  -29.719000
  7.2;  -64.307000;    6.647800;  -26.991000
  8.4;  -67.229000;    7.002900;  -24.051000
  9.6;  -69.664000;    7.348000;  -20.960000
 10.8;  -71.466000;    7.650400;  -17.862000
 12.0;  -72.801000;    7.948800;  -14.797000
 13.2;  -73.677000;    8.191100;  -11.612000
 14.4;  -74.208000;    8.426400;   -8.381800
 15.6;  -74.438000;    8.611200;   -5.251400
 16.8;  -74.481000;    8.763200;   -2.218200
 18.0;  -74.357000;    8.831500;    0.703380
 19.2;  -74.178000;    8.954000;    3.701100
 20.4;  -73.859000;    9.018200;    6.716900
 21.6;  -73.437000;    9.030500;    9.709100
 22.8;  -72.880000;    9.016700;   12.656000
 24.0;  -72.138000;    8.959200;   15.562000
 25.2;  -71.086000;    8.888300;   18.585000
 26.4;  -69.683000;    8.775900;   21.662000
 27.6;  -67.820000;    8.616000;   24.668000
 28.8;  -65.492000;    8.464800;   27.526000
 30.0;  -62.742000;    8.279200;   30.205000
 31.2;  -59.413000;    8.048100;   32.861000
 32.4;  -55.691000;    7.778500;   35.320000
 33.6;  -51.794000;    7.472700;   37.533000
 34.8;  -47.963000;    7.155300;   39.497000
 36.0;  -44.265000;    6.810200;   41.225000
 37.2;  -40.527000;    6.402500;   42.858000
 38.4;  -36.701000;    5.991000;   44.396000
 39.6;  -32.740000;    5.531300;   45.788000
 40.8;  -28.629000;    5.073500;   46.991000
 42.0;  -24.315000;    4.622100;   47.987000
 43.2;  -19.578000;    4.132600;   48.863000
 44.4;  -14.621000;    3.617600;   49.491000
 45.6;   -9.692600;    3.076600;   49.874000
 46.8;   -5.022300;    2.557500;   50.056000
 48.0;   -0.631590;    2.028000;   50.036000
 49.2;    3.797200;    1.481800;   49.862000
 50.4;    8.283200;    0.892520;   49.522000
 51.6;   12.862000;    0.330550;   49.046000
 52.8;   17.520000;   -0.210140;   48.376000
 54.0;   22.173000;   -0.765010;   47.518000
 55.2;   26.989000;   -1.315000;   46.422000
 56.4;   31.674000;   -1.852700;   45.105000
 57.6;   36.093000;   -2.396400;   43.558000
 58.8;   40.037000;   -2.919200;   41.899000
 60.0;   43.643000;   -3.294100;   40.139000
 61.2;   47.162000;   -3.801900;   38.205000
 62.4;   50.704000;   -4.289200;   36.104000
 63.6;   54.290000;   -4.756700;   33.857000
 64.8;   57.805000;   -5.186100;   31.517000
 66.0;   61.202000;   -5.587200;   29.044000
 67.2;   64.494000;   -5.965000;   26.293000
 68.4;   67.438000;   -6.315300;   23.311000
 69.6;   69.838000;   -6.648800;   20.209000
 70.8;   71.665000;   -7.006900;   17.064000
 72.0;   72.952000;   -7.308900;   13.970000
 73.2;   73.824000;   -7.575900;   10.762000
 74.4;   74.322000;   -7.803700;    7.515100
 75.6;   74.542000;   -8.005300;    4.362900
 76.8;   74.552000;   -8.162900;    1.319400
 78.0;   74.441000;   -8.276800;   -1.621800
 79.2;   74.200000;   -8.372400;   -4.611300
 80.4;   73.860000;   -8.424700;   -7.644500
 81.6;   73.408000;   -8.443400;  -10.633000
 82.8;   72.844000;   -8.428800;  -13.586000
 84.0;   72.068000;   -8.347000;  -16.516000
 85.2;   71.005000;   -8.271200;  -19.556000
 86.4;   69.546000;   -8.182000;  -22.633000
 87.6;   67.627000;   -8.035600;  -25.672000
 88.8;   65.257000;   -7.867600;  -28.561000
 90.0;   62.451000;   -7.676000;  -31.243000
 91.2;   59.068000;   -7.440400;  -33.875000
 92.4;   55.287000;   -7.173400;  -36.334000
 93.6;   51.348000;   -6.887400;  -38.541000
 94.8;   47.491000;   -6.559500;  -40.510000
 96.0;   43.792000;   -6.198100;  -42.234000
 97.2;   40.047000;   -5.799300;  -43.877000
 98.4;   36.185000;   -5.361200;  -45.398000
 99.6;   32.179000;   -4.926200;  -46.771000
100.8;   28.032000;   -4.475500;  -47.972000
102.0;   23.656000;   -4.004700;  -48.962000
103.2;   18.829000;   -3.520700;  -49.804000
104.4;   13.832000;   -2.982700;  -50.395000
105.6;    8.888000;   -2.458800;  -50.775000
106.8;    4.221600;   -1.933800;  -50.906000
108.0;   -0.193950;   -1.417700;  -50.906000
109.2;   -4.619100;   -0.862100;  -50.711000
110.4;   -9.113500;   -0.301620;  -50.344000
111.6;  -13.721000;    0.256620;  -49.817000
112.8;  -18.329000;    0.805890;  -49.103000
114.0;  -22.982000;    1.342500;  -48.230000
115.2;  -27.790000;    1.888800;  -47.092000
116.4;  -32.456000;    2.436500;  -45.710000
117.6;  -36.799000;    2.969800;  -44.153000
118.8;  -40.693000;    3.499300;  -42.465000
120.0;  -44.248000;    4.000700;  -40.690000
121.2;  -47.747000;    4.518700;  -38.731000
122.4;  -51.299000;    4.995500;  -36.638000
123.6;  -54.864000;    5.458900;  -34.384000
124.8;  -58.365000;    5.890500;  -32.027000
126.0;  -61.739000;    6.290100;  -29.548000
127.2;  -65.029000;    6.672500;  -26.753000
128.4;  -67.911000;    7.032000;  -23.791000
129.6;  -70.299000;    7.355400;  -20.673000
130.8;  -72.055000;    7.667600;  -17.548000
132.0;  -73.280000;    7.895000;  -14.442000
133.2;  -74.100000;    8.140300;  -11.239000
134.4;  -74.585000;    8.361400;   -8.014400
135.6;  -74.764000;    8.539100;   -4.863700
136.8;  -74.775000;    8.695200;   -1.843500
138.0;  -74.646000;    8.800900;    1.058500
139.2;  -74.426000;    8.885600;    4.059900
140.4;  -74.079000;    8.928600;    7.085700
141.6;  -73.638000;    8.949100;   10.098000
142.8;  -73.041000;    8.937900;   13.049000
144.0;  -72.307000;    8.905400;   15.974000
145.2;  -71.221000;    8.821800;   19.008000
146.4;  -69.751000;    8.709400;   22.070000
147.6;  -67.812000;    8.563400;   25.091000
148.8;  -65.423000;    8.395700;   27.952000
150.0;  -62.589000;    8.191500;   30.630000
151.2;  -59.176000;    7.976400;   33.236000
152.4;  -55.374000;    7.709400;   35.683000
153.6;  -51.463000;    7.407700;   37.878000
154.8;  -47.611000;    7.080200;   39.818000
156.0;  -43.870000;    6.712800;   41.534000
157.2;  -40.088000;    6.335300;   43.180000
158.4;  -36.244000;    5.906600;   44.675000
159.6;  -32.240000;    5.473100;   46.055000
160.8;  -28.090000;    5.014900;   47.231000
162.0;  -23.706000;    4.586200;   48.222000
163.2;  -18.887000;    4.079200;   49.041000
164.4;  -13.895000;    3.593000;   49.637000
165.6;   -8.987000;    3.068700;   49.996000
166.8;   -4.357000;    2.549700;   50.138000
168.0;    0.038427;    2.039200;   50.138000
169.2;    4.448500;    1.495600;   49.928000
170.4;    8.957200;    0.933600;   49.564000
171.6;   13.580000;    0.308520;   49.022000
172.8;   18.220000;   -0.166820;   48.341000
174.0;   22.882000;   -0.701540;   47.454000
175.2;   27.688000;   -1.250100;   46.321000
176.4;   32.356000;   -1.787800;   44.944000
177.6;   36.695000;   -2.334800;   43.378000
178.8;   40.578000;   -2.845600;   41.689000
180.0;   44.114000;   -3.286600;   39.907000
181.2;   47.607000;   -3.788500;   37.945000
182.4;   51.123000;   -4.282500;   35.825000
183.6;   54.702000;   -4.721600;   33.580000
184.8;   58.209000;   -5.160400;   31.199000
186.0;   61.546000;   -5.551700;   28.734000
187.2;   64.776000;   -5.943000;   25.947000
188.4;   67.651000;   -6.300000;   22.944000
189.6;   69.967000;   -6.638700;   19.822000
190.8;   71.708000;   -6.953500;   16.705000
192.0;   72.916000;   -7.298900;   13.612000
193.2;   73.710000;   -7.547200;   10.406000
194.4;   74.163000;   -7.775000;    7.171400
195.6;   74.340000;   -7.951600;    4.037400
196.8;   74.338000;   -8.115500;    1.019000
198.0;   74.192000;   -8.236900;   -1.886700
199.2;   73.956000;   -8.309300;   -4.881500
200.4;   73.608000;   -8.345100;   -7.921700
201.6;   73.140000;   -8.386200;  -10.928000
202.8;   72.558000;   -8.365700;  -13.860000
204.0;   71.742000;   -8.223800;  -16.782000
205.2;   70.661000;   -8.136800;  -19.799000
206.4;   69.155000;   -8.023600;  -22.889000
207.6;   67.213000;   -7.893700;  -25.894000
208.8;   64.801000;   -7.722700;  -28.743000
210.0;   61.961000;   -7.539000;  -31.404000
211.2;   58.593000;   -7.305600;  -34.012000
212.4;   54.803000;   -7.039300;  -36.471000
213.6;   50.842000;   -6.746200;  -38.668000
214.8;   47.044000;   -6.408300;  -40.590000
216.0;   43.448000;   -6.090500;  -42.262000
217.2;   39.678000;   -5.698800;  -43.900000
218.4;   35.789000;   -5.272800;  -45.434000
