# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   43.878000;   -2.957600;   51.140000
  1.2;   39.811000;   -2.359100;   52.954000
  2.4;   35.187000;   -1.788100;   54.572000
  3.6;   29.646000;   -1.223900;   56.035000
  4.8;   23.134000;   -0.581670;   57.312000
  6.0;   16.853000;    0.004944;   58.143000
  7.2;   11.012000;    0.591560;   58.652000
  8.4;    5.948400;    1.164400;   58.896000
  9.6;    1.238100;    1.752100;   58.950000
 10.8;   -3.364100;    2.333100;   58.877000
 12.0;   -8.149500;    2.937700;   58.658000
 13.2;  -13.402000;    3.501100;   58.312000
 14.4;  -19.054000;    4.014200;   57.751000
 15.6;  -25.189000;    4.561600;   56.904000
 16.8;  -31.414000;    5.084000;   55.683000
 18.0;  -36.996000;    5.574600;   54.141000
 19.2;  -41.759000;    6.059300;   52.380000
 20.4;  -45.671000;    6.523100;   50.526000
 21.6;  -49.281000;    6.941300;   48.506000
 22.8;  -53.003000;    7.406600;   46.357000
 24.0;  -57.000000;    7.790800;   44.154000
 25.2;  -61.414000;    8.166100;   41.803000
 26.4;  -66.011000;    8.488300;   39.282000
 27.6;  -70.785000;    8.771400;   36.389000
 28.8;  -75.216000;    9.030900;   33.085000
 30.0;  -78.807000;    9.258700;   29.536000
