# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   20.449000;   -6.001300;  -28.815000
  1.2;   23.037000;   -6.611400;  -28.023000
  2.4;   25.624000;   -7.223100;  -27.086000
  3.6;   28.180000;   -7.820500;  -26.024000
  4.8;   30.625000;   -8.373100;  -24.859000
  6.0;   32.919000;   -8.889200;  -23.615000
  7.2;   35.037000;   -9.345100;  -22.305000
  8.4;   37.083000;   -9.771200;  -20.872000
  9.6;   39.034000;  -10.164000;  -19.300000
 10.8;   40.794000;  -10.529000;  -17.660000
 12.0;   42.337000;  -10.826000;  -15.973000
 13.2;   43.637000;  -11.078000;  -14.277000
 14.4;   44.782000;  -11.282000;  -12.468000
 15.6;   45.746000;  -11.459000;  -10.586000
 16.8;   46.494000;  -11.581000;   -8.683300
 18.0;   47.051000;  -11.644000;   -6.764700
 19.2;   47.398000;  -11.677000;   -4.929100
 20.4;   47.614000;  -11.666000;   -3.011600
 21.6;   47.686000;  -11.584000;   -1.045300
 22.8;   47.572000;  -11.487000;    0.915130
 24.0;   47.301000;  -11.329000;    2.840400
 25.2;   46.890000;  -11.124000;    4.709900
 26.4;   46.304000;  -10.891000;    6.612300
 27.6;   45.502000;  -10.583000;    8.559800
 28.8;   44.516000;  -10.254000;   10.457000
 30.0;   43.343000;   -9.854500;   12.300000
 31.2;   42.002000;   -9.450800;   14.052000
 32.4;   40.463000;   -9.002300;   15.778000
 33.6;   38.682000;   -8.477000;   17.485000
 34.8;   36.758000;   -7.923200;   19.103000
 36.0;   34.689000;   -7.344400;   20.594000
 37.2;   32.595000;   -6.748800;   21.957000
 38.4;   30.328000;   -6.107300;   23.275000
