# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.4°
# sensor pos #1: 15 mm
# sensor pos #2: 40 mm
# sensor pos #3: 65 mm
# sensor pos #4: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;  -58.540000;   -9.394400;  -10.237000;  -61.429000;   -3.720500;   -9.401000;  -63.106000;    0.129290;   -6.889600;  -63.817000;    5.920400;   -4.360000
  2.4;  -63.991000;    6.166100;    0.887780;  -63.637000;    0.345490;   -1.341600;  -62.508000;   -3.551400;   -3.902600;  -60.226000;   -9.565400;   -5.295700
  4.8;  -60.972000;   -9.598700;   -0.231180;  -62.755000;   -3.412800;    1.681900;  -63.499000;    0.554220;    4.279400;  -63.469000;    6.275500;    6.255700
  7.2;  -62.332000;    6.316200;   11.430000;  -62.689000;    0.754370;    9.709100;  -62.391000;   -3.079700;    7.059800;  -60.978000;   -9.492600;    4.621200
  9.6;  -60.310000;   -9.256600;    9.502500;  -61.284000;   -2.835500;   12.484000;  -61.153000;    1.019500;   15.199000;  -60.277000;    6.256900;   16.644000
 12.0;  -57.057000;    6.132900;   21.741000;  -58.492000;    1.167300;   20.605000;  -59.306000;   -2.490900;   17.857000;  -58.888000;   -8.860800;   14.351000
 14.4;  -56.575000;   -8.323100;   18.950000;  -56.300000;   -2.039800;   22.919000;  -54.735000;    1.331600;   25.595000;  -52.665000;    5.955100;   26.389000
 16.8;  -46.975000;    5.661300;   30.696000;  -49.561000;    1.550500;   30.326000;  -51.880000;   -1.624200;   27.791000;  -53.044000;   -7.605800;   23.459000
 19.2;  -48.493000;   -6.785800;   27.436000;  -46.598000;   -1.148900;   32.005000;  -43.766000;    1.730800;   34.315000;  -40.852000;    5.236300;   34.247000
 21.6;  -34.253000;    4.746100;   37.291000;  -37.315000;    1.863700;   37.765000;  -40.512000;   -0.617150;   35.704000;  -43.005000;   -5.767100;   30.990000
 24.0;  -36.904000;   -4.786200;   33.936000;  -34.063000;   -0.081313;   38.768000;  -30.572000;    1.979900;   40.584000;  -27.217000;    4.210200;   39.785000
 26.4;  -19.857000;    3.611300;   41.611000;  -23.516000;    2.093000;   42.745000;  -27.374000;    0.464230;   41.188000;  -30.644000;   -3.641700;   36.326000
 28.8;  -23.701000;   -2.413600;   38.220000;  -19.973000;    0.984760;   43.024000;  -15.740000;    2.159500;   44.289000;  -11.824000;    2.926100;   42.795000
 31.2;   -3.976900;    2.226300;   43.276000;   -7.927400;    2.206200;   45.101000;  -12.409000;    1.517600;   44.142000;  -16.544000;   -1.192900;   39.466000
 33.6;   -8.867200;    0.081491;   40.103000;   -4.549100;    2.039200;   44.539000;   -0.029381;    2.228600;   45.184000;    3.984100;    1.468300;   43.117000
 36.0;   11.935000;    0.714410;   42.300000;    7.876700;    2.201300;   44.610000;    3.245600;    2.520900;   44.302000;   -1.193100;    1.336100;   40.079000
 38.4;    6.241600;    2.576600;   39.470000;   10.821000;    2.949200;   43.396000;   15.579000;    2.175500;   43.397000;   19.748000;   -0.017461;   40.857000
 40.8;   27.539000;   -0.792650;   38.672000;   23.503000;    2.091900;   41.418000;   18.733000;    3.370400;   41.825000;   13.997000;    3.772600;   38.274000
 43.2;   21.391000;    4.948800;   36.485000;   26.079000;    3.756200;   39.586000;   30.700000;    2.015700;   38.865000;   34.513000;   -1.488700;   35.956000
 45.6;   41.046000;   -2.212300;   32.615000;   37.521000;    1.902200;   35.605000;   33.174000;    4.060500;   36.681000;   28.630000;    6.052600;   34.036000
 48.0;   35.289000;    7.091400;   31.023000;   39.640000;    4.350200;   33.183000;   43.788000;    1.786100;   31.812000;   47.173000;   -2.857900;   28.781000
 50.4;   52.640000;   -3.466600;   24.491000;   49.485000;    1.608000;   27.557000;   45.541000;    4.508900;   29.272000;   41.294000;    7.934200;   27.704000
 52.8;   47.029000;    8.752000;   23.740000;   51.101000;    4.620600;   24.670000;   54.687000;    1.449300;   22.646000;   57.368000;   -3.987100;   19.551000
 55.2;   60.687000;   -4.489700;   14.372000;   58.658000;    1.218500;   17.380000;   55.683000;    4.702400;   19.722000;   52.088000;    9.299800;   19.473000
 57.6;   56.169000;    9.825100;   14.672000;   59.103000;    4.725100;   14.243000;   61.363000;    1.015700;   11.760000;   62.785000;   -4.939700;    8.916400
 60.0;   63.729000;   -5.286900;    3.450900;   62.841000;    0.768550;    6.020000;   61.288000;    4.608600;    8.641100;   58.987000;   10.243000;    9.591200
 62.4;   60.603000;   10.464000;    4.617500;   62.310000;    4.501900;    3.136400;   63.385000;    0.509790;    0.493480;   63.849000;   -5.494600;   -1.826500
 64.8;   63.321000;   -5.642800;   -7.204400;   63.177000;    0.279400;   -5.163100;   62.616000;    4.253900;   -2.489100;   61.376000;   10.468000;   -0.491340
 67.2;   61.351000;   10.395000;   -5.376700;   62.147000;    4.071300;   -7.874000;   62.339000;    0.127790;  -10.604000;   62.123000;   -5.677500;  -12.375000
 69.6;   59.998000;   -5.664100;  -17.639000;   60.712000;   -0.112680;  -16.135000;   61.049000;    3.715800;  -13.329000;   60.680000;   10.163000;  -10.282000
 72.0;   59.143000;    9.863200;  -15.136000;   59.046000;    3.373800;  -18.714000;   58.080000;   -0.309840;  -21.536000;   56.731000;   -5.542400;  -22.764000
 74.4;   52.245000;   -5.348200;  -27.407000;   54.267000;   -0.530140;  -26.564000;   55.970000;    2.987700;  -23.796000;   56.912000;    9.179500;  -19.773000
 76.8;   53.319000;    8.495800;  -24.309000;   51.537000;    2.557500;  -28.679000;   49.065000;   -0.720210;  -31.284000;   46.505000;   -5.052800;  -31.709000
 79.2;   40.340000;   -4.668200;  -35.263000;   43.217000;   -0.901680;  -35.293000;   46.250000;    2.026600;  -32.905000;   48.647000;    7.756100;  -28.264000
 81.6;   43.060000;    6.783700;  -31.821000;   40.131000;    1.545200;  -36.593000;   36.782000;   -1.065200;  -38.735000;   33.681000;   -4.142500;  -38.286000
 84.0;   26.642000;   -3.598400;  -40.744000;   29.979000;   -1.192600;  -41.528000;   33.686000;    0.970570;  -39.662000;   37.001000;    5.682200;  -34.806000
 86.4;   30.698000;    4.574300;  -37.158000;   27.010000;    0.481030;  -42.035000;   22.962000;   -1.310200;  -43.696000;   19.247000;   -2.982700;  -42.530000
 88.8;   11.162000;   -2.304900;  -43.703000;   15.130000;   -1.372900;  -45.194000;   19.605000;   -0.106330;  -43.876000;   23.741000;    3.354000;  -39.027000
 91.2;   16.515000;    2.065400;  -40.263000;   12.012000;   -0.614910;  -44.955000;    7.301600;   -1.410300;  -45.954000;    3.275600;   -1.590200;  -44.132000
 93.6;   -4.644000;   -0.857990;  -43.927000;   -0.619860;   -1.447600;  -45.997000;    4.141400;   -1.139200;  -45.366000;    8.816800;    0.869370;  -40.835000
 96.0;    1.134300;   -0.406170;  -40.780000;   -3.631600;   -1.626800;  -45.073000;   -8.449000;   -1.423700;  -45.420000;  -12.626000;   -0.072351;  -43.087000
 98.4;  -20.374000;    0.680800;  -41.585000;  -16.173000;   -1.390100;  -44.113000;  -11.186000;   -2.081600;  -44.144000;   -6.300000;   -1.647000;  -40.193000
100.8;  -13.990000;   -2.880300;  -38.953000;  -19.011000;   -2.499100;  -42.498000;  -23.993000;   -1.301600;  -42.139000;  -28.074000;    1.428700;  -39.359000
103.2;  -35.025000;    2.164300;  -36.583000;  -31.223000;   -1.231400;  -39.486000;  -26.406000;   -2.853100;  -40.242000;  -21.409000;   -4.021800;  -37.137000
105.6;  -28.619000;   -5.129700;  -34.679000;  -33.430000;   -3.171600;  -37.286000;  -37.961000;   -1.133600;  -36.235000;  -41.541000;    2.861500;  -33.222000
108.0;  -47.621000;    3.520500;  -29.359000;  -44.231000;   -0.963670;  -32.400000;  -39.907000;   -3.427000;  -33.784000;  -35.305000;   -6.108100;  -31.699000
110.4;  -41.284000;   -6.974000;  -28.345000;  -45.764000;   -3.608900;  -29.860000;  -49.927000;   -0.757920;  -28.187000;  -53.064000;    4.073200;  -25.056000
112.8;  -57.779000;    4.627300;  -20.090000;  -55.101000;   -0.649630;  -23.171000;  -51.347000;   -3.714200;  -25.248000;  -47.026000;   -7.771600;  -24.349000
115.2;  -51.973000;   -8.419800;  -20.057000;  -55.871000;   -3.792900;  -20.298000;  -59.019000;   -0.414760;  -17.967000;  -61.051000;    5.127700;  -14.954000
117.6;  -63.078000;    5.544400;   -9.496300;  -61.688000;   -0.210140;  -12.306000;  -59.343000;   -3.732500;  -14.849000;  -56.076000;   -8.906800;  -15.258000
120.0;  -58.885000;   -9.294700;  -10.221000;  -61.478000;   -3.689100;   -9.253200;  -63.164000;    0.022494;   -6.636100;  -64.047000;    5.955900;   -4.057800
122.4;  -64.164000;    6.185500;    1.192300;  -63.648000;    0.247660;   -1.095900;  -62.539000;   -3.491200;   -3.769900;  -60.551000;   -9.451200;   -5.260600
124.8;  -61.292000;   -9.491900;   -0.166140;  -62.759000;   -3.331000;    1.826800;  -63.478000;    0.507550;    4.509300;  -63.612000;    6.230700;    6.541700
127.2;  -62.409000;    6.287500;   11.697000;  -62.643000;    0.715160;    9.928200;  -62.360000;   -3.058500;    7.189600;  -61.311000;   -9.350400;    4.708800
129.6;  -60.642000;   -9.088200;    9.632600;  -61.247000;   -2.729100;   12.645000;  -61.041000;    0.950030;   15.432000;  -60.284000;    6.252400;   16.957000
132.0;  -56.975000;    6.126900;   22.029000;  -58.324000;    1.143100;   20.829000;  -59.231000;   -2.367700;   18.034000;  -59.192000;   -8.700300;   14.500000
134.4;  -56.834000;   -8.176400;   19.119000;  -56.162000;   -1.997200;   23.078000;  -54.551000;    1.403700;   25.825000;  -52.480000;    5.904000;   26.675000
136.8;  -46.722000;    5.612400;   30.937000;  -49.304000;    1.577700;   30.552000;  -51.743000;   -1.512600;   27.975000;  -53.252000;   -7.482900;   23.655000
139.2;  -48.633000;   -6.660300;   27.662000;  -46.409000;   -1.022300;   32.178000;  -43.476000;    1.749900;   34.510000;  -40.546000;    5.224400;   34.464000
141.6;  -33.900000;    4.730700;   37.507000;  -36.969000;    1.893200;   37.926000;  -40.311000;   -0.460320;   35.900000;  -42.995000;   -5.710800;   31.217000
144.0;  -36.854000;   -4.673400;   34.174000;  -33.812000;    0.013532;   38.952000;  -30.198000;    2.041500;   40.753000;  -26.822000;    4.192700;   39.941000
146.4;  -19.423000;    3.583600;   41.719000;  -23.119000;    2.119500;   42.888000;  -27.115000;    0.569530;   41.347000;  -30.550000;   -3.542800;   36.546000
148.8;  -23.570000;   -2.342300;   38.400000;  -19.711000;    1.078900;   43.149000;  -15.336000;    2.198700;   44.392000;  -11.349000;    2.923800;   42.863000
151.2;   -3.534900;    2.236400;   43.299000;   -7.537000;    2.234200;   45.126000;  -12.130000;    1.598300;   44.245000;  -16.360000;   -1.126100;   39.631000
153.6;   -8.639900;    0.164390;   40.239000;   -4.228000;    2.107600;   44.633000;    0.381860;    2.243500;   45.197000;    4.467600;    1.493000;   43.101000
156.0;   12.384000;    0.726360;   42.228000;    8.238800;    2.225600;   44.592000;    3.563000;    2.581800;   44.371000;   -0.924080;    1.416800;   40.203000
158.4;    6.542100;    2.543700;   39.549000;   11.173000;    3.016400;   43.423000;   15.973000;    2.178500;   43.342000;   20.194000;   -0.015594;   40.765000
160.8;   27.902000;   -0.779580;   38.543000;   23.831000;    2.114700;   41.330000;   19.063000;    3.407400;   41.814000;   14.301000;    3.885000;   38.324000
163.2;   21.711000;    5.026500;   36.499000;   26.435000;    3.772600;   39.539000;   31.001000;    1.988100;   38.743000;   34.832000;   -1.474500;   35.782000
165.6;   41.308000;   -2.191400;   32.406000;   37.772000;    1.888000;   35.435000;   33.495000;    4.062400;   36.591000;   28.959000;    6.118700;   34.024000
168.0;   35.594000;    7.141800;   30.990000;   39.951000;    4.303900;   33.113000;   43.998000;    1.754300;   31.651000;   47.387000;   -2.880300;   28.568000
170.4;   52.816000;   -3.473700;   24.239000;   49.681000;    1.542200;   27.351000;   45.858000;    4.469400;   29.145000;   41.638000;    7.990200;   27.633000
172.8;   47.363000;    8.792700;   23.645000;   51.372000;    4.615400;   24.498000;   54.852000;    1.383600;   22.429000;   57.453000;   -4.064000;   19.275000
175.2;   60.673000;   -4.544600;   14.121000;   58.751000;    1.133700;   17.166000;   55.943000;    4.612000;   19.556000;   52.359000;    9.376700;   19.362000
177.6;   56.427000;    9.898300;   14.511000;   59.341000;    4.648200;   14.051000;   61.397000;    0.981770;   11.516000;   62.660000;   -4.857900;    8.661800
180.0;   63.545000;   -5.195800;    3.227300;   62.805000;    0.702840;    5.806000;   61.466000;    4.517500;    8.450400;   59.215000;   10.249000;    9.470700
182.4;   60.821000;   10.456000;    4.456800;   62.453000;    4.403600;    2.929500;   63.290000;    0.479170;    0.267690;   63.649000;   -5.429600;   -2.041200
184.8;   63.070000;   -5.583400;   -7.384700;   63.096000;    0.173350;   -5.388500;   62.689000;    4.144100;   -2.673800;   61.576000;   10.443000;   -0.648020
