# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 40 mm
# Rotation step angle: 2.4°
# sensor pos #1: 5 mm
# sensor pos #2: 35 mm
# sensor pos #3: 65 mm
# sensor pos #4: 90 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;   -0.854800;   -0.519320;  -14.357000;   -2.823400;   -0.713110;  -17.924000;   -5.348100;   -0.195950;  -18.523000;   -6.599400;    1.055700;  -16.882000
  2.4;   -9.901200;    1.617700;  -16.428000;   -8.982300;   -0.091768;  -18.122000;   -6.454700;   -1.015600;  -17.630000;   -3.833200;   -1.381500;  -14.217000
  4.8;   -6.677500;   -2.163000;  -13.847000;   -9.867100;   -1.294900;  -17.137000;  -12.408000;    0.019133;  -17.511000;  -12.991000;    2.100900;  -15.760000
  7.2;  -15.978000;    2.515000;  -14.868000;  -15.734000;    0.134140;  -16.605000;  -13.273000;   -1.515600;  -16.383000;   -9.495100;   -2.893000;  -13.295000
  9.6;  -12.134000;   -3.589100;  -12.519000;  -16.408000;   -1.734400;  -15.393000;  -18.807000;    0.241310;  -15.479000;  -18.688000;    3.025400;  -13.703000
 12.0;  -21.063000;    3.430600;  -12.391000;  -21.544000;    0.324950;  -14.117000;  -19.283000;   -1.867300;  -14.163000;  -14.557000;   -4.177900;  -11.568000
 14.4;  -16.807000;   -4.742900;  -10.417000;  -21.907000;   -1.996500;  -12.711000;  -24.027000;    0.487010;  -12.520000;  -23.181000;    3.772600;  -10.845000
 16.8;  -24.867000;    4.055300;   -9.175200;  -26.054000;    0.606120;  -10.756000;  -24.122000;   -2.061100;  -11.078000;  -18.750000;   -5.139800;   -9.148900
 19.2;  -20.412000;   -5.503500;   -7.699200;  -25.987000;   -2.109600;   -9.245800;  -27.701000;    0.734950;   -8.833700;  -26.186000;    4.281200;   -7.346300
 21.6;  -27.093000;    4.334600;   -5.428400;  -28.882000;    0.839130;   -6.721400;  -27.451000;   -2.088000;   -7.278700;  -21.724000;   -5.766000;   -6.130900
 24.0;  -22.610000;   -5.954600;   -4.492700;  -28.392000;   -2.054000;   -5.243300;  -29.617000;    0.920160;   -4.603900;  -27.556000;    4.483200;   -3.413700
 26.4;  -27.589000;    4.565700;   -1.324300;  -29.889000;    1.026600;   -2.308400;  -28.969000;   -1.936800;   -3.042600;  -23.235000;   -6.019200;   -2.740000
 28.8;  -23.477000;   -5.974800;   -1.020500;  -29.045000;   -1.843800;   -0.905590;  -29.714000;    1.136700;   -0.110710;  -27.213000;    4.538100;    0.712620
 31.2;  -26.407000;    4.442900;    2.821200;  -29.056000;    1.215100;    2.220000;  -28.702000;   -1.667500;    1.343800;  -23.381000;   -5.805200;    0.770270
 33.6;  -22.876000;   -5.572200;    2.559600;  -27.873000;   -1.471500;    3.540000;  -27.966000;    1.301800;    4.450900;  -25.204000;    4.253900;    4.834800
 36.0;  -23.599000;    4.031400;    6.760500;  -26.449000;    1.351800;    6.600500;  -26.664000;   -1.234400;    5.654800;  -21.965000;   -5.226500;    4.253200
 38.4;  -20.744000;   -4.816100;    5.937200;  -24.958000;   -0.949480;    7.714300;  -24.472000;    1.392500;    8.665900;  -21.601000;    3.731500;    8.597100
 40.8;  -19.334000;    3.400700;   10.258000;  -22.179000;    1.426500;   10.539000;  -22.949000;   -0.670920;    9.588300;  -19.252000;   -4.293700;    7.463400
 43.2;  -17.379000;   -3.687600;    8.935300;  -20.500000;   -0.335600;   11.339000;  -19.485000;    1.459000;   12.267000;  -16.680000;    3.010500;   11.752000
 45.6;  -13.830000;    2.562400;   13.039000;  -16.510000;    1.465300;   13.770000;  -17.786000;    0.013532;   12.895000;  -15.237000;   -2.988600;   10.216000
 48.0;  -12.848000;   -2.265000;   11.304000;  -14.826000;    0.377600;   14.193000;  -13.335000;    1.440700;   15.009000;  -10.781000;    2.079600;   14.066000
 50.4;   -7.516900;    1.544100;   14.892000;   -9.862000;    1.389900;   16.017000;  -11.545000;    0.736440;   15.290000;  -10.271000;   -1.430000;   12.258000
 52.8;   -7.590900;   -0.620880;   12.964000;   -8.202300;    1.093400;   16.062000;   -6.392000;    1.370100;   16.724000;   -4.249200;    1.028400;   15.474000
 55.2;   -0.816690;    0.443320;   15.785000;   -2.691500;    1.293600;   17.195000;   -4.630400;    1.452600;   16.654000;   -4.691300;    0.237570;   13.466000
 57.6;   -1.755400;    1.118400;   13.758000;   -1.033300;    1.792400;   16.918000;    0.998370;    1.234900;   17.367000;    2.598300;   -0.108200;   15.851000
 60.0;    5.939200;   -0.661210;   15.671000;    4.653800;    1.128900;   17.288000;    2.560100;    2.086700;   16.967000;    1.194800;    1.929500;   13.831000
 62.4;    4.174700;    2.799500;   13.692000;    6.192500;    2.415300;   16.714000;    8.323100;    1.026900;   16.943000;    9.306500;   -1.194100;   15.236000
 64.8;   12.369000;   -1.709000;   14.571000;   11.751000;    0.925760;   16.324000;    9.652500;    2.638900;   16.268000;    7.026700;    3.544400;   13.328000
 67.2;    9.860700;    4.301700;   12.760000;   13.023000;    2.900700;   15.486000;   15.107000;    0.834650;   15.472000;   15.383000;   -2.185100;   13.695000
 69.6;   18.105000;   -2.648100;   12.553000;   18.190000;    0.700590;   14.308000;   16.237000;    3.047800;   14.535000;   12.546000;    4.938700;   12.012000
 72.0;   14.975000;    5.569400;   11.038000;   19.083000;    3.234900;   13.283000;   20.937000;    0.587450;   12.983000;   20.495000;   -3.002500;   11.236000
 74.4;   22.617000;   -3.379200;    9.674700;   23.407000;    0.441450;   11.343000;   21.721000;    3.327100;   11.829000;   17.237000;    6.080600;    9.905300
 76.8;   19.142000;    6.551100;    8.616000;   23.914000;    3.434700;   10.186000;   25.414000;    0.354450;    9.605600;   24.276000;   -3.624500;    8.009600
 79.2;   25.590000;   -3.888500;    6.132700;   27.069000;    0.207700;    7.633400;   25.806000;    3.437600;    8.371000;   20.844000;    6.865900;    7.173700
 81.6;   22.155000;    7.172500;    5.569900;   27.211000;    3.458200;    6.358500;   28.254000;    0.124810;    5.519200;   26.480000;   -4.017700;    4.168600
 84.0;   26.928000;   -4.121900;    2.145300;   28.948000;   -0.003645;    3.343700;   28.210000;    3.413400;    4.299700;   23.090000;    7.333800;    3.920600
 86.4;   23.697000;    7.415200;    2.147900;   28.764000;    3.316300;    2.034800;   29.226000;   -0.110060;    1.034900;   26.951000;   -4.143900;    0.013451
 88.8;   26.536000;   -4.158100;   -2.068900;   29.000000;   -0.194080;   -1.251500;   28.826000;    3.205800;   -0.121060;   23.922000;    7.381200;    0.431770
 91.2;   23.790000;    7.273600;   -1.404500;   28.435000;    3.059800;   -2.417700;   28.338000;   -0.261670;   -3.591800;   25.694000;   -4.014000;   -4.184100
 93.6;   24.446000;   -3.882600;   -6.253900;   27.189000;   -0.356140;   -5.879600;   27.604000;    2.847300;   -4.632400;   23.249000;    7.024600;   -3.166800
 96.0;   22.365000;    6.721400;   -4.902200;   26.365000;    2.630700;   -6.773200;   25.642000;   -0.402070;   -8.045900;   22.825000;   -3.669000;   -8.195500
 98.4;   20.795000;   -3.381800;  -10.059000;   23.631000;   -0.476000;  -10.134000;   24.642000;    2.334200;   -8.839600;   21.153000;    6.235600;   -6.573200
100.8;   19.626000;    5.739700;   -8.135300;   22.632000;    2.060500;  -10.728000;   21.337000;   -0.483470;  -12.001000;   18.501000;   -3.041300;  -11.679000
103.2;   15.844000;   -2.639900;  -13.186000;   18.619000;   -0.536870;  -13.744000;   20.157000;    1.727800;  -12.475000;   17.734000;    5.123900;   -9.572100
105.6;   15.603000;    4.433500;  -10.879000;   17.424000;    1.367900;  -14.014000;   15.642000;   -0.536490;  -15.222000;   12.955000;   -2.189200;  -14.460000
108.0;    9.908000;   -1.715000;  -15.495000;   12.417000;   -0.529400;  -16.431000;   14.420000;    1.006800;  -15.313000;   13.192000;    3.671400;  -11.941000
110.4;   10.584000;    2.851000;  -12.887000;   11.129000;    0.653550;  -16.378000;    8.974800;   -0.477120;  -17.423000;    6.618700;   -1.188100;  -16.296000
112.8;    3.368300;   -0.638060;  -16.811000;    5.481000;   -0.458820;  -18.095000;    7.797100;    0.277160;  -17.138000;    7.885800;    2.022800;  -13.582000
115.2;    4.997200;    1.140800;  -14.085000;    4.226800;   -0.092888;  -17.684000;    1.804400;   -0.378920;  -18.523000;   -0.083627;   -0.070110;  -17.102000
117.6;   -3.476600;    0.494850;  -17.102000;   -1.892100;   -0.308720;  -18.656000;    0.635140;   -0.437540;  -17.942000;    2.045500;    0.258860;  -14.348000
120.0;   -0.887790;   -0.603330;  -14.390000;   -2.939300;   -0.768000;  -17.931000;   -5.523700;   -0.229550;  -18.545000;   -6.821900;    1.028100;  -16.897000
122.4;  -10.131000;    1.614300;  -16.422000;   -9.186800;   -0.119770;  -18.116000;   -6.586600;   -1.056300;  -17.665000;   -3.905400;   -1.438600;  -14.246000
124.8;   -6.739100;   -2.215300;  -13.897000;   -9.997600;   -1.322100;  -17.153000;  -12.606000;   -0.009246;  -17.495000;  -13.221000;    2.115000;  -15.728000
127.2;  -16.201000;    2.613200;  -14.792000;  -15.934000;    0.097921;  -16.557000;  -13.416000;   -1.551000;  -16.378000;   -9.564300;   -2.957600;  -13.314000
129.6;  -12.224000;   -3.639900;  -12.534000;  -16.531000;   -1.746700;  -15.397000;  -18.994000;    0.214050;  -15.438000;  -18.898000;    3.046300;  -13.657000
132.0;  -21.280000;    3.367800;  -12.330000;  -21.720000;    0.341380;  -14.056000;  -19.419000;   -1.891200;  -14.146000;  -14.659000;   -4.239900;  -11.595000
134.4;  -16.925000;   -4.780200;  -10.416000;  -22.018000;   -2.018900;  -12.684000;  -24.186000;    0.464230;  -12.446000;  -23.365000;    3.787500;  -10.774000
136.8;  -25.037000;    4.066500;   -9.103100;  -26.188000;    0.587830;  -10.686000;  -24.224000;   -2.062200;  -11.049000;  -18.876000;   -5.167100;   -9.146000
139.2;  -20.531000;   -5.532300;   -7.680400;  -26.091000;   -2.125700;   -9.202200;  -27.811000;    0.709560;   -8.738400;  -26.337000;    4.284900;   -7.251000
141.6;  -27.197000;    4.458500;   -5.300200;  -28.979000;    0.824190;   -6.638600;  -27.524000;   -2.086900;   -7.225800;  -21.818000;   -5.813400;   -6.115000
144.0;  -22.742000;   -5.959800;   -4.482400;  -28.480000;   -2.039400;   -5.167900;  -29.683000;    0.929120;   -4.507100;  -27.645000;    4.533600;   -3.317600
146.4;  -27.663000;    4.565000;   -1.207500;  -29.942000;    1.048600;   -2.212700;  -29.023000;   -1.942000;   -2.975800;  -23.362000;   -6.002800;   -2.719300
148.8;  -23.586000;   -5.983700;   -0.988740;  -29.091000;   -1.815000;   -0.835010;  -29.726000;    1.130800;   -0.006134;  -27.264000;    4.494800;    0.814240
151.2;  -26.431000;    4.395400;    2.935000;  -29.044000;    1.208100;    2.324900;  -28.718000;   -1.648100;    1.428000;  -23.446000;   -5.831000;    0.819420
153.6;  -22.936000;   -5.594600;    2.589100;  -27.883000;   -1.447600;    3.602800;  -27.931000;    1.280100;    4.539200;  -25.183000;    4.253500;    4.942700
156.0;  -23.567000;    4.023900;    6.890200;  -26.382000;    1.358500;    6.714300;  -26.661000;   -1.184000;    5.738700;  -22.112000;   -5.214500;    4.325200
158.4;  -20.869000;   -4.787700;    6.014400;  -24.957000;   -0.928190;    7.788200;  -24.432000;    1.417500;    8.757200;  -21.541000;    3.744200;    8.706500
160.8;  -19.252000;    3.417500;   10.351000;  -22.116000;    1.436200;   10.630000;  -22.941000;   -0.634320;    9.651500;  -19.295000;   -4.298900;    7.515100
163.2;  -17.412000;   -3.675700;    8.983700;  -20.478000;   -0.283320;   11.424000;  -19.392000;    1.465000;   12.354000;  -16.605000;    2.998900;   11.838000
165.6;  -13.739000;    2.541800;   13.119000;  -16.414000;    1.468700;   13.840000;  -17.766000;    0.049379;   12.960000;  -15.275000;   -2.995700;   10.273000
168.0;  -12.876000;   -2.235900;   11.360000;  -14.740000;    0.402620;   14.243000;  -13.226000;    1.461200;   15.064000;  -10.648000;    2.090400;   14.137000
