# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 4.8°
# sensor pos #1: 0 mm
# sensor pos #2: 60 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]
  0.0;  -47.958000;   14.507000;   49.503000;  -57.477000;    1.074700;   58.079000
  4.8;  -79.188000;    0.040790;   47.411000;  -62.702000;   20.182000;   41.691000
  9.6;  -83.232000;   24.794000;   31.090000;  -94.832000;   -1.079000;   30.147000
 14.4;  -94.235000;   -2.016700;   12.051000;  -91.077000;   27.518000;   16.601000
 19.2;  -91.065000;   28.538000;    3.029600;  -93.196000;   -2.743700;   -3.839000
 24.0;  -93.827000;   -3.365800;  -20.578000;  -91.151000;   28.245000;   -9.752800
 28.8;  -88.566000;   26.469000;  -24.026000;  -84.406000;   -3.862000;  -39.578000
 33.6;  -59.115000;   -3.906100;  -53.817000;  -71.995000;   22.668000;  -37.761000
 38.4;  -53.394000;   17.422000;  -46.609000;  -45.391000;   -3.675300;  -63.272000
 43.2;  -18.187000;   -3.266100;  -70.913000;  -36.396000;   11.245000;  -53.960000
 48.0;   -8.929500;    4.220700;  -57.630000;    3.439500;   -2.565900;  -72.194000
 52.8;   27.641000;   -1.752700;  -71.392000;   10.182000;   -2.992000;  -57.601000
 57.6;   37.827000;  -10.028000;  -54.795000;   52.488000;   -0.675020;  -64.095000
 62.4;   66.556000;    0.356690;  -54.738000;   55.233000;  -16.284000;  -47.487000
 67.2;   74.165000;  -21.723000;  -39.033000;   91.036000;    1.565400;  -40.897000
 72.0;   96.423000;    2.720700;  -21.810000;   91.313000;  -25.760000;  -25.481000
 76.8;   93.330000;  -27.732000;  -10.520000;   94.341000;    3.508200;   -4.700400
 81.6;   94.722000;    4.171800;   11.221000;   92.809000;  -28.113000;    2.624200
 86.4;   92.609000;  -27.163000;   16.023000;   93.223000;    4.860300;   29.584000
 91.2;   72.719000;    5.188200;   47.380000;   84.317000;  -24.307000;   30.866000
 96.0;   62.418000;  -19.391000;   42.406000;   52.675000;    5.036600;   58.325000
100.8;   35.145000;    4.777400;   67.879000;   47.926000;  -13.381000;   50.248000
105.6;   22.537000;   -6.522200;   56.718000;    4.680200;    4.161700;   72.089000
110.4;  -12.224000;    3.399900;   72.245000;   -0.605200;    0.750260;   57.877000
115.2;  -23.301000;    8.007400;   57.154000;  -43.379000;    2.395500;   68.599000
120.0;  -57.980000;    1.289500;   59.335000;  -49.477000;   14.934000;   51.502000
124.8;  -64.207000;   20.983000;   43.513000;  -80.704000;    0.151320;   48.573000
129.6;  -97.061000;   -1.166800;   30.548000;  -87.550000;   25.919000;   32.569000
134.4;  -95.782000;   28.816000;   17.176000;  -95.693000;   -2.148100;   11.909000
139.2;  -94.517000;   -2.890800;   -4.170100;  -95.347000;   29.811000;    2.998600
144.0;  -95.490000;   29.483000;  -10.265000;  -95.554000;   -3.592400;  -21.348000
148.8;  -85.454000;   -4.126400;  -40.987000;  -92.893000;   27.689000;  -25.249000
153.6;  -74.121000;   23.687000;  -39.472000;  -58.616000;   -4.065500;  -55.189000
158.4;  -45.748000;   -3.828800;  -64.704000;  -54.569000;   18.075000;  -48.204000
163.2;  -36.989000;   11.566000;  -55.673000;  -16.802000;   -3.354600;  -72.325000
168.0;    4.090800;   -2.547600;  -73.291000;   -7.694600;    4.139300;  -59.105000
172.8;   11.186000;   -3.396400;  -58.952000;   29.689000;   -1.648100;  -72.422000
177.6;   54.175000;   -0.484220;  -64.506000;   41.086000;  -10.751000;  -55.816000
182.4;   57.680000;  -17.206000;  -47.934000;   68.489000;    0.615090;  -54.900000
187.2;   93.599000;    1.855500;  -40.445000;   78.151000;  -22.645000;  -39.131000
192.0;   94.972000;  -26.588000;  -24.816000;   97.516000;    2.973500;  -20.810000
196.8;   95.077000;    3.767700;   -3.620600;   95.952000;  -28.360000;   -9.469700
201.6;   95.337000;  -28.548000;    3.898400;   95.506000;    4.448500;   12.559000
206.4;   93.283000;    5.035100;   31.230000;   95.116000;  -27.423000;   17.715000
211.2;   84.720000;  -24.438000;   32.970000;   70.952000;    5.261700;   48.730000
216.0;   51.536000;    4.976100;   59.243000;   61.043000;  -19.473000;   44.053000
220.8;   46.493000;  -13.379000;   51.526000;   32.800000;    4.628800;   68.520000
225.6;    3.030800;    3.897300;   72.071000;   19.383000;   -6.375400;   57.327000
230.4;   -2.789000;    1.037800;   57.849000;  -14.260000;    3.064600;   71.894000
235.2;  -45.092000;    2.004500;   67.533000;  -26.749000;    8.268400;   56.717000
240.0;  -51.107000;   15.097000;   50.268000;  -58.807000;    0.880950;   58.080000
244.8;  -81.604000;   -0.256070;   46.966000;  -65.972000;   20.992000;   41.969000
249.6;  -87.611000;   25.649000;   30.497000;  -95.991000;   -1.447200;   28.934000
254.4;  -94.433000;   -2.365100;   10.709000;  -93.844000;   28.291000;   15.378000
259.2;  -93.035000;   29.161000;    1.560700;  -93.265000;   -2.970000;   -5.088800
264.0;  -93.678000;   -3.518900;  -22.026000;  -92.816000;   28.708000;  -11.353000
268.8;  -88.911000;   26.723000;  -26.062000;  -82.695000;   -3.921000;  -41.038000
273.6;  -57.580000;   -3.848600;  -54.562000;  -70.248000;   22.715000;  -39.298000
278.4;  -52.006000;   17.254000;  -47.612000;  -44.085000;   -3.572300;  -63.826000
283.2;  -15.926000;   -3.042800;  -70.985000;  -33.666000;   10.939000;  -54.592000
288.0;   -6.502700;    3.784200;  -57.544000;    4.547800;   -2.276600;  -71.905000
292.8;   29.588000;   -1.427100;  -70.720000;   12.557000;   -3.422500;  -57.233000
297.6;   39.906000;  -10.433000;  -53.730000;   52.975000;   -0.343820;  -63.099000
302.4;   67.756000;    0.687150;  -53.650000;   55.898000;  -16.605000;  -46.128000
307.2;   74.687000;  -21.770000;  -37.407000;   91.073000;    1.808900;  -39.447000
312.0;   95.535000;    2.876800;  -20.525000;   89.825000;  -25.494000;  -23.819000
316.8;   91.384000;  -27.211000;   -9.283100;   93.550000;    3.579200;   -3.754400
321.6;   93.699000;    4.166900;   12.072000;   90.920000;  -27.380000;    3.610900
326.4;   90.173000;  -26.278000;   16.922000;   91.131000;    4.680300;   30.134000
331.2;   70.629000;    4.901000;   47.173000;   80.676000;  -23.362000;   31.289000
336.0;   59.580000;  -18.657000;   42.149000;   51.342000;    4.685600;   57.752000
340.8;   33.185000;    4.429000;   66.769000;   44.816000;  -12.853000;   49.579000
345.6;   20.312000;   -6.203700;   55.327000;    4.592900;    3.822600;   70.677000
350.4;  -12.968000;    3.063900;   70.709000;   -1.519700;    0.853690;   56.229000
355.2;  -23.836000;    7.843800;   55.191000;  -42.313000;    2.120300;   66.889000
360.0;  -57.305000;    1.103900;   57.956000;  -47.667000;   14.448000;   49.495000
