# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 0 mm
# sensor pos #2: 60 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;111.6;  116.220000;  -35.317000;   -9.335200
 1;112.8;  115.490000;  -35.409000;   -5.646800
 1;114.0;  115.110000;  -35.466000;   -2.084800
 1;115.2;  115.180000;  -35.463000;    1.382200
 1;116.4;  115.600000;  -35.400000;    4.808600
 1;117.6;  116.340000;  -35.261000;    8.326600
 1;118.8;  117.390000;  -35.038000;   12.145000
 1;120.0;  118.620000;  -34.695000;   16.364000
 1;121.2;  119.710000;  -34.215000;   20.953000
 1;122.4;  120.090000;  -33.604000;   25.790000
 1;123.6;  118.870000;  -32.768000;   30.840000
 1;124.8;  114.640000;  -31.692000;   36.051000
 1;126.0;  106.290000;  -30.374000;   41.001000
 1;127.2;   94.489000;  -28.826000;   45.202000
 1;128.4;   82.333000;  -27.181000;   48.353000
 1;129.6;   72.670000;  -25.463000;   50.554000
 1;130.8;   66.781000;  -23.669000;   52.209000
 1;132.0;   64.732000;  -21.855000;   53.675000
 1;133.2;   64.790000;  -20.040000;   55.449000
 1;134.4;   64.710000;  -18.207000;   57.710000
 1;135.6;   62.183000;  -16.290000;   60.391000
 1;136.8;   55.082000;  -14.181000;   63.289000
 1;138.0;   42.988000;  -11.912000;   65.839000
 1;139.2;   28.179000;   -9.556100;   67.545000
 1;140.4;   14.759000;   -7.206300;   68.204000
 1;141.6;    5.331500;   -4.903500;   68.006000
 1;142.8;    0.435010;   -2.595800;   67.400000
 1;144.0;   -1.113200;   -0.317300;   66.861000
 1;145.2;   -2.060000;    1.916400;   66.748000
 1;146.4;   -5.203000;    4.131800;   67.079000
 1;147.6;  -12.393000;    6.371900;   67.538000
 1;148.8;  -24.254000;    8.698200;   67.685000
 1;150.0;  -38.766000;   11.058000;   67.008000
 1;151.2;  -52.120000;   13.339000;   65.294000
 1;152.4;  -61.125000;   15.492000;   62.762000
 1;153.6;  -65.311000;   17.440000;   59.863000
 1;154.8;  -66.256000;   19.347000;   56.966000
 1;156.0;  -66.120000;   21.174000;   54.463000
 1;157.2;  -67.200000;   22.961000;   52.468000
 1;158.4;  -71.275000;   24.687000;   50.819000
 1;159.6;  -78.887000;   26.373000;   49.097000
 1;160.8;  -89.703000;   28.049000;   46.797000
 1;162.0; -101.190000;   29.636000;   43.609000
 1;163.2; -110.310000;   31.058000;   39.488000
 1;164.4; -115.520000;   32.229000;   34.776000
 1;165.6; -117.520000;   33.176000;   29.795000
 1;166.8; -117.490000;   33.944000;   24.715000
 1;168.0; -116.450000;   34.525000;   19.825000
 1;169.2; -115.090000;   34.967000;   15.277000
 1;170.4; -113.860000;   35.257000;   11.166000
 1;171.6; -112.890000;   35.458000;    7.432300
 1;172.8; -112.190000;   35.580000;    3.837800
 1;174.0; -111.830000;   35.634000;    0.374120
 1;175.2; -111.860000;   35.608000;   -3.046700
 1;176.4; -112.230000;   35.540000;   -6.458300
 1;177.6; -112.850000;   35.376000;   -9.934600
