# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
# sensor pos #2: 35 mm
# sensor pos #3: 45 mm
# sensor pos #4: 55 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
 36.0;  102.650000;   12.035000;   40.819000;  115.100000;    7.132100;   39.374000;  116.340000;    6.648600;   37.900000;  121.640000;    5.542900;   34.762000
 37.2;  120.750000;    5.354300;   27.869000;  119.050000;    6.475300;   31.031000;  118.940000;    7.219500;   32.776000;  112.350000;   12.388000;   35.259000
 38.4;  117.010000;   12.625000;   28.992000;  118.590000;    7.223600;   26.026000;  117.810000;    6.310600;   24.165000;  117.690000;    5.113500;   21.121000
 39.6;  113.940000;    4.831900;   14.778000;  114.790000;    6.026800;   17.458000;  115.860000;    7.198600;   19.309000;  117.540000;   12.741000;   22.424000
 40.8;  115.750000;   12.815000;   16.235000;  112.680000;    7.050000;   13.321000;  111.510000;    5.871500;   11.594000;  110.490000;    4.587000;    9.187300
 42.0;  107.680000;    4.347300;    4.255000;  108.540000;    5.585500;    6.318500;  109.650000;    6.954400;    7.967100;  113.280000;   12.749000;   10.641000
 43.2;  110.910000;   12.728000;    5.773100;  107.270000;    6.861400;    3.366700;  106.320000;    5.333100;    1.824600;  105.610000;    4.126200;   -0.080412
 44.4;  104.160000;    3.917500;   -4.184500;  104.610000;    5.119100;   -2.476900;  105.380000;    6.714300;   -0.977650;  108.900000;   12.615000;    1.320900
 45.6;  107.300000;   12.556000;   -2.898900;  104.090000;    6.558600;   -5.115400;  103.520000;    4.954800;   -6.567700;  103.320000;    3.740500;   -8.217000
 46.8;  103.130000;    3.574300;  -12.194000;  103.080000;    4.759100;  -10.584000;  103.420000;    6.445100;   -9.103100;  106.290000;   12.525000;   -6.823000
 48.0;  105.870000;   12.488000;  -10.505000;  103.380000;    6.255700;  -12.976000;  103.280000;    4.647900;  -14.460000;  103.600000;    3.353300;  -16.196000
 49.2;  104.580000;    3.195300;  -20.285000;  104.020000;    4.421900;  -18.452000;  103.850000;    6.161300;  -16.825000;  105.940000;   12.375000;  -14.092000
 50.4;  106.490000;   12.240000;  -17.831000;  104.880000;    5.998500;  -20.986000;  105.300000;    4.292000;  -22.747000;  106.130000;    3.078100;  -24.826000
 51.6;  108.200000;    2.871900;  -29.981000;  107.180000;    4.039600;  -27.656000;  106.450000;    5.870000;  -25.705000;  107.590000;   12.063000;  -21.943000
 52.8;  109.080000;   11.839000;  -26.307000;  108.410000;    5.656400;  -30.743000;  109.440000;    3.860700;  -32.885000;  110.430000;    2.661700;  -35.643000
 54.0;  112.220000;    2.357800;  -41.797000;  111.650000;    3.572400;  -38.731000;  110.420000;    5.452900;  -36.356000;  110.860000;   11.523000;  -31.052000
 55.2;  112.590000;   11.204000;  -36.048000;  111.810000;    5.280400;  -42.122000;  113.210000;    3.212100;  -44.713000;  112.310000;    1.972400;  -48.052000
 56.4;  108.600000;    1.567600;  -54.441000;  112.550000;    2.793500;  -51.118000;  111.490000;    4.951800;  -48.362000;  113.860000;   10.705000;  -41.554000
 57.6;  113.350000;   10.224000;  -47.454000;  107.340000;    4.604500;  -54.622000;  107.560000;    2.322700;  -57.362000;   98.630000;    1.175600;  -60.409000
 58.8;   83.009000;    0.663250;  -65.182000;   96.132000;    1.817800;  -62.801000;   97.294000;    4.198600;  -60.231000;  109.170000;    9.714200;  -53.181000
 60.0;  100.230000;    9.107500;  -58.134000;   82.748000;    3.711000;  -64.548000;   80.562000;    1.341700;  -66.800000;   66.450000;    0.197250;  -68.407000
 61.2;   54.207000;   -0.139940;  -70.204000;   65.408000;    0.945920;  -69.266000;   67.653000;    3.305500;  -67.367000;   87.275000;    8.412500;  -61.976000
 62.4;   73.338000;    7.728100;  -64.609000;   56.227000;    2.874600;  -69.077000;   54.946000;    0.601270;  -70.708000;   48.295000;   -0.367710;  -71.261000
 63.6;   48.490000;   -0.542090;  -72.317000;   50.784000;    0.321220;  -71.684000;   50.641000;    2.457500;  -70.167000;   62.149000;    7.020500;  -66.255000
 64.8;   56.482000;    6.377100;  -67.276000;   50.773000;    2.088200;  -71.360000;   52.228000;    0.080745;  -72.958000;   52.332000;   -0.721330;  -74.015000
 66.0;   56.170000;   -0.896080;  -76.597000;   56.103000;   -0.188480;  -74.953000;   53.956000;    1.699100;  -73.206000;   55.813000;    5.735600;  -68.380000
 67.2;   57.825000;    5.116800;  -69.939000;   56.761000;    1.436900;  -75.705000;   58.944000;   -0.393480;  -77.685000;   56.453000;   -1.137300;  -79.765000
 68.4;   49.898000;   -1.489000;  -83.102000;   57.526000;   -0.824760;  -80.967000;   56.266000;    1.063900;  -78.865000;   59.847000;    4.359600;  -72.302000
 69.6;   58.768000;    3.617600;  -75.157000;   48.961000;    0.665120;  -82.012000;   48.672000;   -1.295600;  -84.097000;   34.977000;   -1.874000;  -85.828000
 70.8;   15.618000;   -2.271300;  -87.157000;   32.282000;   -1.747100;  -86.195000;   34.435000;    0.170740;  -84.433000;   51.602000;    2.873100;  -77.886000
