# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   16.217000;    4.795300;  -36.157000
  1.2;   12.793000;    3.902500;  -36.507000
  2.4;    9.142700;    2.950400;  -36.717000
  3.6;    5.481800;    1.997800;  -36.803000
  4.8;    1.895300;    1.058700;  -36.734000
  6.0;   -1.559600;    0.132650;  -36.543000
  7.2;   -5.117200;   -0.816540;  -36.224000
  8.4;   -8.792000;   -1.790400;  -35.756000
  9.6;  -12.452000;   -2.733200;  -35.151000
 10.8;  -16.024000;   -3.658100;  -34.420000
 12.0;  -19.401000;   -4.553600;  -33.531000
 13.2;  -23.032000;   -5.485600;  -32.467000
 14.4;  -26.450000;   -6.353800;  -31.305000
 15.6;  -29.677000;   -7.205100;  -30.034000
 16.8;  -32.751000;   -7.998200;  -28.658000
 18.0;  -35.585000;   -8.733100;  -27.243000
 19.2;  -38.384000;   -9.459800;  -25.672000
 20.4;  -41.179000;  -10.171000;  -23.955000
 21.6;  -43.834000;  -10.837000;  -22.141000
 22.8;  -46.296000;  -11.428000;  -20.266000
 24.0;  -48.509000;  -12.017000;  -18.369000
 25.2;  -50.596000;  -12.481000;  -16.292000
 26.4;  -52.453000;  -12.933000;  -14.122000
 27.6;  -54.014000;  -13.331000;  -11.884000
 28.8;  -55.273000;  -13.652000;   -9.648200
 30.0;  -56.208000;  -13.934000;   -7.479300
 31.2;  -56.932000;  -14.138000;   -5.227700
 32.4;  -57.454000;  -14.313000;   -2.915900
 33.6;  -57.767000;  -14.410000;   -0.640630
 34.8;  -57.890000;  -14.472000;    1.588100
 36.0;  -57.842000;  -14.460000;    3.735100
 37.2;  -57.652000;  -14.409000;    5.926100
 38.4;  -57.289000;  -14.283000;    8.148900
 39.6;  -56.741000;  -14.111000;   10.359000
 40.8;  -56.003000;  -13.890000;   12.510000
 42.0;  -55.085000;  -13.638000;   14.569000
 43.2;  -53.887000;  -13.292000;   16.661000
 44.4;  -52.400000;  -12.898000;   18.743000
 45.6;  -50.618000;  -12.446000;   20.759000
 46.8;  -48.588000;  -11.950000;   22.631000
 48.0;  -46.418000;  -11.419000;   24.348000
 49.2;  -43.956000;  -10.811000;   25.998000
 50.4;  -41.255000;  -10.159000;   27.582000
 51.6;  -38.456000;   -9.457900;   29.009000
 52.8;  -35.598000;   -8.727500;   30.293000
 54.0;  -32.761000;   -7.979200;   31.414000
 55.2;  -29.725000;   -7.178600;   32.469000
 56.4;  -26.509000;   -6.326100;   33.414000
 57.6;  -23.186000;   -5.459100;   34.217000
 58.8;  -19.786000;   -4.558400;   34.894000
 60.0;  -16.386000;   -3.715700;   35.371000
 61.2;  -12.811000;   -2.791500;   35.762000
 62.4;   -9.108000;   -1.827000;   35.999000
 63.6;   -5.423200;   -0.868450;   36.091000
 64.8;   -1.789500;    0.078131;   36.052000
 66.0;    1.693300;    1.009000;   35.870000
 67.2;    5.288200;    1.947000;   35.553000
 68.4;    8.966000;    2.895500;   35.102000
 69.6;   12.638000;    3.846900;   34.487000
 70.8;   16.249000;    4.763200;   33.771000
 72.0;   19.698000;    5.619500;   32.942000
 73.2;   23.145000;    6.496200;   31.949000
 74.4;   26.595000;    7.380100;   30.792000
 75.6;   29.873000;    8.215800;   29.522000
 76.8;   32.959000;    9.004000;   28.156000
 78.0;   35.833000;    9.757200;   26.736000
 79.2;   38.670000;   10.483000;   25.171000
 80.4;   41.471000;   11.194000;   23.449000
 81.6;   44.153000;   11.839000;   21.654000
 82.8;   46.643000;   12.448000;   19.766000
 84.0;   48.879000;   13.017000;   17.835000
 85.2;   50.969000;   13.519000;   15.765000
 86.4;   52.863000;   13.974000;   13.571000
 87.6;   54.431000;   14.389000;   11.314000
 88.8;   55.711000;   14.739000;    9.060900
 90.0;   56.671000;   15.001000;    6.856600
 91.2;   57.396000;   15.220000;    4.583500
 92.4;   57.909000;   15.395000;    2.269500
 93.6;   58.216000;   15.510000;   -0.026828
 94.8;   58.330000;   15.569000;   -2.273600
 96.0;   58.297000;   15.569000;   -4.432100
 97.2;   58.073000;   15.517000;   -6.617200
 98.4;   57.694000;   15.409000;   -8.865500
 99.6;   57.133000;   15.237000;  -11.075000
100.8;   56.390000;   15.015000;  -13.250000
102.0;   55.443000;   14.753000;  -15.305000
103.2;   54.248000;   14.404000;  -17.403000
104.4;   52.728000;   14.023000;  -19.502000
105.6;   50.925000;   13.553000;  -21.509000
106.8;   48.890000;   13.041000;  -23.398000
108.0;   46.691000;   12.492000;  -25.125000
109.2;   44.217000;   11.882000;  -26.784000
110.4;   41.517000;   11.209000;  -28.361000
111.6;   38.692000;   10.494000;  -29.778000
112.8;   35.819000;    9.758700;  -31.073000
114.0;   32.944000;    8.986500;  -32.212000
115.2;   29.897000;    8.186300;  -33.244000
116.4;   26.675000;    7.315500;  -34.194000
117.6;   23.329000;    6.432400;  -34.997000
118.8;   19.942000;    5.563100;  -35.665000
120.0;   16.524000;    4.672500;  -36.170000
121.2;   12.931000;    3.756500;  -36.542000
122.4;    9.238000;    2.793200;  -36.769000
123.6;    5.531600;    1.838400;  -36.860000
124.8;    1.897100;    0.883560;  -36.791000
126.0;   -1.590100;   -0.040612;  -36.615000
127.2;   -5.166300;   -0.983460;  -36.287000
128.4;   -8.852200;   -1.944600;  -35.815000
129.6;  -12.513000;   -2.883300;  -35.210000
130.8;  -16.128000;   -3.799700;  -34.480000
132.0;  -19.577000;   -4.662600;  -33.660000
133.2;  -23.045000;   -5.539400;  -32.648000
134.4;  -26.458000;   -6.428800;  -31.495000
135.6;  -29.737000;   -7.244300;  -30.204000
136.8;  -32.831000;   -8.045300;  -28.832000
138.0;  -35.708000;   -8.780200;  -27.401000
139.2;  -38.565000;   -9.512000;  -25.831000
140.4;  -41.366000;  -10.204000;  -24.123000
141.6;  -44.061000;  -10.860000;  -22.303000
142.8;  -46.545000;  -11.445000;  -20.420000
144.0;  -48.893000;  -11.944000;  -18.505000
145.2;  -51.026000;  -12.442000;  -16.432000
146.4;  -52.919000;  -12.886000;  -14.210000
147.6;  -54.504000;  -13.288000;  -11.965000
148.8;  -55.769000;  -13.606000;   -9.703300
150.0;  -56.728000;  -13.871000;   -7.496000
151.2;  -57.466000;  -14.089000;   -5.222200
152.4;  -58.002000;  -14.253000;   -2.904800
153.6;  -58.310000;  -14.353000;   -0.597400
154.8;  -58.427000;  -14.399000;    1.648300
156.0;  -58.366000;  -14.407000;    3.817900
157.2;  -58.159000;  -14.359000;    6.033600
158.4;  -57.786000;  -14.237000;    8.285600
159.6;  -57.241000;  -14.063000;   10.517000
160.8;  -56.478000;  -13.840000;   12.680000
162.0;  -55.543000;  -13.569000;   14.753000
163.2;  -54.335000;  -13.237000;   16.851000
164.4;  -52.809000;  -12.842000;   18.951000
165.6;  -51.011000;  -12.391000;   20.970000
166.8;  -48.934000;  -11.900000;   22.861000
168.0;  -46.688000;  -11.364000;   24.597000
169.2;  -44.199000;  -10.758000;   26.261000
170.4;  -41.442000;  -10.170000;   27.829000
171.6;  -38.592000;   -9.400400;   29.269000
172.8;  -35.680000;   -8.655100;   30.561000
174.0;  -32.780000;   -7.904200;   31.686000
175.2;  -29.708000;   -7.124500;   32.723000
176.4;  -26.465000;   -6.251500;   33.658000
177.6;  -23.108000;   -5.378100;   34.457000
178.8;  -19.694000;   -4.495000;   35.112000
180.0;  -16.252000;   -3.622700;   35.614000
181.2;  -12.654000;   -2.699600;   35.969000
182.4;   -8.931300;   -1.750800;   36.197000
183.6;   -5.242900;   -0.796750;   36.283000
184.8;   -1.607700;    0.154310;   36.219000
186.0;    1.903000;    1.066500;   36.038000
187.2;    5.494200;    2.014200;   35.705000
188.4;    9.177900;    2.969000;   35.244000
189.6;   12.862000;    3.907400;   34.626000
190.8;   16.502000;    4.821100;   33.893000
192.0;   19.969000;    5.700500;   33.057000
193.2;   23.431000;    6.578400;   32.048000
194.4;   26.887000;    7.433800;   30.881000
195.6;   30.160000;    8.284500;   29.600000
196.8;   33.283000;    9.085800;   28.221000
198.0;   36.164000;    9.818100;   26.779000
199.2;   39.021000;   10.544000;   25.205000
200.4;   41.832000;   11.247000;   23.479000
201.6;   44.523000;   11.905000;   21.649000
202.8;   47.061000;   12.500000;   19.739000
204.0;   49.311000;   13.035000;   17.807000
205.2;   51.416000;   13.536000;   15.729000
206.4;   53.303000;   13.986000;   13.508000
207.6;   54.883000;   14.375000;   11.242000
208.8;   56.136000;   14.718000;    8.966700
210.0;   57.092000;   14.985000;    6.743100
211.2;   57.824000;   15.206000;    4.480800
212.4;   58.326000;   15.368000;    2.142700
213.6;   58.625000;   15.472000;   -0.172060
214.8;   58.740000;   15.534000;   -2.418900
216.0;   58.680000;   15.535000;   -4.595800
217.2;   58.466000;   15.481000;   -6.794600
218.4;   58.077000;   15.382000;   -9.046200
219.6;   57.508000;   15.217000;  -11.265000
220.8;   56.738000;   14.994000;  -13.449000
222.0;   55.783000;   14.717000;  -15.535000
223.2;   54.567000;   14.395000;  -17.622000
224.4;   53.006000;   14.004000;  -19.720000
225.6;   51.186000;   13.554000;  -21.738000
226.8;   49.090000;   13.058000;  -23.638000
228.0;   46.834000;   12.525000;  -25.369000
229.2;   44.332000;   11.941000;  -27.020000
230.4;   41.584000;   11.273000;  -28.586000
231.6;   38.738000;   10.553000;  -30.005000
232.8;   35.806000;    9.821000;  -31.298000
234.0;   32.899000;    9.073500;  -32.413000
235.2;   29.844000;    8.279200;  -33.432000
236.4;   26.604000;    7.417000;  -34.362000
237.6;   23.250000;    6.539900;  -35.156000
238.8;   19.804000;    5.642200;  -35.803000
240.0;   16.363000;    4.759900;  -36.303000
241.2;   12.773000;    3.843500;  -36.653000
242.4;    9.072000;    2.886100;  -36.870000
243.6;    5.370700;    1.912300;  -36.934000
244.8;    1.691500;    0.963840;  -36.851000
246.0;   -1.788700;    0.031829;  -36.664000
247.2;   -5.390200;   -0.900190;  -36.334000
248.4;   -9.045300;   -1.864300;  -35.844000
249.6;  -12.731000;   -2.816900;  -35.234000
250.8;  -16.358000;   -3.738100;  -34.467000
252.0;  -19.798000;   -4.649500;  -33.569000
253.2;  -23.251000;   -5.537500;  -32.548000
254.4;  -26.674000;   -6.413500;  -31.383000
255.6;  -29.920000;   -7.251100;  -30.085000
256.8;  -33.021000;   -8.072200;  -28.682000
258.0;  -35.871000;   -8.807800;  -27.262000
259.2;  -38.695000;   -9.535900;  -25.679000
260.4;  -41.477000;  -10.248000;  -23.953000
261.6;  -44.148000;  -10.909000;  -22.125000
262.8;  -46.622000;  -11.502000;  -20.227000
264.0;  -48.900000;  -12.020000;  -18.295000
265.2;  -50.993000;  -12.517000;  -16.228000
266.4;  -52.844000;  -12.969000;  -14.019000
267.6;  -54.393000;  -13.368000;  -11.769000
268.8;  -55.637000;  -13.713000;   -9.500800
270.0;  -56.566000;  -13.975000;   -7.299000
271.2;  -57.279000;  -14.195000;   -5.067700
272.4;  -57.772000;  -14.344000;   -2.744400
273.6;  -58.054000;  -14.462000;   -0.466210
274.8;  -58.161000;  -14.525000;    1.772100
276.0;  -58.184000;  -14.452000;    3.940500
277.2;  -57.971000;  -14.390000;    6.128600
278.4;  -57.593000;  -14.286000;    8.371000
279.6;  -57.008000;  -14.113000;   10.572000
280.8;  -56.247000;  -13.888000;   12.743000
282.0;  -55.277000;  -13.632000;   14.809000
283.2;  -54.057000;  -13.295000;   16.888000
284.4;  -52.533000;  -12.901000;   18.975000
285.6;  -50.710000;  -12.449000;   20.976000
286.8;  -48.638000;  -11.951000;   22.855000
288.0;  -46.378000;  -11.423000;   24.561000
289.2;  -43.899000;  -10.835000;   26.190000
290.4;  -41.166000;  -10.161000;   27.752000
291.6;  -38.327000;   -9.460500;   29.174000
292.8;  -35.435000;   -8.718600;   30.448000
294.0;  -32.559000;   -7.963500;   31.560000
295.2;  -29.512000;   -7.173800;   32.594000
296.4;  -26.270000;   -6.317200;   33.528000
297.6;  -22.933000;   -5.464300;   34.306000
298.8;  -19.524000;   -4.555800;   34.949000
300.0;  -16.127000;   -3.679400;   35.444000
301.2;  -12.557000;   -2.751500;   35.804000
302.4;   -8.836000;   -1.806100;   36.023000
303.6;   -5.157900;   -0.836710;   36.102000
304.8;   -1.535100;    0.106140;   36.028000
306.0;    1.948800;    1.022500;   35.846000
307.2;    5.540400;    1.976500;   35.517000
308.4;    9.203200;    2.916700;   35.041000
309.6;   12.857000;    3.815900;   34.422000
310.8;   16.487000;    4.801300;   33.689000
312.0;   19.909000;    5.684100;   32.849000
313.2;   23.362000;    6.550400;   31.834000
314.4;   26.772000;    7.429400;   30.674000
315.6;   30.016000;    8.281800;   29.391000
316.8;   33.100000;    9.081700;   28.021000
318.0;   35.960000;    9.826600;   26.572000
319.2;   38.769000;   10.562000;   25.018000
320.4;   41.555000;   11.258000;   23.301000
321.6;   44.225000;   11.922000;   21.482000
322.8;   46.696000;   12.532000;   19.602000
324.0;   48.931000;   13.063000;   17.663000
325.2;   51.007000;   13.577000;   15.606000
326.4;   52.883000;   14.030000;   13.389000
327.6;   54.441000;   14.428000;   11.148000
328.8;   55.680000;   14.765000;    8.903900
330.0;   56.623000;   15.037000;    6.691800
331.2;   57.345000;   15.210000;    4.442400
332.4;   57.844000;   15.429000;    2.136100
333.6;   58.146000;   15.542000;   -0.151360
334.8;   58.254000;   15.594000;   -2.396700
336.0;   58.215000;   15.581000;   -4.537800
337.2;   57.998000;   15.530000;   -6.739900
338.4;   57.611000;   15.421000;   -8.971900
339.6;   57.052000;   15.257000;  -11.181000
340.8;   56.274000;   15.031000;  -13.347000
342.0;   55.327000;   14.771000;  -15.403000
343.2;   54.102000;   14.444000;  -17.496000
344.4;   52.576000;   14.046000;  -19.581000
