# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 3 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;  126.400000;  -36.541000;   14.344000
 1;  2.4;  130.570000;  -35.704000;   23.923000
 1;  4.8;  130.320000;  -33.972000;   35.105000
 1;  7.2;  111.170000;  -31.020000;   46.346000
 1;  9.6;   80.805000;  -27.370000;   52.962000
 1; 12.0;   68.365000;  -23.427000;   55.754000
 1; 14.4;   73.753000;  -19.621000;   59.343000
 1; 16.8;   72.813000;  -15.683000;   66.125000
 1; 19.2;   41.790000;  -10.922000;   72.965000
 1; 21.6;    5.355700;   -5.962400;   74.330000
 1; 24.0;   -2.753800;   -1.177600;   72.099000
 1; 26.4;    2.524600;    3.488800;   72.004000
 1; 28.8;  -12.585000;    8.315100;   74.409000
 1; 31.2;  -53.794000;   13.483000;   73.763000
 1; 33.6;  -77.319000;   18.133000;   67.506000
 1; 36.0;  -73.297000;   22.171000;   60.443000
 1; 38.4;  -69.569000;   25.961000;   56.976000
 1; 40.8;  -89.230000;   29.812000;   54.865000
 1; 43.2; -125.270000;   33.511000;   48.415000
 1; 45.6; -138.690000;   36.174000;   37.158000
 1; 48.0; -135.380000;   37.791000;   24.849000
 1; 50.4; -130.430000;   38.632000;   14.644000
 1; 52.8; -127.540000;   39.009000;    6.615300
 1; 55.2; -126.950000;   39.126000;   -0.558230
 1; 57.6; -128.580000;   39.062000;   -7.508500
 1; 60.0; -132.520000;   38.720000;  -15.687000
 1; 62.4; -137.760000;   37.864000;  -25.874000
