# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 3 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0; -138.880000;   35.796000;   35.522000
 1;  2.4; -134.180000;   37.251000;   23.483000
 1;  4.8; -129.030000;   37.967000;   13.565000
 1;  7.2; -126.220000;   38.289000;    5.832200
 1;  9.6; -125.700000;   38.372000;   -1.124000
 1; 12.0; -127.460000;   38.300000;   -7.969700
 1; 14.4; -131.510000;   37.941000;  -16.027000
 1; 16.8; -136.920000;   37.082000;  -26.216000
 1; 19.2; -137.100000;   35.402000;  -38.351000
 1; 21.6; -113.000000;   32.516000;  -50.071000
 1; 24.0;  -78.267000;   28.932000;  -56.217000
 1; 26.4;  -68.586000;   25.133000;  -58.192000
 1; 28.8;  -77.790000;   21.489000;  -61.687000
 1; 31.2;  -77.345000;   17.519000;  -69.125000
 1; 33.6;  -40.497000;   12.598000;  -76.269000
 1; 36.0;   -1.438000;    7.497300;  -77.051000
 1; 38.4;    3.178100;    2.603500;  -74.192000
 1; 40.8;   -5.495800;   -2.138800;  -74.366000
 1; 43.2;   11.354000;   -7.012100;  -77.460000
 1; 45.6;   58.656000;  -12.343000;  -76.853000
 1; 48.0;   82.540000;  -17.073000;  -69.838000
 1; 50.4;   74.994000;  -21.153000;  -62.234000
 1; 52.8;   69.079000;  -25.018000;  -59.017000
 1; 55.2;   90.873000;  -28.985000;  -57.402000
 1; 57.6;  131.730000;  -32.836000;  -50.734000
 1; 60.0;  144.380000;  -35.621000;  -38.642000
 1; 62.4;  139.080000;  -37.341000;  -25.720000
 1; 64.8;  133.140000;  -38.240000;  -15.283000
 1; 67.2;  129.860000;  -38.687000;   -7.309000
 1; 69.6;  129.110000;  -38.886000;   -0.277750
 1; 72.0;  130.830000;  -38.912000;    6.519600
 1; 74.4;  135.130000;  -38.657000;   14.546000
 1; 76.8;  141.530000;  -37.876000;   24.821000
 1; 79.2;  144.200000;  -36.148000;   37.313000
 1; 81.6;  120.890000;  -32.949000;   49.960000
 1; 84.0;   80.358000;  -28.846000;   56.686000
 1; 86.4;   68.544000;  -24.617000;   58.312000
 1; 88.8;   80.863000;  -20.740000;   61.518000
 1; 91.2;   84.753000;  -16.673000;   69.636000
 1; 93.6;   44.546000;  -11.615000;   77.947000
 1; 96.0;   -2.021500;   -6.317900;   78.794000
 1; 98.4;   -6.053700;   -1.283300;   75.057000
 1;100.8;    7.882900;    3.444400;   74.947000
 1;103.2;   -7.834700;    8.612700;   78.864000
 1;105.6;  -62.966000;   14.215000;   78.703000
 1;108.0;  -89.839000;   19.131000;   70.881000
 1;110.4;  -78.082000;   23.283000;   62.442000
 1;112.8;  -68.320000;   27.245000;   59.485000
 1;115.2;  -92.063000;   31.434000;   58.689000
 1;117.6; -140.740000;   35.500000;   52.015000
 1;120.0; -153.130000;   38.311000;   39.011000
 1;122.4; -145.690000;   39.914000;   25.272000
 1;124.8; -138.880000;   40.660000;   14.548000
 1;127.2; -135.310000;   41.003000;    6.455300
 1;129.6; -134.630000;   41.123000;   -0.668720
 1;132.0; -136.700000;   41.102000;   -7.526300
 1;134.4; -141.780000;   40.851000;  -15.836000
 1;136.8; -149.670000;   40.097000;  -26.721000
 1;139.2; -153.840000;   38.346000;  -40.318000
 1;141.6; -124.370000;   35.129000;  -53.810000
 1;144.0;  -77.091000;   30.967000;  -60.052000
 1;146.4;  -69.008000;   26.782000;  -60.601000
 1;148.8;  -85.793000;   22.964000;  -63.737000
 1;151.2;  -89.795000;   18.719000;  -72.675000
 1;153.6;  -40.273000;   13.273000;  -81.077000
 1;156.0;    7.971300;    7.605200;  -80.797000
 1;158.4;    5.064700;    2.386500;  -76.321000
 1;160.8;  -11.633000;   -2.521500;  -76.924000
 1;163.2;   10.500000;   -7.858600;  -81.517000
 1;165.6;   73.021000;  -13.731000;  -80.532000
 1;168.0;   93.956000;  -18.682000;  -71.474000
 1;170.4;   77.306000;  -22.811000;  -62.986000
 1;172.8;   68.766000;  -26.820000;  -60.780000
 1;175.2;  100.420000;  -31.118000;  -59.863000
 1;177.6;  149.840000;  -35.180000;  -51.747000
 1;180.0;  155.640000;  -37.847000;  -37.727000
 1;182.4;  146.430000;  -39.287000;  -23.982000
 1;184.8;  139.480000;  -39.920000;  -13.559000
 1;187.2;  136.070000;  -40.163000;   -5.715900
 1;189.6;  135.610000;  -40.212000;    1.316800
 1;192.0;  137.960000;  -40.142000;    8.324400
 1;194.4;  143.430000;  -39.817000;   16.986000
 1;196.8;  151.440000;  -38.936000;   28.400000
 1;199.2;  152.930000;  -37.007000;   42.369000
 1;201.6;  115.840000;  -33.559000;   55.163000
 1;204.0;   72.329000;  -29.338000;   60.095000
 1;206.4;   70.083000;  -25.213000;   60.415000
 1;208.8;   86.930000;  -21.344000;   64.324000
 1;211.2;   84.035000;  -16.950000;   73.500000
 1;213.6;   29.529000;  -11.351000;   80.679000
 1;216.0;  -10.596000;   -5.818300;   79.198000
