# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
# sensor pos #2: 40 mm
# sensor pos #3: 65 mm
# sensor pos #4: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;   20.911000;   -1.828100;   -0.361630;   23.619000;    0.606500;   -0.346110;   23.161000;    2.382400;    0.891850;   20.699000;    3.665100;    2.110200
  1.2;   19.998000;    3.580700;    2.923600;   21.904000;    2.375700;    2.466800;   22.959000;    0.818220;    0.544850;   20.382000;   -1.659300;    0.386320
  2.4;   19.892000;   -1.494300;    1.226600;   22.340000;    0.912310;    1.460200;   21.704000;    2.405900;    2.555100;   19.202000;    3.490700;    3.732500
  3.6;   18.289000;    3.370800;    4.571400;   20.286000;    2.377900;    4.225800;   21.617000;    1.015700;    2.401800;   19.299000;   -1.300800;    2.044400
  4.8;   18.629000;   -1.124200;    2.901800;   20.769000;    1.121400;    3.355600;   20.014000;    2.396200;    4.269400;   17.300000;    3.236400;    5.380600
  6.0;   16.227000;    3.089600;    6.184800;   18.212000;    2.342800;    6.005900;   19.873000;    1.212900;    4.264300;   17.871000;   -0.893840;    3.725100
  7.2;   17.062000;   -0.677640;    4.526600;   18.894000;    1.340200;    5.177000;   18.080000;    2.379000;    5.872100;   15.140000;    2.959700;    6.925300
  8.4;   13.970000;    2.787500;    7.619700;   16.002000;    2.299100;    7.575000;   17.872000;    1.435800;    5.994800;   16.212000;   -0.472270;    5.266500
  9.6;   15.281000;   -0.238140;    6.012200;   16.773000;    1.537400;    6.806000;   15.698000;    2.308500;    7.568300;   12.860000;    2.636700;    8.256400
 10.8;   11.546000;    2.440700;    8.922000;   13.447000;    2.210300;    9.079000;   15.571000;    1.643400;    7.621500;   14.264000;    0.004944;    6.725800
 12.0;   13.187000;    0.254380;    7.435700;   14.310000;    1.735700;    8.399400;   12.683000;    2.211400;    9.371000;   10.082000;    2.194600;    9.556900
 13.2;    8.733300;    1.982500;   10.102000;   10.591000;    2.066900;   10.437000;   13.016000;    1.819300;    9.113400;   12.087000;    0.501200;    8.073900
 14.4;   10.979000;    0.739800;    8.677300;   11.719000;    1.920900;    9.769700;   10.203000;    2.103800;   10.477000;    7.415200;    1.816700;   10.604000
 15.6;    6.010300;    1.584400;   11.068000;    7.766700;    1.930200;   11.522000;   10.349000;    2.003400;   10.423000;    9.797700;    0.954140;    9.250100
 16.8;    8.551500;    1.241700;    9.798200;    8.908500;    2.074700;   11.002000;    7.400200;    1.987300;   11.563000;    4.598800;    1.392900;   11.516000
 18.0;    3.148400;    1.148700;   11.895000;    4.744700;    1.769700;   12.461000;    7.418200;    2.125100;   11.564000;    7.242600;    1.487400;   10.295000
 19.2;    5.953100;    1.731200;   10.742000;    5.922300;    2.213600;   12.056000;    4.561800;    1.830900;   12.471000;    1.702500;    0.954510;   12.241000
 20.4;    0.243680;    0.699470;   12.514000;    1.674600;    1.582600;   13.209000;    4.473100;    2.260700;   12.518000;    4.687500;    1.953000;   11.155000
 21.6;    3.364300;    2.180800;   11.538000;    2.962600;    2.308800;   12.908000;    1.389100;    1.653500;   13.306000;   -1.231600;    0.467590;   12.764000
 22.8;   -2.723000;    0.231970;   12.956000;   -1.464000;    1.362600;   13.771000;    1.387300;    2.356300;   13.309000;    1.995000;    2.393600;   11.862000
 24.0;    0.606180;    2.624400;   12.164000;   -0.184790;    2.335400;   13.610000;   -2.310700;    1.401100;   13.959000;   -4.232000;   -0.042852;   13.061000
 25.2;   -5.676500;   -0.272500;   13.157000;   -4.654600;    1.119600;   14.093000;   -1.734100;    2.261400;   13.868000;   -0.746680;    2.806600;   12.406000
 26.4;   -2.049000;    2.998900;   12.589000;   -3.191800;    2.434300;   14.073000;   -4.802300;    1.218100;   14.309000;   -6.989800;   -0.440150;   13.238000
 27.6;   -8.362100;   -0.665320;   13.225000;   -7.554600;    0.918290;   14.232000;   -4.693500;    2.449600;   14.278000;   -3.380600;    3.177400;   12.750000
 28.8;   -4.731200;    3.354000;   12.850000;   -6.216800;    2.452600;   14.351000;   -7.903900;    1.001900;   14.479000;   -9.754200;   -0.909150;   13.149000
 30.0;  -11.078000;   -1.121600;   13.040000;  -10.421000;    0.705820;   14.176000;   -7.707100;    2.447000;   14.417000;   -6.083400;    3.516800;   12.892000
 31.2;   -7.364800;    3.687500;   12.889000;   -9.142800;    2.442900;   14.388000;  -10.824000;    0.753620;   14.409000;  -12.332000;   -1.284800;   12.937000
 32.4;  -13.516000;   -1.487600;   12.701000;  -13.109000;    0.473190;   13.884000;  -10.512000;    2.436900;   14.344000;   -8.590100;    3.812900;   12.853000
 33.6;   -9.800400;    3.945900;   12.747000;  -11.868000;    2.448900;   14.194000;  -13.479000;    0.532940;   14.107000;  -14.648000;   -1.642100;   12.461000
 34.8;  -15.782000;   -1.860600;   12.105000;  -15.657000;    0.227120;   13.300000;  -13.229000;    2.393200;   14.015000;  -11.011000;    4.068700;   12.585000
 36.0;  -12.189000;    4.120600;   12.371000;  -14.482000;    2.372700;   13.748000;  -16.397000;    0.208450;   13.282000;  -16.817000;   -2.031600;   11.658000
 37.2;  -17.781000;   -2.224300;   11.227000;  -17.944000;   -0.010366;   12.437000;  -15.703000;    2.324500;   13.441000;  -13.295000;    4.275600;   12.118000
 38.4;  -14.315000;    4.353200;   11.811000;  -16.796000;    2.292000;   13.075000;  -18.280000;    0.055727;   12.683000;  -18.630000;   -2.319500;   10.803000
 39.6;  -19.450000;   -2.460300;   10.283000;  -19.831000;   -0.211260;   11.494000;  -17.843000;    2.266700;   12.669000;  -15.303000;    4.414500;   11.452000
 40.8;  -16.241000;    4.488000;   11.026000;  -18.851000;    2.208000;   12.163000;  -20.149000;   -0.165700;   11.708000;  -20.164000;   -2.603300;    9.661800
 42.0;  -20.812000;   -2.720900;    9.043600;  -21.443000;   -0.394220;   10.283000;  -19.798000;    2.150900;   11.646000;  -17.112000;    4.535100;   10.571000
 43.2;  -17.909000;    4.577300;   10.066000;  -20.605000;    2.110900;   11.023000;  -21.643000;   -0.340830;   10.570000;  -21.392000;   -2.780300;    8.453400
 44.4;  -21.844000;   -2.885900;    7.743500;  -22.688000;   -0.573830;    8.923800;  -21.328000;    2.035100;   10.432000;  -18.578000;    4.591100;    9.528000
 45.6;  -19.236000;    4.602700;    8.945600;  -21.992000;    1.983200;    9.736100;  -22.840000;   -0.520810;    9.196200;  -22.228000;   -2.940100;    7.052500
