# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 40 mm
# Rotation step angle: 2.4°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   -0.944240;   -0.496910;  -14.408000
  2.4;   -3.907600;   -1.375900;  -14.226000
  4.8;   -6.706800;   -2.172400;  -13.834000
  7.2;   -9.494700;   -2.921000;  -13.266000
  9.6;  -12.135000;   -3.601000;  -12.497000
 12.0;  -14.549000;   -4.207800;  -11.555000
 14.4;  -16.784000;   -4.743300;  -10.398000
 16.8;  -18.692000;   -5.169700;   -9.138600
 19.2;  -20.358000;   -5.543100;   -7.677800
 21.6;  -21.677000;   -5.800700;   -6.122000
 24.0;  -22.637000;   -5.954600;   -4.495300
 26.4;  -23.242000;   -6.019200;   -2.742200
 28.8;  -23.470000;   -5.987800;   -1.023100
 31.2;  -23.335000;   -5.844100;    0.785790
 33.6;  -22.817000;   -5.598400;    2.554400
 36.0;  -21.966000;   -5.268300;    4.263200
 38.4;  -20.736000;   -4.829900;    5.942300
 40.8;  -19.216000;   -4.315000;    7.480000
 43.2;  -17.353000;   -3.694400;    8.933800
 45.6;  -15.218000;   -3.009500;   10.225000
 48.0;  -12.892000;   -2.250400;   11.333000
 50.4;  -10.261000;   -1.448300;   12.264000
 52.8;   -7.579900;   -0.634320;   12.957000
 55.2;   -4.694900;    0.246160;   13.485000
 57.6;   -1.774800;    1.109100;   13.764000
 60.0;    1.166600;    1.949300;   13.854000
 62.4;    4.167000;    2.779700;   13.707000
 64.8;    7.019700;    3.555300;   13.366000
 67.2;    9.837600;    4.291200;   12.802000
 69.6;   12.502000;    4.961500;   12.035000
 72.0;   14.968000;    5.561900;   11.090000
 74.4;   17.226000;    6.097000;    9.934500
 76.8;   19.156000;    6.537300;    8.641100
 79.2;   20.821000;    6.900200;    7.179600
 81.6;   22.148000;    7.163100;    5.598700
 84.0;   23.107000;    7.331100;    3.938000
 86.4;   23.717000;    7.404700;    2.178200
 88.8;   23.936000;    7.383800;    0.428440
 91.2;   23.795000;    7.244100;   -1.398200
 93.6;   23.287000;    7.025000;   -3.189000
 96.0;   22.434000;    6.705300;   -4.903300
 98.4;   21.182000;    6.268400;   -6.605000
100.8;   19.661000;    5.755700;   -8.155200
103.2;   17.778000;    5.139600;   -9.605000
105.6;   15.619000;    4.454100;  -10.897000
108.0;   13.246000;    3.684500;  -11.993000
110.4;   10.625000;    2.870100;  -12.919000
112.8;    7.938300;    2.031000;  -13.623000
115.2;    5.036400;    1.157300;  -14.135000
117.6;    2.091000;    0.286490;  -14.412000
120.0;   -0.846740;   -0.566740;  -14.468000
122.4;   -3.845000;   -1.429700;  -14.314000
124.8;   -6.700600;   -2.206700;  -13.949000
127.2;   -9.528000;   -2.943100;  -13.370000
129.6;  -12.196000;   -3.613700;  -12.598000
132.0;  -14.633000;   -4.213000;  -11.649000
134.4;  -16.892000;   -4.741800;  -10.493000
136.8;  -18.794000;   -5.179400;   -9.209200
139.2;  -20.482000;   -5.534900;   -7.739100
141.6;  -21.804000;   -5.781700;   -6.168600
144.0;  -22.756000;   -5.949000;   -4.510500
146.4;  -23.377000;   -6.012500;   -2.744800
148.8;  -23.608000;   -5.969900;   -0.999460
151.2;  -23.456000;   -5.820500;    0.805740
153.6;  -22.959000;   -5.598700;    2.581400
156.0;  -22.088000;   -5.252200;    4.307900
158.4;  -20.845000;   -4.808600;    5.991900
160.8;  -19.315000;   -4.295200;    7.529900
163.2;  -17.420000;   -3.686200;    8.992900
165.6;  -15.271000;   -2.987900;   10.282000
168.0;  -12.902000;   -2.234400;   11.385000
170.4;  -10.255000;   -1.424800;   12.325000
172.8;   -7.565300;   -0.608180;   13.025000
175.2;   -4.653200;    0.267820;   13.535000
177.6;   -1.704800;    1.144900;   13.817000
180.0;    1.240600;    1.976500;   13.895000
182.4;    4.241800;    2.813700;   13.741000
184.8;    7.107000;    3.575400;   13.378000
187.2;    9.961900;    4.332300;   12.812000
189.6;   12.607000;    4.998100;   12.043000
192.0;   15.083000;    5.598500;   11.083000
194.4;   17.332000;    6.142200;    9.917200
196.8;   19.248000;    6.563800;    8.629700
199.2;   20.942000;    6.932700;    7.150400
201.6;   22.238000;    7.184400;    5.564300
204.0;   23.202000;    7.364800;    3.887300
206.4;   23.813000;    7.429400;    2.127600
208.8;   24.012000;    7.408100;    0.382620
211.2;   23.867000;    7.258300;   -1.450700
213.6;   23.336000;    7.050700;   -3.235200
216.0;   22.462000;    6.725100;   -4.974600
218.4;   21.200000;    6.282200;   -6.674900
220.8;   19.652000;    5.784900;   -8.212500
223.2;   17.729000;    5.155700;   -9.673700
225.6;   15.596000;    4.474600;  -10.946000
228.0;   13.187000;    3.706900;  -12.063000
230.4;   10.554000;    2.897000;  -12.972000
232.8;    7.852900;    2.061700;  -13.649000
235.2;    4.949900;    1.165100;  -14.161000
237.6;    1.988400;    0.293960;  -14.425000
240.0;   -0.960000;   -0.566740;  -14.483000
242.4;   -3.952700;   -1.410300;  -14.303000
244.8;   -6.787500;   -2.193300;  -13.935000
247.2;   -9.615600;   -2.929600;  -13.348000
249.6;  -12.271000;   -3.608900;  -12.573000
252.0;  -14.697000;   -4.207400;  -11.598000
254.4;  -16.939000;   -4.754800;  -10.441000
256.8;  -18.830000;   -5.168200;   -9.149700
259.2;  -20.503000;   -5.536800;   -7.670000
261.6;  -21.781000;   -5.792500;   -6.109800
264.0;  -22.745000;   -5.942600;   -4.456900
266.4;  -23.332000;   -6.007200;   -2.704100
268.8;  -23.542000;   -5.966500;   -0.964720
271.2;  -23.387000;   -5.821700;    0.840850
273.6;  -22.874000;   -5.580400;    2.605400
276.0;  -21.985000;   -5.246600;    4.330000
278.4;  -20.734000;   -4.798500;    5.995900
280.8;  -19.199000;   -4.290300;    7.532500
283.2;  -17.308000;   -3.674200;    8.981100
285.6;  -15.184000;   -2.998000;   10.252000
288.0;  -12.782000;   -2.236600;   11.342000
290.4;  -10.167000;   -1.433000;   12.265000
292.8;   -7.479500;   -0.593250;   12.956000
295.2;   -4.577300;    0.271930;   13.443000
297.6;   -1.669600;    1.141200;   13.732000
300.0;    1.279900;    1.989600;   13.796000
302.4;    4.264100;    2.817000;   13.637000
304.8;    7.088600;    3.596300;   13.300000
307.2;    9.910200;    4.340500;   12.714000
309.6;   12.541000;    4.999200;   11.948000
312.0;   15.004000;    5.606000;   11.010000
314.4;   17.250000;    6.144500;    9.849200
316.8;   19.147000;    6.575000;    8.558000
319.2;   20.803000;    6.938300;    7.090100
321.6;   22.109000;    7.197100;    5.528500
324.0;   23.048000;    7.365900;    3.870700
326.4;   23.651000;    7.435000;    2.119800
328.8;   23.874000;    7.422300;    0.369320
331.2;   23.708000;    7.290100;   -1.440300
333.6;   23.206000;    7.059700;   -3.220800
336.0;   22.315000;    6.739700;   -4.925800
338.4;   21.080000;    6.316200;   -6.604600
340.8;   19.570000;    5.808800;   -8.133100
343.2;   17.679000;    5.192300;   -9.594300
345.6;   15.537000;    4.506000;  -10.872000
348.0;   13.170000;    3.750600;  -11.967000
350.4;   10.572000;    2.922700;  -12.886000
352.8;    7.900900;    2.096000;  -13.577000
355.2;    5.001600;    1.199100;  -14.080000
357.6;    2.075600;    0.323830;  -14.357000
