# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 40 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0; -108.990000;   -5.669700;   -7.940500
  1.2; -106.690000;   -5.511400;   -3.386300
  2.4; -104.910000;   -5.387800;    0.928800
  3.6; -103.730000;   -5.217100;    5.076900
  4.8; -103.170000;   -5.080400;    9.039500
  6.0; -103.230000;   -4.948300;   12.943000
  7.2; -103.820000;   -4.803000;   16.826000
  8.4; -104.980000;   -4.660400;   21.103000
  9.6; -106.680000;   -4.490800;   25.850000
 10.8; -108.720000;   -4.329900;   31.029000
 12.0; -110.820000;   -4.041600;   36.662000
 13.2; -112.200000;   -3.807900;   42.485000
 14.4; -111.710000;   -3.499800;   48.787000
 15.6; -107.060000;   -3.132400;   55.044000
 16.8;  -96.504000;   -2.726500;   60.515000
 18.0;  -81.648000;   -2.279500;   64.623000
 19.2;  -66.912000;   -1.866200;   67.302000
 20.4;  -55.781000;   -1.433800;   68.915000
 21.6;  -50.809000;   -1.057000;   69.994000
 22.8;  -51.452000;   -0.717220;   71.181000
 24.0;  -54.793000;   -0.399830;   73.044000
 25.2;  -57.542000;   -0.114920;   75.602000
 26.4;  -56.580000;    0.231230;   78.794000
 27.6;  -48.625000;    0.634500;   81.935000
 28.8;  -33.461000;    1.088200;   84.182000
 30.0;  -15.655000;    1.541500;   85.015000
 31.2;   -0.969900;    1.966800;   84.513000
 32.4;    7.573900;    2.371600;   83.138000
 33.6;    8.989100;    2.721800;   81.589000
 34.8;    6.063800;    3.030600;   80.617000
 36.0;    3.201200;    3.346500;   80.480000
