# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 40 mm
# Rotation step angle: 4.8°
# sensor pos #1: 0 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -15.499000;    5.882700;    9.533900
  4.8;  -17.912000;    6.243000;    7.320400
  9.6;  -19.224000;    6.322200;    4.582100
 14.4;  -19.360000;    6.070500;    1.518200
 19.2;  -18.290000;    5.483500;   -1.698300
 24.0;  -16.076000;    4.579100;   -4.797600
 28.8;  -12.863000;    3.363000;   -7.599100
 33.6;   -8.858400;    1.994400;   -9.864400
 38.4;   -4.310400;    0.524720;  -11.545000
 43.2;    0.561100;   -0.924080;  -12.540000
 48.0;    5.368500;   -2.179500;  -12.806000
 52.8;    9.839500;   -3.226900;  -12.315000
 57.6;   13.716000;   -4.031200;  -11.091000
 62.4;   16.726000;   -4.533400;   -9.148600
 67.2;   18.668000;   -4.722700;   -6.608300
 72.0;   19.420000;   -4.575600;   -3.659400
 76.8;   19.000000;   -4.155500;   -0.505010
 81.6;   17.291000;   -3.344900;    2.694500
 86.4;   14.533000;   -2.272100;    5.720300
 91.2;   10.836000;   -0.965160;    8.317800
 96.0;    6.484600;    0.470580;   10.327000
100.8;    1.719300;    1.901500;   11.688000
105.6;   -3.157000;    3.212900;   12.365000
110.4;   -7.908000;    4.388000;   12.269000
115.2;  -12.237000;    5.339400;   11.389000
120.0;  -15.769000;    6.015300;    9.757100
124.8;  -18.302000;    6.401700;    7.463400
129.6;  -19.666000;    6.485000;    4.657800
134.4;  -19.789000;    6.224000;    1.519000
139.2;  -18.677000;    5.609700;   -1.775500
144.0;  -16.354000;    4.660900;   -4.943200
148.8;  -13.052000;    3.434700;   -7.780900
153.6;   -8.934300;    2.028800;  -10.084000
158.4;   -4.265700;    0.515010;  -11.757000
163.2;    0.706610;   -0.940140;  -12.740000
168.0;    5.622100;   -2.244800;  -12.986000
172.8;   10.170000;   -3.309400;  -12.455000
177.6;   14.084000;   -4.120800;  -11.163000
182.4;   17.115000;   -4.632000;   -9.132000
187.2;   19.019000;   -4.817600;   -6.519300
192.0;   19.666000;   -4.653600;   -3.487200
196.8;   19.088000;   -4.175700;   -0.289940
201.6;   17.293000;   -3.366100;    2.957200
206.4;   14.382000;   -2.289600;    5.972700
211.2;   10.530000;   -0.936030;    8.561700
216.0;    6.097200;    0.503810;   10.513000
220.8;    1.297800;    1.920100;   11.796000
225.6;   -3.599000;    3.231200;   12.379000
230.4;   -8.308200;    4.378300;   12.187000
235.2;  -12.535000;    5.318100;   11.220000
240.0;  -15.944000;    5.979400;    9.529100
244.8;  -18.310000;    6.333800;    7.218700
249.6;  -19.517000;    6.374500;    4.406500
254.4;  -19.514000;    6.094400;    1.292400
259.2;  -18.269000;    5.469300;   -1.948400
264.0;  -15.934000;    4.530600;   -5.057400
268.8;  -12.608000;    3.308100;   -7.787200
273.6;   -8.514900;    1.918300;  -10.010000
278.4;   -3.939200;    0.453030;  -11.610000
283.2;    0.926890;   -0.971510;  -12.526000
288.0;    5.716000;   -2.231000;  -12.725000
292.8;   10.088000;   -3.260500;  -12.177000
297.6;   13.856000;   -4.038600;  -10.893000
302.4;   16.749000;   -4.506900;   -8.908700
307.2;   18.561000;   -4.673800;   -6.365900
312.0;   19.189000;   -4.525600;   -3.422200
316.8;   18.610000;   -4.042000;   -0.298070
321.6;   16.900000;   -3.274700;    2.831900
326.4;   14.096000;   -2.212700;    5.766800
331.2;   10.430000;   -0.909900;    8.270800
336.0;    6.121400;    0.481030;   10.228000
340.8;    1.453200;    1.876100;   11.525000
345.6;   -3.317900;    3.162800;   12.143000
350.4;   -7.906900;    4.289800;   12.021000
355.2;  -12.111000;    5.223600;   11.123000
360.0;  -15.487000;    5.880800;    9.543900
