# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 2 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;   23.434000;  -11.583000;   88.544000
 1;  2.4;  -26.223000;   -5.893400;   85.123000
 1;  4.8;   -5.633600;   -0.823270;   78.455000
 1;  7.2;   22.498000;    4.042900;   80.330000
 1;  9.6;  -10.106000;    9.492400;   87.212000
 1; 12.0;  -94.972000;   15.460000;   85.452000
 1; 14.4; -108.000000;   20.288000;   73.324000
 1; 16.8;  -78.868000;   24.261000;   63.508000
 1; 19.2;  -63.380000;   28.248000;   62.694000
 1; 21.6; -104.490000;   32.644000;   63.542000
 1; 24.0; -169.850000;   36.746000;   54.698000
 1; 26.4; -167.670000;   39.268000;   38.393000
 1; 28.8; -153.620000;   40.543000;   23.412000
 1; 31.2; -145.020000;   41.045000;   12.678000
 1; 33.6; -141.040000;   41.203000;    4.974200
 1; 36.0; -140.480000;   41.289000;   -1.737100
 1; 38.4; -143.210000;   41.296000;   -8.362900
 1; 40.8; -149.860000;   41.133000;  -16.742000
 1; 43.2; -161.480000;   40.520000;  -28.493000
 1; 45.6; -172.920000;   38.943000;  -44.128000
 1; 48.0; -132.980000;   35.660000;  -59.930000
 1; 50.4;  -68.622000;   31.332000;  -65.493000
 1; 52.8;  -67.037000;   27.097000;  -63.579000
 1; 55.2;  -96.625000;   23.458000;  -66.242000
 1; 57.6; -112.430000;   19.420000;  -77.650000
 1; 60.0;  -42.506000;   13.848000;  -88.947000
 1; 62.4;   24.303000;    7.777700;  -87.449000
 1; 64.8;   10.113000;    2.706100;  -80.128000
 1; 67.2;  -23.934000;   -2.106700;  -80.803000
 1; 69.6;   -3.269100;   -7.545300;  -88.562000
 1; 72.0;   88.178000;  -13.724000;  -88.991000
 1; 74.4;  114.540000;  -18.920000;  -76.961000
 1; 76.8;   82.851000;  -23.031000;  -65.723000
 1; 79.2;   59.865000;  -27.069000;  -64.464000
 1; 81.6;   94.543000;  -31.697000;  -66.779000
 1; 84.0;  174.640000;  -36.241000;  -59.291000
 1; 86.4;  176.280000;  -39.248000;  -42.176000
 1; 88.8;  159.620000;  -40.857000;  -25.764000
 1; 91.2;  149.820000;  -41.669000;  -14.331000
 1; 93.6;  145.360000;  -41.930000;   -6.414300
 1; 96.0;  144.630000;  -42.180000;    0.321280
 1; 98.4;  147.380000;  -42.327000;    6.865500
 1;100.8;  154.250000;  -42.378000;   15.038000
 1;103.2;  166.910000;  -41.885000;   26.648000
 1;105.6;  183.280000;  -40.269000;   42.820000
 1;108.0;  147.760000;  -36.519000;   60.308000
 1;110.4;   67.968000;  -31.323000;   66.782000
 1;112.8;   63.631000;  -26.463000;   63.797000
 1;115.2;   99.462000;  -22.493000;   65.607000
 1;117.6;  126.560000;  -18.504000;   78.048000
 1;120.0;   48.335000;  -12.770000;   91.729000
 1;122.4;  -34.728000;   -6.592700;   90.080000
 1;124.8;  -15.707000;   -1.322100;   80.797000
 1;127.2;   29.350000;    3.515300;   80.990000
 1;129.6;   11.623000;    9.251200;   90.662000
 1;132.0;  -97.250000;   15.770000;   92.045000
 1;134.4; -126.860000;   21.172000;   78.265000
 1;136.8;  -85.367000;   25.307000;   65.291000
 1;139.2;  -54.876000;   29.412000;   64.843000
 1;141.6;  -91.954000;   34.389000;   69.013000
 1;144.0; -192.990000;   39.276000;   61.360000
 1;146.4; -186.840000;   42.230000;   42.441000
 1;148.8; -166.610000;   43.580000;   25.080000
 1;151.2; -155.720000;   44.039000;   13.373000
 1;153.6; -150.990000;   44.204000;    5.473400
 1;156.0; -150.260000;   44.287000;   -1.203100
 1;158.4; -153.280000;   44.418000;   -7.779000
 1;160.8; -160.990000;   44.427000;  -16.167000
 1;163.2; -175.890000;   44.030000;  -28.431000
 1;165.6; -198.380000;   42.487000;  -46.389000
 1;168.0; -149.920000;   38.737000;  -65.506000
 1;170.4;  -58.105000;   33.583000;  -70.762000
 1;172.8;  -64.690000;   28.864000;  -65.655000
 1;175.2; -107.720000;   25.165000;  -67.493000
 1;177.6; -139.990000;   20.905000;  -81.941000
 1;180.0;  -36.501000;   14.573000;  -96.010000
 1;182.4;   46.518000;    7.949500;  -91.982000
 1;184.8;   11.050000;    2.461600;  -81.303000
 1;187.2;  -39.948000;   -2.488300;  -83.255000
 1;189.6;   -9.051900;   -8.485500;  -94.470000
 1;192.0;  119.670000;  -15.403000;  -94.175000
 1;194.4;  128.350000;  -20.756000;  -77.852000
 1;196.8;   81.410000;  -24.758000;  -65.548000
 1;199.2;   51.085000;  -28.989000;  -66.870000
 1;201.6;  106.980000;  -34.163000;  -71.021000
 1;204.0;  206.320000;  -39.023000;  -60.664000
 1;206.4;  186.800000;  -41.753000;  -40.318000
 1;208.8;  166.310000;  -42.895000;  -23.264000
 1;211.2;  156.020000;  -43.225000;  -12.247000
 1;213.6;  151.650000;  -43.290000;   -4.655700
 1;216.0;  151.240000;  -43.357000;    1.911800
 1;218.4;  154.680000;  -43.422000;    8.592300
 1;220.8;  163.230000;  -43.370000;   17.474000
 1;223.2;  179.620000;  -42.854000;   30.696000
 1;225.6;  201.250000;  -41.077000;   49.501000
 1;228.0;  129.600000;  -37.021000;   67.501000
 1;230.4;   52.080000;  -31.848000;   70.152000
 1;232.8;   70.225000;  -27.260000;   64.958000
 1;235.2;  113.240000;  -23.572000;   68.676000
 1;237.6;  131.480000;  -19.028000;   84.018000
 1;240.0;   16.623000;  -12.460000;   95.503000
 1;242.4;  -45.524000;   -6.019600;   89.276000
 1;244.8;   -4.059700;   -0.735140;   79.861000
 1;247.2;   38.936000;    4.214300;   83.540000
 1;249.6;  -11.620000;   10.222000;   93.339000
 1;252.0; -126.700000;   16.768000;   89.711000
 1;254.4; -117.790000;   21.723000;   73.603000
 1;256.8;  -75.604000;   25.636000;   63.442000
 1;259.2;  -56.881000;   29.909000;   65.222000
 1;261.6; -121.160000;   34.889000;   67.220000
 1;264.0; -195.540000;   39.225000;   55.303000
 1;266.4; -177.350000;   41.630000;   36.220000
 1;268.8; -160.050000;   42.682000;   20.612000
 1;271.2; -151.010000;   43.050000;   10.239000
 1;273.6; -147.190000;   43.188000;    2.893300
 1;276.0; -147.110000;   43.280000;   -3.688600
 1;278.4; -150.630000;   43.378000;  -10.458000
 1;280.8; -158.780000;   43.280000;  -19.423000
 1;283.2; -173.390000;   42.666000;  -32.380000
 1;285.6; -186.130000;   40.749000;  -49.922000
 1;288.0; -119.020000;   36.789000;  -65.569000
 1;290.4;  -57.667000;   31.940000;  -68.038000
 1;292.8;  -72.275000;   27.616000;  -64.649000
 1;295.2; -107.540000;   23.939000;  -68.999000
 1;297.6; -113.310000;   19.477000;  -82.494000
 1;300.0;  -17.827000;   13.311000;  -92.034000
 1;302.4;   33.041000;    7.221000;  -87.031000
 1;304.8;    2.105700;    2.109400;  -79.678000
 1;307.2;  -29.323000;   -2.848600;  -82.850000
 1;309.6;   17.070000;   -8.593800;  -90.502000
 1;312.0;  110.180000;  -14.910000;  -86.972000
 1;314.4;  109.490000;  -19.882000;  -73.047000
 1;316.8;   75.768000;  -23.844000;  -63.720000
 1;319.2;   62.342000;  -28.059000;  -64.183000
 1;321.6;  115.120000;  -32.729000;  -64.969000
 1;324.0;  179.400000;  -36.961000;  -54.435000
 1;326.4;  170.210000;  -39.422000;  -37.142000
 1;328.8;  155.260000;  -40.533000;  -22.253000
 1;331.2;  146.720000;  -40.947000;  -11.835000
 1;333.6;  142.890000;  -41.067000;   -4.334600
 1;336.0;  142.570000;  -41.085000;    2.340100
 1;338.4;  145.550000;  -41.025000;    9.172900
 1;340.8;  152.620000;  -40.793000;   17.922000
 1;343.2;  164.800000;  -40.044000;   30.348000
 1;345.6;  173.650000;  -38.139000;   46.486000
 1;348.0;  121.810000;  -34.479000;   61.397000
 1;350.4;   63.538000;  -29.905000;   65.312000
 1;352.8;   69.240000;  -25.680000;   63.177000
 1;355.2;   98.725000;  -21.983000;   66.878000
 1;357.6;  105.530000;  -17.685000;   78.738000
 1;360.0;   28.242000;  -11.953000;   88.309000
 2;  0.0;  -32.178000;    0.142360;   95.708000
 2;  2.4;   -2.968900;    1.562400;   87.849000
 2;  4.8;   34.671000;    2.733000;   90.370000
 2;  7.2;    1.156700;    3.581400;   98.135000
 2;  9.6;  -90.421000;    4.318500;   95.168000
 2; 12.0;  -95.859000;    5.281900;   80.970000
 2; 14.4;  -58.747000;    6.351700;   70.861000
 2; 16.8;  -40.034000;    7.265800;   70.981000
 2; 19.2;  -88.478000;    7.849100;   71.532000
 2; 21.6; -156.870000;    8.291600;   60.013000
 2; 24.0; -148.710000;    8.714600;   40.838000
 2; 26.4; -132.290000;    9.065600;   24.208000
 2; 28.8; -123.020000;    9.243000;   12.623000
 2; 31.2; -119.040000;    9.288600;    4.413600
 2; 33.6; -118.880000;    9.162300;   -2.798000
 2; 36.0; -122.360000;    8.884900;  -10.100000
 2; 38.4; -130.410000;    8.437900;  -19.413000
 2; 40.8; -144.850000;    7.831100;  -32.726000
 2; 43.2; -162.070000;    7.208700;  -50.666000
 2; 45.6; -123.030000;    6.551500;  -68.904000
 2; 48.0;  -51.168000;    5.708300;  -75.029000
 2; 50.4;  -50.918000;    4.580600;  -72.284000
 2; 52.8;  -88.449000;    3.380500;  -74.930000
 2; 55.2; -113.320000;    2.429100;  -87.865000
 2; 57.6;  -38.217000;    1.636700; -100.380000
 2; 60.0;   31.684000;    0.733830;  -97.863000
 2; 62.4;    8.194500;   -0.467790;  -89.283000
 2; 64.8;  -35.690000;   -1.655600;  -90.648000
 2; 67.2;  -14.940000;   -2.465500;  -99.520000
 2; 69.6;   84.486000;   -3.124900;  -98.850000
 2; 72.0;  102.600000;   -3.957600;  -84.623000
 2; 74.4;   61.922000;   -5.003200;  -72.967000
 2; 76.8;   34.494000;   -5.952000;  -72.906000
 2; 79.2;   78.135000;   -6.491200;  -75.187000
 2; 81.6;  162.250000;   -6.853000;  -64.927000
 2; 84.0;  155.770000;   -7.241400;  -44.771000
 2; 86.4;  136.500000;   -7.553100;  -26.714000
 2; 88.8;  126.020000;   -7.734200;  -14.492000
 2; 91.2;  121.500000;   -7.795100;   -6.069500
 2; 93.6;  121.070000;   -7.689100;    1.171600
 2; 96.0;  124.490000;   -7.437400;    8.349900
 2; 98.4;  132.680000;   -6.987400;   17.485000
 2;100.8;  148.200000;   -6.394100;   30.795000
 2;103.2;  171.000000;   -5.787300;   49.482000
 2;105.6;  137.300000;   -5.170800;   69.940000
 2;108.0;   47.714000;   -4.381400;   77.158000
 2;110.4;   45.192000;   -3.244000;   72.927000
 2;112.8;   89.476000;   -2.038300;   74.345000
 2;115.2;  126.670000;   -1.111200;   88.376000
 2;117.6;   43.045000;   -0.457330;  103.100000
 2;120.0;  -42.791000;    0.349220;  100.320000
 2;122.4;  -12.756000;    1.560900;   89.626000
 2;124.8;   42.385000;    2.770000;   90.728000
 2;127.2;   25.920000;    3.500000;  101.640000
 2;129.6;  -93.818000;    4.064600;  101.950000
 2;132.0; -112.560000;    4.897300;   85.670000
 2;134.4;  -62.566000;    5.982400;   72.499000
 2;136.8;  -26.571000;    6.892800;   73.274000
 2;139.2;  -75.149000;    7.287500;   77.241000
 2;141.6; -177.010000;    7.468600;   66.394000
 2;144.0; -160.580000;    7.740000;   44.354000
 2;146.4; -138.160000;    8.023400;   25.406000
 2;148.8; -127.050000;    8.219100;   13.136000
 2;151.2; -122.350000;    8.238900;    4.839600
 2;153.6; -121.990000;    8.137000;   -2.234100
 2;156.0; -125.680000;    7.872200;   -9.301900
 2;158.4; -134.560000;    7.430100;  -18.570000
 2;160.8; -151.880000;    6.902500;  -32.299000
 2;163.2; -180.570000;    6.436100;  -52.377000
 2;165.6; -136.080000;    6.086200;  -74.222000
 2;168.0;  -36.780000;    5.486900;  -80.227000
 2;170.4;  -44.780000;    4.399900;  -74.190000
 2;172.8;  -96.676000;    3.202800;  -76.036000
 2;175.2; -139.710000;    2.362200;  -92.223000
 2;177.6;  -29.459000;    1.832800; -107.520000
 2;180.0;   55.304000;    1.016100; -102.160000
 2;182.4;    8.226700;   -0.304980;  -90.272000
 2;184.8;  -53.628000;   -1.503600;  -93.158000
 2;187.2;  -20.909000;   -2.172000; -105.670000
 2;189.6;  115.080000;   -2.689500; -103.860000
 2;192.0;  111.890000;   -3.591300;  -85.155000
 2;194.4;   56.509000;   -4.701400;  -72.611000
 2;196.8;   21.903000;   -5.491900;  -75.244000
 2;199.2;   87.561000;   -5.794800;  -79.071000
 2;201.6;  187.090000;   -6.062100;  -65.491000
 2;204.0;  159.140000;   -6.496400;  -42.170000
 2;206.4;  137.250000;   -6.888900;  -23.753000
 2;208.8;  126.820000;   -7.115900;  -12.094000
 2;211.2;  122.640000;   -7.156600;   -4.104700
 2;213.6;  122.780000;   -7.068100;    2.907700
 2;216.0;  126.960000;   -6.804100;   10.113000
