# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 26 mm
# Rotation step angle: 1.2°
# sensor pos #1: 10 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -17.627000;    4.968600;    8.657400
  1.2;  -18.179000;    5.009700;    8.086100
  2.4;  -18.683000;    5.015300;    7.480000
  3.6;  -19.108000;    5.006300;    6.831800
  4.8;  -19.455000;    5.008200;    6.155200
  6.0;  -19.723000;    4.966700;    5.478200
  7.2;  -19.918000;    4.933500;    4.755000
  8.4;  -20.040000;    4.868500;    4.004100
  9.6;  -20.074000;    4.797600;    3.228400
 10.8;  -20.027000;    4.697100;    2.442400
 12.0;  -19.921000;    4.588100;    1.667900
 13.2;  -19.725000;    4.487300;    0.872260
 14.4;  -19.449000;    4.341700;    0.058905
 15.6;  -19.104000;    4.177700;   -0.763320
 16.8;  -18.677000;    4.017900;   -1.559700
 18.0;  -18.196000;    3.850300;   -2.331300
 19.2;  -17.646000;    3.658700;   -3.116500
 20.4;  -16.993000;    3.447700;   -3.895900
 21.6;  -16.279000;    3.201700;   -4.670500
 22.8;  -15.522000;    2.973900;   -5.396600
 24.0;  -14.705000;    2.722200;   -6.082100
 25.2;  -13.835000;    2.491100;   -6.770200
 26.4;  -12.883000;    2.210300;   -7.429800
 27.6;  -11.895000;    1.945900;   -8.050700
 28.8;  -10.833000;    1.681200;   -8.648200
 30.0;   -9.796000;    1.392100;   -9.181800
 31.2;   -8.703700;    1.109100;   -9.688500
 32.4;   -7.533400;    0.822700;  -10.181000
 33.6;   -6.342100;    0.546010;  -10.625000
 34.8;   -5.139200;    0.261470;  -11.027000
 36.0;   -3.950100;   -0.010739;  -11.393000
 37.2;   -2.722300;   -0.280340;  -11.704000
 38.4;   -1.444600;   -0.550680;  -11.994000
 39.6;   -0.177460;   -0.807210;  -12.238000
 40.8;    1.058800;   -1.052200;  -12.424000
 42.0;    2.394100;   -1.326600;  -12.590000
 43.2;    3.608100;   -1.500200;  -12.707000
 44.4;    4.838900;   -1.704100;  -12.768000
 45.6;    6.053200;   -1.912900;  -12.789000
 46.8;    7.348100;   -2.087600;  -12.757000
 48.0;    8.407400;   -2.280700;  -12.679000
 49.2;    9.527200;   -2.426300;  -12.542000
 50.4;   10.646000;   -2.585000;  -12.371000
 51.6;   11.750000;   -2.706000;  -12.132000
 52.8;   12.784000;   -2.849000;  -12.026000
 54.0;   13.720000;   -2.958800;  -11.675000
 55.2;   14.568000;   -3.012900;  -11.203000
 56.4;   15.397000;   -3.105900;  -10.859000
 57.6;   16.197000;   -3.169400;  -10.406000
 58.8;   16.945000;   -3.216400;   -9.903900
 60.0;   17.592000;   -3.245200;   -9.392800
 61.2;   18.170000;   -3.262300;   -8.844800
 62.4;   18.692000;   -3.269400;   -8.223600
 63.6;   19.137000;   -3.246300;   -7.572500
 64.8;   19.502000;   -3.228700;   -6.925800
 66.0;   19.770000;   -3.185800;   -6.245800
 67.2;   19.966000;   -3.132800;   -5.536700
 68.4;   20.114000;   -3.051000;   -4.784300
 69.6;   20.183000;   -2.977400;   -4.009400
 70.8;   20.132000;   -2.868400;   -3.201500
 72.0;   20.082000;   -2.765700;   -2.504200
 73.2;   19.872000;   -2.618600;   -1.680100
 74.4;   19.563000;   -2.468900;   -0.836490
 75.6;   19.235000;   -2.306100;    0.017886
 76.8;   18.839000;   -2.135800;    0.766570
 78.0;   18.345000;   -1.958800;    1.560700
 79.2;   17.885000;   -1.768400;    2.362200
 80.4;   17.221000;   -1.567500;    3.064400
 81.6;   16.441000;   -1.309400;    3.904700
 82.8;   15.659000;   -1.074200;    4.691800
 84.0;   14.889000;   -0.831110;    5.369900
 85.2;   13.992000;   -0.582790;    6.075400
 86.4;   13.044000;   -0.318800;    6.735400
 87.6;   12.218000;   -0.088407;    7.344000
 88.8;   11.438000;    0.145340;    7.836600
 90.0;   10.368000;    0.417180;    8.427200
 91.2;    9.252300;    0.700220;    8.976300
 92.4;    8.076100;    0.984010;    9.499600
 93.6;    6.855200;    1.255100;    9.960800
 94.8;    5.632800;    1.538900;   10.401000
 96.0;    4.418800;    1.807000;   10.774000
 97.2;    3.176700;    2.067300;   11.117000
 98.4;    1.887600;    2.319300;   11.434000
 99.6;    0.584560;    2.578800;   11.711000
100.8;   -0.697200;    2.801400;   11.933000
102.0;   -1.937500;    3.044800;   12.107000
103.2;   -3.208300;    3.247600;   12.245000
104.4;   -4.488200;    3.469800;   12.337000
105.6;   -5.760400;    3.668800;   12.374000
106.8;   -6.956400;    3.876800;   12.368000
108.0;   -8.148400;    4.025000;   12.296000
109.2;   -9.300400;    4.206100;   12.183000
110.4;  -10.439000;    4.335700;   12.041000
111.6;  -11.554000;    4.491400;   11.819000
112.8;  -12.607000;    4.613100;   11.575000
114.0;  -13.562000;    4.731900;   11.271000
115.2;  -14.495000;    4.840900;   10.930000
116.4;  -15.396000;    4.917800;   10.523000
117.6;  -16.224000;    4.987700;   10.076000
118.8;  -16.990000;    5.062300;    9.583800
120.0;  -17.676000;    5.085100;    9.087500
121.2;  -18.279000;    5.126600;    8.528800
122.4;  -18.829000;    5.146300;    7.920900
123.6;  -19.320000;    5.143400;    7.263100
124.8;  -19.703000;    5.137800;    6.590500
126.0;  -20.019000;    5.112700;    5.902100
127.2;  -20.254000;    5.062700;    5.171100
128.4;  -20.405000;    4.995100;    4.409900
129.6;  -20.488000;    4.933100;    3.622400
130.8;  -20.480000;    4.842000;    2.829000
132.0;  -20.387000;    4.747600;    2.043300
133.2;  -20.231000;    4.619800;    1.242500
134.4;  -19.967000;    4.510800;    0.392600
135.6;  -19.641000;    4.337200;   -0.445890
136.8;  -19.246000;    4.164300;   -1.255900
138.0;  -18.776000;    3.993300;   -2.047800
139.2;  -18.248000;    3.798400;   -2.856800
140.4;  -17.617000;    3.570200;   -3.661200
141.6;  -16.919000;    3.342400;   -4.451000
142.8;  -16.148000;    3.107200;   -5.217000
144.0;  -15.354000;    2.862600;   -5.937200
145.2;  -14.483000;    2.616500;   -6.622000
146.4;  -13.539000;    2.331600;   -7.333000
147.6;  -12.530000;    2.057500;   -7.976800
148.8;  -11.468000;    1.772300;   -8.599400
150.0;  -10.422000;    1.488900;   -9.153000
151.2;   -9.298600;    1.197600;   -9.686600
152.4;   -8.127100;    0.902230;  -10.217000
153.6;   -6.928600;    0.615090;  -10.677000
154.8;   -5.700300;    0.313000;  -11.096000
