# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 40 mm
# sensor pos #3: 60 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;   26.591000;    7.185500;   23.725000;   31.603000;    4.016800;   26.899000;   34.352000;    2.123300;   26.328000
  2.4;   39.107000;    2.049300;   23.041000;   36.575000;    4.190100;   23.808000;   31.450000;    8.134000;   21.271000
  4.8;   35.937000;    9.079800;   18.371000;   41.052000;    4.309200;   20.261000;   43.331000;    1.952200;   19.264000
  7.2;   46.678000;    1.818200;   15.297000;   44.727000;    4.366300;   16.458000;   39.697000;    9.796000;   15.297000
  9.6;   42.911000;   10.414000;   11.787000;   47.692000;    4.351000;   12.259000;   49.235000;    1.682300;   10.923000
 12.0;   50.871000;    1.495200;    6.498100;   49.711000;    4.275900;    7.937100;   45.328000;   10.816000;    8.189500
 14.4;   46.906000;   11.119000;    4.462300;   50.953000;    4.114600;    3.546600;   51.752000;    1.252900;    2.002300
 16.8;   51.856000;    1.037000;   -2.610600;   51.385000;    3.974200;   -0.982090;   47.831000;   11.191000;    0.611740
 19.2;   47.970000;   11.144000;   -3.216700;   51.115000;    3.742300;   -5.453500;   51.213000;    0.876840;   -7.124600
 21.6;   49.845000;    0.646080;  -11.633000;   50.096000;    3.464500;   -9.900600;   47.385000;   10.967000;   -6.993400
 24.0;   46.186000;   10.621000;  -10.571000;   48.384000;    3.149000;  -14.113000;   47.743000;    0.405610;  -15.899000
 26.4;   44.742000;    0.171480;  -19.997000;   45.802000;    2.789000;  -18.197000;   44.322000;   10.078000;  -14.110000
 28.8;   41.600000;    9.372200;  -17.494000;   42.391000;    2.342100;  -22.085000;   40.906000;   -0.052934;  -23.805000
 31.2;   36.498000;   -0.281460;  -27.102000;   38.321000;    1.913800;  -25.446000;   38.321000;    8.507800;  -20.522000
 33.6;   34.202000;    7.526100;  -23.271000;   33.546000;    1.467200;  -28.482000;   31.405000;   -0.492800;  -30.031000
 36.0;   25.978000;   -0.680250;  -32.441000;   28.337000;    0.952640;  -31.038000;   29.625000;    6.443900;  -25.576000
 38.4;   24.671000;    5.284900;  -27.475000;   22.795000;    0.484390;  -33.051000;   20.159000;   -0.858740;  -34.366000
 40.8;   13.923000;   -1.010000;  -35.718000;   16.735000;   -0.050320;  -34.609000;   19.257000;    3.999600;  -28.936000
 43.2;   13.724000;    2.710300;  -29.950000;   10.679000;   -0.509230;  -35.583000;    7.670300;   -1.151500;  -36.499000
 45.6;    1.133300;   -1.260900;  -36.734000;    4.223100;   -1.005900;  -36.006000;    7.784300;    1.348500;  -30.533000
 48.0;    1.892300;    0.021000;  -30.483000;   -2.063600;   -1.443500;  -35.879000;   -5.255700;   -1.357600;  -36.434000
 50.4;  -11.659000;   -1.406900;  -35.556000;   -8.474300;   -1.854200;  -35.222000;   -4.053500;   -1.377000;  -30.157000
 52.8;  -10.034000;   -2.705600;  -29.323000;  -14.830000;   -2.235100;  -34.024000;  -18.027000;   -1.449100;  -34.148000
 55.2;  -23.933000;   -1.446100;  -32.244000;  -20.813000;   -2.591700;  -32.337000;  -15.781000;   -3.955800;  -28.092000
 57.6;  -21.416000;   -5.173100;  -26.353000;  -26.657000;   -2.881100;  -30.115000;  -29.700000;   -1.428900;  -29.789000
 60.0;  -34.918000;   -1.354600;  -26.911000;  -32.073000;   -3.080900;  -27.440000;  -26.576000;   -6.285100;  -24.235000
 62.4;  -31.379000;   -7.305200;  -21.744000;  -36.944000;   -3.270600;  -24.394000;  -39.669000;   -1.244800;  -23.624000
 64.8;  -43.873000;   -1.115300;  -19.822000;  -41.398000;   -3.397900;  -20.795000;  -35.885000;   -8.153600;  -18.901000
 67.2;  -39.638000;   -8.882100;  -15.790000;  -45.041000;   -3.444200;  -17.025000;  -47.151000;   -1.027100;  -15.859000
 69.6;  -49.672000;   -0.866580;  -11.509000;  -47.978000;   -3.412800;  -12.803000;  -42.824000;   -9.465400;  -12.303000
 72.0;  -45.255000;   -9.833600;   -8.711000;  -50.038000;   -3.307500;   -8.503700;  -51.335000;   -0.630960;   -7.041800
 74.4;  -52.145000;   -0.409910;   -2.576300;  -51.197000;   -3.173500;   -4.091800;  -46.845000;  -10.096000;   -4.975700
 76.8;  -47.701000;  -10.198000;   -1.157600;  -51.642000;   -2.954300;    0.384470;  -52.253000;   -0.191470;    1.985700
 79.2;  -51.637000;    0.028468;    6.385400;  -51.361000;   -2.757100;    4.725800;  -47.896000;  -10.084000;    2.563600
 81.6;  -47.378000;   -9.849200;    6.336300;  -50.383000;   -2.454700;    9.136300;  -50.299000;    0.261850;   10.853000
 84.0;  -48.130000;    0.487380;   15.143000;  -48.625000;   -2.089100;   13.404000;  -46.182000;   -9.530700;    9.962200
 86.4;  -44.271000;   -8.985200;   13.492000;  -46.089000;   -1.736200;   17.443000;  -45.161000;    0.730090;   19.203000
 88.8;  -41.263000;    0.955630;   23.029000;  -42.606000;   -1.318000;   21.325000;  -41.561000;   -8.273100;   16.901000
 91.2;  -38.204000;   -7.452000;   19.891000;  -38.585000;   -0.881140;   24.683000;  -36.859000;    1.168100;   26.275000
 93.6;  -31.753000;    1.393600;   29.229000;  -33.736000;   -0.382650;   27.753000;  -34.057000;   -6.497900;   22.651000
 96.0;  -29.446000;   -5.435900;   24.920000;  -28.557000;    0.076264;   30.275000;  -26.282000;    1.566500;   31.649000
 98.4;  -20.465000;    1.731200;   33.532000;  -22.979000;    0.572520;   32.315000;  -24.516000;   -4.248500;   26.895000
100.8;  -19.084000;   -2.949800;   28.386000;  -16.981000;    1.049700;   33.859000;  -14.264000;    1.888000;   34.883000
103.2;   -8.039200;    2.022400;   35.675000;  -10.870000;    1.540000;   34.837000;  -13.549000;   -1.657400;   29.384000
105.6;   -7.571500;   -0.276600;   29.946000;   -4.410500;    1.997400;   35.278000;   -1.486300;    2.119500;   35.922000
108.0;    4.963500;    2.209500;   35.622000;    2.008500;    2.417500;   35.183000;   -1.615400;    1.052700;   30.034000
110.4;    4.335300;    2.418600;   29.663000;    8.366000;    2.840200;   34.536000;   11.405000;    2.246900;   34.797000
112.8;   17.821000;    2.266700;   33.367000;   14.841000;    3.200900;   33.348000;   10.414000;    3.719200;   28.833000
115.2;   16.137000;    4.978300;   27.567000;   20.803000;    3.532900;   31.663000;   23.748000;    2.256200;   31.480000
117.6;   29.474000;    2.207700;   29.023000;   26.723000;    3.792400;   29.431000;   21.809000;    6.153800;   25.821000
120.0;   27.047000;    7.251600;   23.707000;   32.054000;    4.010800;   26.783000;   34.707000;    2.143100;   26.157000
122.4;   39.449000;    2.044100;   22.818000;   37.026000;    4.160600;   23.649000;   31.868000;    8.255000;   21.187000
124.8;   36.315000;    9.169100;   18.268000;   41.430000;    4.308400;   20.075000;   43.596000;    1.952600;   19.033000
127.2;   46.880000;    1.811800;   15.036000;   45.052000;    4.330100;   16.261000;   40.081000;    9.854300;   15.146000
129.6;   43.264000;   10.482000;   11.618000;   47.977000;    4.310700;   12.028000;   49.396000;    1.600900;   10.647000
132.0;   50.987000;    1.400400;    6.193600;   49.945000;    4.225900;    7.682500;   45.630000;   10.856000;    7.986300
134.4;   47.179000;   11.129000;    4.216600;   51.122000;    4.076900;    3.249100;   51.769000;    1.221100;    1.710700
136.8;   51.837000;    1.013900;   -2.862700;   51.509000;    3.920100;   -1.244800;   48.012000;   11.271000;    0.383360
139.2;   48.131000;   11.222000;   -3.324600;   51.235000;    3.688900;   -5.585800;   51.214000;    0.785730;   -7.278300
141.6;   49.807000;    0.566540;  -11.790000;   50.193000;    3.410400;  -10.051000;   47.593000;   11.000000;   -7.126100
144.0;   46.363000;   10.653000;  -10.722000;   48.458000;    3.090400;  -14.266000;   47.668000;    0.355570;  -16.036000
146.4;   44.648000;    0.116220;  -20.120000;   45.846000;    2.710300;  -18.348000;   44.500000;   10.069000;  -14.306000
148.8;   41.743000;    9.372900;  -17.699000;   42.406000;    2.322300;  -22.201000;   40.788000;   -0.109690;  -23.911000
151.2;   36.367000;   -0.321780;  -27.189000;   38.309000;    1.848800;  -25.622000;   38.343000;    8.591000;  -20.645000
153.6;   34.152000;    7.600700;  -23.413000;   33.502000;    1.405200;  -28.635000;   31.231000;   -0.527900;  -30.115000
156.0;   25.806000;   -0.716100;  -32.501000;   28.288000;    0.922400;  -31.145000;   29.561000;    6.511500;  -25.700000
158.4;   24.563000;    5.302800;  -27.614000;   22.699000;    0.443690;  -33.194000;   19.996000;   -0.887490;  -34.392000
160.8;   13.794000;   -1.037600;  -35.733000;   16.675000;   -0.041732;  -34.686000;   19.156000;    4.053000;  -29.092000
163.2;   13.593000;    2.728600;  -30.075000;   10.587000;   -0.517070;  -35.653000;    7.546800;   -1.149600;  -36.510000
165.6;    1.002000;   -1.247100;  -36.719000;    4.085600;   -0.987190;  -36.061000;    7.613500;    1.380900;  -30.609000
168.0;    1.687800;    0.029962;  -30.639000;   -2.220900;   -1.427800;  -35.926000;   -5.387300;   -1.336700;  -36.378000
170.4;  -11.772000;   -1.371400;  -35.495000;   -8.619800;   -1.810200;  -35.231000;   -4.329900;   -1.314700;  -30.335000
172.8;  -10.358000;   -2.636900;  -29.460000;  -14.994000;   -2.188100;  -34.011000;  -18.135000;   -1.371800;  -34.063000
175.2;  -23.991000;   -1.355700;  -32.149000;  -20.979000;   -2.485300;  -32.320000;  -16.015000;   -3.905000;  -28.136000
177.6;  -21.660000;   -5.132700;  -26.370000;  -26.821000;   -2.754900;  -30.087000;  -29.716000;   -1.305000;  -29.689000
180.0;  -34.899000;   -1.216500;  -26.808000;  -32.179000;   -2.977100;  -27.401000;  -26.890000;   -6.189500;  -24.258000
182.4;  -31.700000;   -7.177900;  -21.739000;  -37.068000;   -3.143600;  -24.301000;  -39.617000;   -1.123900;  -23.509000
184.8;  -43.763000;   -1.000600;  -19.730000;  -41.506000;   -3.230200;  -20.720000;  -36.061000;   -8.101300;  -18.819000
