# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 2.4°
# sensor pos #1: 0 mm
# sensor pos #2: 15 mm
# sensor pos #3: 30 mm
# sensor pos #4: 45 mm
# sensor pos #5: 60 mm
# sensor pos #6: 75 mm
# sensor pos #7: 90 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0; -114.810000;   36.271000;    6.294900
 1;  2.4; -114.390000;   36.399000;   -0.793620
 1;  4.8; -115.490000;   36.282000;   -7.663800
 1;  7.2; -117.760000;   35.841000;  -15.429000
 1;  9.6; -119.700000;   34.838000;  -24.643000
 1; 12.0; -116.180000;   33.146000;  -34.738000
 1; 14.4;  -98.568000;   30.410000;  -44.312000
 1; 16.8;  -75.812000;   27.100000;  -50.325000
 1; 19.2;  -65.701000;   23.531000;  -53.684000
 1; 21.6;  -65.842000;   19.941000;  -57.518000
 1; 24.0;  -58.893000;   15.988000;  -63.177000
 1; 26.4;  -33.339000;   11.367000;  -68.056000
 1; 28.8;   -8.142500;    6.706100;  -69.105000
 1; 31.2;    0.003240;    2.038900;  -68.025000
 1; 33.6;    2.525300;   -2.497200;  -68.208000
 1; 36.0;   19.454000;   -7.108400;  -69.255000
 1; 38.4;   49.024000;  -11.906000;  -67.628000
 1; 40.8;   65.576000;  -16.213000;  -62.398000
 1; 43.2;   66.635000;  -20.082000;  -56.757000
 1; 45.6;   70.085000;  -23.707000;  -53.128000
 1; 48.0;   88.203000;  -27.202000;  -49.542000
 1; 50.4;  111.830000;  -30.436000;  -42.539000
 1; 52.8;  121.020000;  -32.786000;  -32.737000
 1; 55.2;  120.100000;  -34.247000;  -22.150000
 1; 57.6;  117.290000;  -35.028000;  -13.036000
 1; 60.0;  115.620000;  -35.456000;   -5.910300
 1; 62.4;  115.160000;  -35.631000;    1.329000
 1; 64.8;  116.320000;  -35.282000;    8.415000
 1; 67.2;  118.620000;  -34.747000;   16.271000
 1; 69.6;  120.080000;  -33.672000;   25.722000
 1; 72.0;  114.600000;  -31.745000;   36.052000
 1; 74.4;   94.752000;  -28.919000;   45.150000
 1; 76.8;   72.894000;  -25.573000;   50.536000
 1; 79.2;   64.709000;  -21.940000;   53.703000
