# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 4.8°
# sensor pos #1: 0 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
# sensor pos #4: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]; X4_magn [mT]; Y4_magn [mT]; Z4_magn [mT]
  0.0;  -62.337000;   20.169000;   41.614000;  -74.033000;    1.543700;   48.326000;  -89.157000;   -5.179000;   42.062000;  -69.420000;    4.571700;   49.064000
  4.8;  -89.753000;    4.244200;   34.451000;  -98.487000;   -7.133800;   24.335000;  -92.510000;    0.442950;   32.025000;  -82.870000;   24.636000;   31.164000
  9.6;  -90.817000;   27.407000;   16.757000;  -93.539000;   -0.462930;   13.759000;  -96.418000;   -8.254400;    7.678100;  -93.019000;    3.700100;   16.634000
 14.4;  -91.834000;    3.150500;    0.676040;  -95.833000;   -8.780900;   -7.324100;  -92.460000;   -1.139900;   -2.241500;  -90.920000;   28.398000;    3.136800
 19.2;  -91.023000;   28.111000;   -9.614200;  -93.229000;   -1.892700;  -18.711000;  -95.437000;   -9.002000;  -24.241000;  -92.306000;    2.350300;  -14.951000
 24.0;  -88.038000;    1.236800;  -32.877000;  -79.125000;   -8.747700;  -42.338000;  -86.716000;   -2.637600;  -37.469000;  -88.470000;   26.312000;  -23.881000
 28.8;  -72.017000;   22.617000;  -37.588000;  -62.698000;   -2.972600;  -52.451000;  -54.994000;   -7.494900;  -54.043000;  -66.250000;    0.125930;  -48.688000
 33.6;  -49.392000;   -0.794890;  -58.516000;  -40.284000;   -5.986000;  -63.299000;  -47.868000;   -3.144300;  -62.037000;  -53.434000;   17.357000;  -46.448000
 38.4;  -36.566000;   11.197000;  -53.784000;  -23.852000;   -3.136500;  -70.084000;   -8.711400;   -4.040900;  -69.084000;  -28.773000;   -1.748200;  -66.908000
 43.2;   -2.599500;   -2.572300;  -69.821000;    9.387500;   -1.792600;  -69.643000;    0.298300;   -2.838200;  -71.888000;   -9.104300;    4.195300;  -57.515000
 48.0;    9.866200;   -2.982300;  -57.569000;   21.734000;   -2.446800;  -71.319000;   39.739000;    0.491490;  -67.773000;   16.772000;   -3.033100;  -69.601000
 52.8;   44.995000;   -3.307500;  -64.681000;   58.501000;    2.931300;  -59.393000;   48.889000;   -1.707100;  -64.868000;   37.611000;  -10.055000;  -54.774000
 57.6;   55.017000;  -16.360000;  -47.448000;   62.452000;   -0.929310;  -55.453000;   77.055000;    5.020500;  -50.280000;   59.126000;   -3.385600;  -55.776000
 62.4;   82.210000;   -3.210100;  -44.450000;   98.490000;    7.151900;  -34.797000;   86.714000;    0.084852;  -42.547000;   73.890000;  -21.708000;  -39.017000
 67.2;   91.142000;  -25.683000;  -25.631000;   95.336000;    1.226700;  -23.764000;   99.151000;    8.736300;  -16.444000;   94.521000;   -2.589500;  -26.767000
 72.0;   93.663000;   -1.934500;   -9.262400;   97.163000;    9.579100;   -0.741890;   93.744000;    2.080300;   -6.375200;   93.256000;  -27.682000;  -10.631000
 76.8;   92.798000;  -28.063000;    2.431700;   93.935000;    2.787200;    9.471900;   97.831000;    9.995400;   14.865000;   93.405000;   -1.232100;    6.195100
 81.6;   93.561000;   -0.242620;   23.066000;   92.297000;   10.121000;   33.346000;   93.703000;    3.591500;   27.325000;   92.644000;  -27.075000;   15.835000
 86.4;   84.545000;  -24.285000;   30.613000;   77.295000;    4.188900;   45.486000;   66.231000;    9.397600;   48.802000;   80.788000;    0.882820;   41.197000
 91.2;   56.966000;    1.781200;   53.848000;   50.454000;    7.971200;   58.375000;   54.924000;    4.368200;   57.152000;   62.766000;  -19.337000;   42.289000
 96.0;   48.278000;  -13.360000;   50.135000;   40.092000;    4.520900;   66.670000;   25.636000;    6.336800;   67.317000;   43.070000;    2.716200;   63.061000
100.8;   14.047000;    3.525800;   69.437000;   -1.317400;    4.105700;   69.484000;    9.453500;    4.327100;   71.825000;   23.014000;   -6.535600;   56.668000
105.6;   -0.280450;    0.699850;   57.837000;   -7.796200;    3.912600;   72.024000;  -21.763000;    1.936600;   69.617000;   -4.990400;    4.065000;   70.078000
110.4;  -31.798000;    4.495100;   68.481000;  -52.403000;   -0.534250;   64.015000;  -37.270000;    3.327900;   69.261000;  -22.850000;    7.937600;   57.186000
115.2;  -49.156000;   14.886000;   51.588000;  -55.121000;    2.445100;   60.264000;  -64.738000;   -2.848200;   55.076000;  -53.144000;    4.532100;   60.493000
120.0;  -70.219000;    4.493600;   50.858000;  -91.550000;   -5.067400;   43.212000;  -74.879000;    1.571400;   49.951000;  -63.842000;   20.888000;   43.637000
124.8;  -87.247000;   25.828000;   32.834000;  -95.010000;    0.295080;   32.827000; -100.780000;   -7.079700;   24.661000;  -92.870000;    3.982800;   35.676000
129.6;  -95.562000;    3.340900;   16.925000;  -98.052000;   -8.273800;    7.517300;  -95.317000;   -0.703780;   13.887000;  -95.747000;   28.767000;   17.394000
134.4;  -95.309000;   29.802000;    3.197400;  -93.996000;   -1.492800;   -2.443600;  -97.452000;   -8.826800;   -7.668600;  -94.023000;    2.724400;    0.647580
139.2;  -94.802000;    1.903000;  -15.440000;  -97.415000;   -9.112100;  -25.080000;  -95.155000;   -2.236200;  -19.291000;  -95.496000;   29.456000;  -10.007000
144.0;  -93.139000;   27.637000;  -24.952000;  -88.773000;   -3.006600;  -38.668000;  -79.739000;   -8.850700;  -43.759000;  -90.719000;    0.760340;  -34.117000
148.8;  -66.850000;   -0.275480;  -50.339000;  -55.005000;   -7.578500;  -55.262000;  -62.844000;   -3.351200;  -53.927000;  -74.482000;   23.683000;  -39.322000
153.6;  -54.870000;   18.114000;  -48.044000;  -48.742000;   -3.390400;  -63.451000;  -40.782000;   -6.086000;  -64.676000;  -50.349000;   -1.093600;  -60.110000
158.4;  -28.958000;   -1.961400;  -68.805000;   -7.658700;   -4.142500;  -70.384000;  -23.570000;   -3.320200;  -71.719000;  -37.587000;   11.576000;  -55.599000
163.2;   -7.960400;    4.144900;  -59.120000;    0.796410;   -2.844100;  -73.261000;    9.747800;   -1.836300;  -70.768000;   -1.653100;   -2.546200;  -71.457000
168.0;   17.958000;   -3.061800;  -71.219000;   41.607000;    0.496720;  -68.656000;   22.827000;   -2.349700;  -72.655000;   10.750000;   -3.310900;  -59.015000
172.8;   40.647000;  -10.672000;  -55.940000;   50.715000;   -1.474100;  -65.552000;   59.488000;    3.027300;  -59.832000;   47.869000;   -3.187300;  -65.711000
177.6;   60.909000;   -3.200400;  -56.406000;   79.012000;    5.134000;  -50.416000;   63.800000;   -0.647770;  -55.941000;   57.427000;  -17.147000;  -48.096000
182.4;   77.887000;  -22.649000;  -39.255000;   89.366000;    0.436600;  -42.406000;  100.060000;    7.334500;  -34.286000;   85.476000;   -2.966600;  -44.510000
187.2;   96.690000;   -2.314600;  -25.878000;   99.732000;    8.992800;  -15.698000;   96.873000;    1.582900;  -22.895000;   94.932000;  -26.557000;  -25.126000
192.0;   96.043000;  -28.308000;   -9.687400;   94.655000;    2.352200;   -5.286100;   97.528000;    9.760200;    0.120620;   94.954000;   -1.709400;   -8.007400
196.8;   94.614000;   -1.048800;    7.567200;   98.197000;   10.116000;   16.049000;   94.871000;    3.091500;   10.814000;   95.382000;  -28.547000;    3.692200
201.6;   95.092000;  -27.433000;   17.583000;   94.191000;    3.858800;   29.129000;   91.691000;   10.144000;   34.743000;   94.586000;   -0.137320;   24.859000
206.4;   79.726000;    0.932480;   43.108000;   64.452000;    9.297100;   49.855000;   75.649000;    4.399200;   47.216000;   84.949000;  -24.425000;   32.831000
211.2;   61.059000;  -19.370000;   44.063000;   53.791000;    4.405100;   58.292000;   49.334000;    7.791200;   59.205000;   55.887000;    1.747600;   55.215000
216.0;   41.427000;    2.609100;   64.331000;   22.958000;    6.097000;   67.714000;   37.898000;    4.429400;   67.562000;   46.614000;  -13.337000;   51.519000
220.8;   19.475000;   -6.306300;   57.375000;    7.083100;    4.082100;   71.966000;   -2.645700;    3.808400;   69.323000;   11.166000;    3.316700;   69.970000
225.6;   -7.093900;    3.819600;   70.117000;  -24.204000;    1.633700;   69.048000;   -9.897900;    3.627300;   71.844000;   -2.584100;    1.032900;   57.947000
230.4;  -26.681000;    8.300900;   56.731000;  -39.969000;    2.894000;   68.236000;  -53.136000;   -0.897570;   62.824000;  -35.094000;    4.166200;   67.783000
235.2;  -54.504000;    4.190400;   59.141000;  -65.650000;   -3.157400;   53.748000;  -56.220000;    2.041500;   58.914000;  -50.969000;   15.051000;   50.414000
240.0;  -65.933000;   20.901000;   42.126000;  -76.681000;    1.139000;   48.173000;  -91.730000;   -5.318700;   41.350000;  -72.595000;    4.172100;   49.172000
244.8;  -92.917000;    3.702400;   33.506000;  -99.318000;   -7.235800;   23.044000;  -94.390000;    0.001956;   30.736000;  -87.748000;   25.499000;   30.673000
249.6;  -94.030000;   28.155000;   15.497000;  -94.087000;   -0.884880;   12.229000;  -96.635000;   -8.315600;    6.453800;  -94.488000;    3.236400;   15.151000
254.4;  -92.886000;    2.717300;   -0.948090;  -96.024000;   -8.764900;   -8.518500;  -92.807000;   -1.527100;   -3.656400;  -93.186000;   29.040000;    1.645000
259.2;  -92.949000;   28.637000;  -11.261000;  -93.466000;   -2.218700;  -20.352000;  -95.246000;   -8.953800;  -25.656000;  -93.274000;    1.987300;  -16.750000
264.0;  -87.733000;    0.956750;  -34.854000;  -77.309000;   -8.586400;  -43.523000;  -85.624000;   -2.822800;  -39.106000;  -89.358000;   26.654000;  -25.781000
