# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 1.2°
# sensor pos #1: 15 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0; -112.310000;  -12.214000;  -11.820000
  1.2; -110.030000;  -12.192000;   -6.995600
  2.4; -108.010000;  -12.171000;   -2.476900
  3.6; -106.420000;  -12.117000;    1.708200
  4.8; -105.360000;  -12.037000;    5.618600
  6.0; -104.850000;  -11.936000;    9.314800
  7.2; -104.880000;  -11.833000;   12.858000
  8.4; -105.430000;  -11.686000;   16.827000
  9.6; -106.460000;  -11.487000;   20.858000
 10.8; -107.900000;  -11.270000;   25.211000
 12.0; -109.590000;  -10.969000;   29.850000
 13.2; -111.250000;  -10.616000;   34.779000
 14.4; -112.420000;  -10.190000;   40.226000
 15.6; -111.960000;   -9.659200;   46.026000
 16.8; -108.160000;   -9.026200;   51.658000
 18.0;  -99.670000;   -8.359300;   56.611000
 19.2;  -87.383000;   -7.649900;   60.425000
 20.4;  -73.626000;   -6.913900;   63.160000
 21.6;  -62.461000;   -6.198100;   64.861000
 22.8;  -56.614000;   -5.514700;   65.948000
 24.0;  -55.665000;   -4.873200;   67.064000
 25.2;  -57.399000;   -4.230600;   68.611000
 26.4;  -59.264000;   -3.546100;   70.883000
 27.6;  -58.243000;   -2.781400;   73.723000
 28.8;  -51.553000;   -1.955400;   76.506000
 30.0;  -38.836000;   -1.105900;   78.569000
 31.2;  -23.218000;   -0.284820;   79.452000
 32.4;   -8.424400;    0.520990;   79.155000
 33.6;    1.371900;    1.299200;   77.952000
 34.8;    4.817600;    2.027300;   76.504000
 36.0;    4.056000;    2.692000;   75.418000
 37.2;    2.645600;    3.357400;   75.012000
 38.4;    3.963600;    4.082900;   75.077000
 39.6;   10.902000;    4.862900;   75.163000
 40.8;   24.022000;    5.665800;   74.568000
 42.0;   40.065000;    6.431600;   72.822000
 43.2;   54.137000;    7.128800;   69.987000
 44.4;   63.280000;    7.755000;   66.244000
 45.6;   66.178000;    8.312500;   62.178000
 46.8;   64.810000;    8.843100;   58.506000
 48.0;   62.510000;    9.327400;   55.648000
 49.2;   62.102000;    9.831500;   53.441000
 50.4;   65.841000;   10.396000;   51.390000
 51.6;   74.960000;   10.969000;   48.905000
 52.8;   88.157000;   11.527000;   45.486000
 54.0;  101.640000;   12.010000;   40.901000
 55.2;  111.430000;   12.351000;   35.451000
 56.4;  116.450000;   12.620000;   29.190000
 57.6;  117.200000;   12.778000;   22.674000
 58.8;  115.550000;   12.849000;   16.433000
 60.0;  113.170000;   12.840000;   10.847000
 61.2;  110.840000;   12.855000;    5.957100
 62.4;  108.820000;   12.817000;    1.427300
 63.6;  107.250000;   12.751000;   -2.776900
 64.8;  106.240000;   12.682000;   -6.682200
 66.0;  105.790000;   12.584000;  -10.377000
 67.2;  105.850000;   12.472000;  -13.950000
 68.4;  106.390000;   12.341000;  -17.690000
 69.6;  107.410000;   12.160000;  -21.713000
 70.8;  108.900000;   11.930000;  -26.100000
 72.0;  110.580000;   11.628000;  -30.788000
 73.2;  112.260000;   11.290000;  -35.757000
 74.4;  113.420000;   10.876000;  -41.242000
 75.6;  112.930000;   10.344000;  -47.062000
 76.8;  109.020000;    9.726900;  -52.744000
 78.0;  100.300000;    9.051800;  -57.731000
 79.2;   87.746000;    8.359900;  -61.558000
 80.4;   73.803000;    7.639600;  -64.254000
 81.6;   62.457000;    6.904700;  -65.918000
 82.8;   56.528000;    6.255000;  -66.983000
 84.0;   55.585000;    5.498100;  -68.156000
 85.2;   57.393000;    4.887200;  -69.670000
 86.4;   59.327000;    4.205400;  -71.934000
 87.6;   58.343000;    3.465300;  -74.768000
 88.8;   51.634000;    2.650100;  -77.536000
 90.0;   38.759000;    1.808500;  -79.582000
 91.2;   22.938000;    1.001600;  -80.428000
 92.4;    8.013800;    0.204340;  -80.097000
 93.6;   -1.777000;   -0.545830;  -78.856000
 94.8;   -5.094500;   -1.248900;  -77.376000
 96.0;   -4.171500;   -1.912500;  -76.248000
 97.2;   -2.630600;   -2.576000;  -75.844000
 98.4;   -3.850100;   -3.313900;  -75.907000
 99.6;  -10.792000;   -4.085300;  -75.984000
100.8;  -23.964000;   -4.903800;  -75.406000
102.0;  -40.124000;   -5.671200;  -73.654000
103.2;  -54.399000;   -6.348900;  -70.776000
104.4;  -63.611000;   -6.981500;  -66.985000
105.6;  -66.467000;   -7.520700;  -62.879000
106.8;  -65.026000;   -8.051300;  -59.213000
108.0;  -62.605000;   -8.544200;  -56.230000
109.2;  -62.162000;   -9.047500;  -54.030000
110.4;  -65.842000;   -9.589300;  -51.985000
111.6;  -74.992000;  -10.151000;  -49.500000
112.8;  -88.167000;  -10.691000;  -46.076000
114.0; -101.670000;  -11.134000;  -41.457000
115.2; -111.390000;  -11.468000;  -36.018000
116.4; -116.300000;  -11.717000;  -29.777000
117.6; -116.940000;  -11.850000;  -23.220000
118.8; -115.230000;  -11.888000;  -17.022000
120.0; -112.830000;  -11.865000;  -11.427000
121.2; -110.510000;  -11.840000;   -6.545900
122.4; -108.460000;  -11.788000;   -2.046400
123.6; -106.900000;  -11.715000;    2.161200
124.8; -105.890000;  -11.635000;    6.070200
126.0; -105.440000;  -11.534000;    9.747200
127.2; -105.500000;  -11.425000;   13.303000
128.4; -106.080000;  -11.267000;   17.066000
129.6; -107.130000;  -11.081000;   21.122000
130.8; -108.620000;  -10.862000;   25.472000
132.0; -110.350000;  -10.612000;   30.185000
