# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 1 mm
# Rotation step angle: 1.2°
# sensor pos #1: 0 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;    4.791200;   -0.113050;   39.277000
  1.2;    1.073100;    1.155800;   39.437000
  2.4;   -2.706500;    2.433200;   39.457000
  3.6;   -6.438500;    3.674800;   39.347000
  4.8;  -10.134000;    4.888000;   39.091000
  6.0;  -14.076000;    6.117200;   38.659000
  7.2;  -17.959000;    7.343500;   38.080000
  8.4;  -21.770000;    8.546600;   37.317000
  9.6;  -25.425000;    9.692200;   36.392000
 10.8;  -28.836000;   10.790000;   35.372000
 12.0;  -32.132000;   11.851000;   34.192000
 13.2;  -35.341000;   12.914000;   32.874000
 14.4;  -38.441000;   13.910000;   31.414000
 15.6;  -41.416000;   14.829000;   29.861000
 16.8;  -44.305000;   15.703000;   28.236000
 18.0;  -47.094000;   16.499000;   26.436000
 19.2;  -49.901000;   17.286000;   24.464000
 20.4;  -52.406000;   17.989000;   22.344000
 21.6;  -54.614000;   18.613000;   20.124000
 22.8;  -56.420000;   19.136000;   17.873000
 24.0;  -57.938000;   19.596000;   15.510000
 25.2;  -59.136000;   19.965000;   13.022000
 26.4;  -60.051000;   20.308000;   10.533000
 27.6;  -60.681000;   20.534000;    8.065000
 28.8;  -61.106000;   20.674000;    5.661900
 30.0;  -61.350000;   20.748000;    3.230700
 31.2;  -61.447000;   20.758000;    0.752160
 32.4;  -61.367000;   20.706000;   -1.738900
 33.6;  -61.136000;   20.561000;   -4.195200
 34.8;  -60.758000;   20.376000;   -6.579500
 36.0;  -60.190000;   20.101000;   -8.991200
 37.2;  -59.353000;   19.740000;  -11.502000
 38.4;  -58.249000;   19.309000;  -13.993000
 39.6;  -56.833000;   18.806000;  -16.420000
 40.8;  -55.149000;   18.234000;  -18.730000
 42.0;  -53.093000;   17.581000;  -21.022000
 43.2;  -50.677000;   16.830000;  -23.264000
 44.4;  -48.009000;   16.007000;  -25.367000
 45.6;  -45.194000;   15.137000;  -27.318000
 46.8;  -42.364000;   14.220000;  -29.083000
 48.0;  -39.265000;   13.182000;  -30.828000
 49.2;  -36.180000;   12.120000;  -32.389000
 50.4;  -33.020000;   11.014000;  -33.832000
