# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 1.2°
# sensor pos #1: 5 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;   14.678000;   -4.610000;  -30.224000
  1.2;   17.487000;   -5.270900;  -29.629000
  2.4;   20.286000;   -5.943400;  -28.909000
  3.6;   22.892000;   -6.553900;  -28.120000
  4.8;   25.494000;   -7.175600;  -27.186000
  6.0;   28.058000;   -7.760000;  -26.136000
  7.2;   30.502000;   -8.309700;  -24.982000
  8.4;   32.842000;   -8.829800;  -23.728000
  9.6;   34.962000;   -9.298100;  -22.432000
 10.8;   37.027000;   -9.731600;  -20.987000
 12.0;   38.990000;  -10.125000;  -19.444000
 13.2;   40.774000;  -10.491000;  -17.800000
 14.4;   42.309000;  -10.794000;  -16.105000
 15.6;   43.637000;  -11.040000;  -14.406000
 16.8;   44.788000;  -11.275000;  -12.606000
 18.0;   45.764000;  -11.446000;  -10.722000
 19.2;   46.533000;  -11.577000;   -8.807900
 20.4;   47.134000;  -11.750000;   -6.909100
 21.6;   47.454000;  -11.664000;   -5.061800
 22.8;   47.700000;  -11.654000;   -3.123600
 24.0;   47.748000;  -11.601000;   -1.154700
 25.2;   47.661000;  -11.525000;    0.802790
 26.4;   47.385000;  -11.348000;    2.739900
 27.6;   46.988000;  -11.140000;    4.612400
 28.8;   46.394000;  -10.903000;    6.536600
 30.0;   45.602000;  -10.618000;    8.475200
 31.2;   44.611000;  -10.270000;   10.389000
 32.4;   43.445000;   -9.888100;   12.238000
 33.6;   42.121000;   -9.493800;   13.986000
 34.8;   40.577000;   -9.024400;   15.729000
 36.0;   38.819000;   -8.499000;   17.450000
 37.2;   36.881000;   -7.941500;   19.084000
 38.4;   34.816000;   -7.351900;   20.580000
 39.6;   32.630000;   -6.739500;   22.021000
 40.8;   30.334000;   -6.087900;   23.348000
 42.0;   27.895000;   -5.404200;   24.610000
 43.2;   25.364000;   -4.688400;   25.737000
 44.4;   22.817000;   -3.980000;   26.748000
 45.6;   20.240000;   -3.272400;   27.635000
 46.8;   17.494000;   -2.528200;   28.445000
 48.0;   14.636000;   -1.858000;   29.118000
 49.2;   11.640000;   -0.964040;   29.728000
 50.4;    8.728900;   -0.201550;   30.173000
 51.6;    5.859300;    0.552350;   30.496000
 52.8;    2.896300;    1.318600;   30.725000
 54.0;   -0.139340;    2.099400;   30.823000
 55.2;   -3.154800;    2.877500;   30.809000
 56.4;   -6.140900;    3.624000;   30.688000
 57.6;   -9.013400;    4.341300;   30.438000
 58.8;  -11.953000;    5.057100;   30.076000
 60.0;  -14.927000;    5.779600;   29.582000
 61.2;  -17.803000;    6.466700;   28.967000
 62.4;  -20.584000;    7.139600;   28.235000
 63.6;  -23.177000;    7.763200;   27.430000
 64.8;  -25.766000;    8.359900;   26.497000
 66.0;  -28.325000;    8.958500;   25.421000
 67.2;  -30.761000;    9.494300;   24.242000
 68.4;  -33.068000;   10.021000;   22.987000
 69.6;  -35.164000;   10.471000;   21.687000
 70.8;  -37.212000;   10.908000;   20.243000
 72.0;  -39.171000;   11.302000;   18.688000
 73.2;  -40.929000;   11.649000;   17.035000
 74.4;  -42.470000;   11.949000;   15.346000
 75.6;  -43.776000;   12.200000;   13.634000
 76.8;  -44.906000;   12.426000;   11.847000
 78.0;  -45.874000;   12.595000;    9.935300
 79.2;  -46.620000;   12.721000;    8.024400
 80.4;  -47.161000;   12.802000;    6.112000
 81.6;  -47.529000;   12.831000;    4.247600
 82.8;  -47.740000;   12.823000;    2.331900
 84.0;  -47.780000;   12.773000;    0.339380
 85.2;  -47.667000;   12.670000;   -1.628800
 86.4;  -47.394000;   12.514000;   -3.563700
 87.6;  -46.977000;   12.331000;   -5.421000
 88.8;  -46.390000;   12.095000;   -7.314900
 90.0;  -45.561000;   11.797000;   -9.297900
 91.2;  -44.562000;   11.464000;  -11.212000
 92.4;  -43.378000;   11.090000;  -13.040000
 93.6;  -42.026000;   10.672000;  -14.780000
 94.8;  -40.467000;   10.211000;  -16.495000
 96.0;  -38.651000;    9.688500;  -18.222000
 97.2;  -36.692000;    9.141400;  -19.848000
 98.4;  -34.634000;    8.566400;  -21.340000
 99.6;  -32.516000;    7.957400;  -22.708000
100.8;  -30.254000;    7.342700;  -23.997000
102.0;  -27.778000;    6.634000;  -25.257000
103.2;  -25.267000;    5.911500;  -26.388000
104.4;  -22.707000;    5.207200;  -27.382000
105.6;  -20.139000;    4.484700;  -28.267000
106.8;  -17.413000;    3.739400;  -29.058000
108.0;  -14.501000;    2.951500;  -29.747000
109.2;  -11.591000;    2.172200;  -30.328000
110.4;   -8.674000;    1.378700;  -30.768000
111.6;   -5.813200;    0.621060;  -31.111000
112.8;   -2.873700;   -0.147780;  -31.322000
114.0;    0.140690;   -0.952460;  -31.421000
115.2;    3.168200;   -1.752700;  -31.407000
116.4;    6.162800;   -2.510300;  -31.271000
117.6;    9.028700;   -3.226900;  -31.032000
118.8;   11.935000;   -3.963600;  -30.662000
120.0;   14.907000;   -4.694700;  -30.191000
121.2;   17.815000;   -5.383700;  -29.583000
122.4;   20.598000;   -6.049400;  -28.862000
123.6;   23.208000;   -6.682000;  -28.045000
124.8;   25.782000;   -7.288000;  -27.121000
126.0;   28.349000;   -7.881400;  -26.047000
127.2;   30.784000;   -8.441500;  -24.873000
128.4;   33.087000;   -8.954900;  -23.612000
129.6;   35.198000;   -9.400000;  -22.313000
130.8;   37.251000;   -9.848500;  -20.893000
132.0;   39.191000;  -10.254000;  -19.315000
133.2;   40.935000;  -10.606000;  -17.667000
134.4;   42.473000;  -10.916000;  -15.985000
135.6;   43.776000;  -11.146000;  -14.280000
136.8;   44.897000;  -11.363000;  -12.485000
138.0;   45.884000;  -11.537000;  -10.586000
139.2;   46.618000;  -11.660000;   -8.680400
140.4;   47.176000;  -11.727000;   -6.770600
141.6;   47.547000;  -11.756000;   -4.914000
142.8;   47.768000;  -11.738000;   -3.020100
144.0;   47.822000;  -11.665000;   -1.049300
